Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2012,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Blue Ridge PKWY,1,"15,205,059",5.38%
Golden Gate NRA,2,"14,540,338",5.14%
Great Smoky Mountains NP,3,"9,685,829",3.43%
George Washington MEM PKWY,4,"7,425,577",2.63%
Lake Mead NRA,5,"6,285,439",2.22%
Lincoln Memorial,6,"6,191,361",2.19%
Natchez Trace PKWY,7,"5,560,668",1.97%
Gateway NRA,8,"5,043,863",1.78%
Gulf Islands NS,9,"4,973,462",1.76%
Delaware Water Gap NRA,10,"4,970,802",1.76%
Chesapeake & Ohio Canal NHP,11,"4,712,377",1.67%
Cape Cod NS,12,"4,441,290",1.57%
Vietnam Veterans MEM,13,"4,424,407",1.56%
Grand Canyon NP,14,"4,421,352",1.56%
World War II Memorial,15,"4,161,685",1.47%
San Francisco Maritime NHP,16,"4,129,983",1.46%
Yosemite NP,17,"3,853,404",1.36%
"Martin Luther King, Jr. Memorial",18,"3,738,336",1.32%
Independence NHP,19,"3,594,549",1.27%
Yellowstone NP,20,"3,447,729",1.22%
Colonial NHP,21,"3,274,187",1.16%
Korean War Veterans Memorial,22,"3,267,124",1.16%
Castle Clinton NM,23,"3,264,439",1.15%
Rocky Mountain NP,24,"3,229,617",1.14%
Chattahoochee River NRA,25,"3,168,137",1.12%
Statue of Liberty NM,26,"3,029,443",1.07%
Zion NP,27,"2,973,607",1.05%
Olympic NP,28,"2,824,908",1.00%
Franklin Delano Roosevelt MEM,29,"2,764,459",0.98%
Grand Teton NP,30,"2,705,256",0.96%
Boston NHP,31,"2,629,064",0.93%
Thomas Jefferson MEM,32,"2,613,131",0.92%
Gateway Arch NP,33,"2,496,726",0.88%
Acadia NP,34,"2,431,052",0.86%
Point Reyes NS,35,"2,412,663",0.85%
Cape Hatteras NS,36,"2,302,040",0.81%
Cuyahoga Valley NP,37,"2,299,722",0.81%
Mount Rushmore NMEM,38,"2,185,447",0.77%
Glacier NP,39,"2,162,035",0.76%
Assateague Island NS,40,"2,154,859",0.76%
Glen Canyon NRA,41,"2,061,328",0.73%
Rock Creek Park,42,"2,003,385",0.71%
Kennesaw Mountain NBP,43,"1,935,909",0.68%
Indiana Dunes NP,44,"1,889,381",0.67%
Lake Roosevelt NRA,45,"1,781,972",0.63%
Pearl Harbor NMEM,46,"1,751,224",0.62%
Sleeping Bear Dunes NL,47,"1,531,560",0.54%
Fort Point NHS,48,"1,502,786",0.53%
Chickasaw NRA,49,"1,487,039",0.53%
Hawaii Volcanoes NP,50,"1,483,928",0.52%
Valley Forge NHP,51,"1,442,750",0.51%
Ozark NSR,52,"1,406,781",0.50%
Joshua Tree NP,53,"1,396,117",0.49%
Bryce Canyon NP,54,"1,385,352",0.49%
Amistad NRA,55,"1,367,502",0.48%
Hot Springs NP,56,"1,302,505",0.46%
San Juan NHS,57,"1,279,814",0.45%
Shenandoah NP,58,"1,210,200",0.43%
"John D. Rockefeller, Jr. MEM PKWY",59,"1,197,750",0.42%
Everglades NP,60,"1,141,906",0.40%
New River Gorge NR,61,"1,128,195",0.40%
Gettysburg NMP,62,"1,126,577",0.40%
Sequoia NP,63,"1,106,584",0.39%
Haleakala NP,64,"1,094,668",0.39%
Buffalo NR,65,"1,093,083",0.39%
Timucuan EHP,66,"1,076,310",0.38%
Arches NP,67,"1,070,577",0.38%
Mount Rainier NP,68,"1,049,178",0.37%
Chickamauga & Chattanooga NMP,69,"1,032,844",0.37%
Minute Man NHP,70,"1,001,207",0.35%
Canaveral NS,71,"994,430",0.35%
Death Valley NP,72,"984,568",0.35%
Fredericksburg & Spotsylvania NMP,73,"982,324",0.35%
Muir Woods NM,74,"972,331",0.34%
National Capital Parks East,75,"923,054",0.33%
Badlands NP,76,"883,406",0.31%
Big Cypress NPRES,77,"882,570",0.31%
Cabrillo NM,78,"877,951",0.31%
Curecanti NRA,79,"862,612",0.31%
National Capital Parks Central,80,"858,700",0.30%
Klondike Gold Rush NHP Alaska,81,"854,250",0.30%
Cumberland Gap NHP,82,"853,998",0.30%
Fort Sumter and Fort Moultrie NHP,83,"842,027",0.30%
Canyon de Chelly NM,84,"828,523",0.29%
Whiskeytown NRA,85,"814,374",0.29%
Salem Maritime NHS,86,"756,038",0.27%
Fort McHenry NM & HS,87,"744,076",0.26%
Ross Lake NRA,88,"742,200",0.26%
Castillo de San Marcos NM,89,"727,243",0.26%
"Martin Luther King, Jr. NHP",90,"707,514",0.25%
Ford's Theatre NHS,91,"701,542",0.25%
Fort Vancouver NHS,92,"681,404",0.24%
Capitol Reef NP,93,"673,345",0.24%
Petrified Forest NP,94,"664,857",0.24%
White House,95,"656,949",0.23%
Santa Monica Mountains NRA,96,"649,471",0.23%
Theodore Roosevelt NP,97,"640,555",0.23%
Saguaro NP,98,"634,286",0.22%
Cedar Breaks NM,99,"631,809",0.22%
San Antonio Missions NHP,100,"614,810",0.22%
Manassas NBP,101,"600,354",0.21%
Big South Fork NRRA,102,"600,161",0.21%
President's Park,103,"600,083",0.21%
Pictured Rocks NL,104,"593,587",0.21%
Kings Canyon NP,105,"591,033",0.21%
Shiloh NMP,106,"587,620",0.21%
Padre Island NS,107,"573,855",0.20%
Vicksburg NMP,108,"573,262",0.20%
Arlington House The R.E. Lee MEM,109,"562,772",0.20%
Mojave NPRES,110,"542,527",0.19%
Lowell NHP,111,"537,551",0.19%
Wind Cave NP,112,"529,083",0.19%
Antietam NB,113,"510,921",0.18%
Mammoth Cave NP,114,"508,054",0.18%
Lake Meredith NRA,115,"502,457",0.18%
Fort Matanzas NM,116,"497,574",0.18%
Biscayne NP,117,"495,613",0.18%
Mesa Verde NP,118,"488,860",0.17%
Virgin Islands NP,119,"483,341",0.17%
Fire Island NS,120,"483,334",0.17%
Cape Lookout NS,121,"480,294",0.17%
Wright Brothers NMEM,122,"466,816",0.17%
Montezuma Castle NM,123,"455,305",0.16%
Colorado NM,124,"454,510",0.16%
Glacier Bay NP & PRES,125,"454,337",0.16%
Canyonlands NP,126,"452,952",0.16%
White Sands NM,127,"447,385",0.16%
Crater Lake NP,128,"447,251",0.16%
Pu'uhonua o Honaunau NHP,129,"442,353",0.16%
De Soto NMEM,130,"432,981",0.15%
Wolf Trap NP for the Performing Arts,131,"426,996",0.15%
Vanderbilt Mansion NHS,132,"423,107",0.15%
Jean Lafitte NHP & PRES,133,"419,694",0.15%
Devils Tower NM,134,"416,994",0.15%
Lassen Volcanic NP,135,"407,653",0.14%
Boston African American NHS,136,"404,248",0.14%
Denali NP & PRES,137,"388,433",0.14%
Fort Pulaski NM,138,"385,751",0.14%
Carlsbad Caverns NP,139,"381,058",0.13%
LBJ Memorial Grove on the Potomac,140,"371,063",0.13%
Fort Washington Park,141,"368,824",0.13%
Redwood NP,142,"352,517",0.12%
Governors Island NM,143,"348,249",0.12%
Little Bighorn Battlefield NM,144,"346,327",0.12%
