Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2012,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Adams NHP,145,"336,031",0.12%
Fort Caroline NMEM,146,"327,339",0.12%
Appomattox Court House NHP,147,"320,668",0.11%
Flight 93 NMEM,148,"317,926",0.11%
Guilford Courthouse NMP,149,"313,374",0.11%
Dinosaur NM,150,"302,858",0.11%
Lincoln Home NHS,151,"295,464",0.10%
Morristown NHP,152,"294,606",0.10%
Big Bend NP,153,"292,055",0.10%
Fort Donelson NB,154,"284,762",0.10%
Pennsylvania Avenue NHS,155,"283,232",0.10%
Fort Raleigh NHS,156,"281,833",0.10%
Kenai Fjords NP,157,"281,279",0.10%
Prince William Forest Park,158,"280,325",0.10%
New Bedford Whaling NHP,159,"269,885",0.10%
Kings Mountain NMP,160,"265,713",0.09%
Catoctin Mountain Park,161,"263,797",0.09%
Harpers Ferry NHP,162,"263,105",0.09%
Fort Frederica NM,163,"262,235",0.09%
San Juan Island NHP,164,"261,139",0.09%
Stones River NB,165,"260,537",0.09%
War in the Pacific NHP,166,"255,923",0.09%
Upper Delaware S&RR,167,"255,586",0.09%
Great Sand Dunes NP & PRES,168,"254,674",0.09%
Channel Islands NP,169,"249,594",0.09%
Bighorn Canyon NRA,170,"245,831",0.09%
Nez Perce NHP,171,"233,093",0.08%
Cowpens NB,172,"231,973",0.08%
Pinnacles NP,173,"224,476",0.08%
Saint Croix NSR,174,"221,028",0.08%
Voyageurs NP,175,"214,841",0.08%
Obed W&SR,176,"212,446",0.08%
Lewis & Clark NHP,177,"201,704",0.07%
Wupatki NM,178,"201,365",0.07%
Little River Canyon NPRES,179,"201,109",0.07%
Craters of the Moon NM & PRES,180,"197,529",0.07%
Sitka NHP,181,"195,157",0.07%
Fort Stanwix NM,182,"195,057",0.07%
Black Canyon of the Gunnison NP,183,"192,570",0.07%
Petersburg NB,184,"188,426",0.07%
Fort Necessity NB,185,"187,893",0.07%
Natchez NHP,186,"184,551",0.07%
Lava Beds NM,187,"181,429",0.06%
New Orleans Jazz NHP,188,"177,909",0.06%
Sunset Crater Volcano NM,189,"177,793",0.06%
Abraham Lincoln Birthplace NHP,190,"169,515",0.06%
Missouri NRR,191,"167,776",0.06%
Wilson's Creek NB,192,"167,205",0.06%
Federal Hall NMEM,193,"167,146",0.06%
Apostle Islands NL,194,"163,419",0.06%
Organ Pipe Cactus NM,195,"161,743",0.06%
Guadalupe Mountains NP,196,"159,360",0.06%
Richmond NBP,197,"156,952",0.06%
Kaloko Honokohau NHP,198,"153,584",0.05%
Bandelier NM,199,"150,289",0.05%
Theodore Roosevelt Island,200,"149,754",0.05%
John Day Fossil Beds NM,201,"148,152",0.05%
Greenbelt Park,202,"145,552",0.05%
Perry's Victory & Intl. Peace MEM,203,"140,281",0.05%
Allegheny Portage Railroad NHS,204,"138,864",0.05%
Home of Franklin D. Roosevelt NHS,205,"135,746",0.05%
Big Thicket NPRES,206,"135,262",0.05%
George Washington Birthplace NM,207,"134,824",0.05%
Pu'ukohola Heiau NHS,208,"134,403",0.05%
Lincoln Boyhood NMEM,209,"133,550",0.05%
Pea Ridge NMP,210,"131,907",0.05%
Herbert Hoover NHS,211,"128,812",0.05%
Christiansted NHS,212,"126,962",0.04%
George Rogers Clark NHP,213,"125,972",0.04%
Piscataway Park,214,"124,107",0.04%
Johnstown Flood NMEM,215,"123,081",0.04%
Andersonville NHS,216,"122,883",0.04%
Scotts Bluff NM,217,"122,515",0.04%
Ocmulgee Mounds NHP,218,"120,025",0.04%
Petroglyph NM,219,"119,444",0.04%
Timpanogos Cave NM,220,"118,764",0.04%
Gauley River NRA,221,"115,283",0.04%
El Malpais NM,222,"114,678",0.04%
Lyndon B. Johnson NHP,223,"110,791",0.04%
Walnut Canyon NM,224,"110,748",0.04%
Congaree NP,225,"109,685",0.04%
Jewel Cave NM,226,"109,300",0.04%
Mississippi NRRA,227,"106,733",0.04%
Steamtown NHS,228,"106,309",0.04%
Chamizal NMEM,229,"104,148",0.04%
Homestead NM of America,230,"103,708",0.04%
City of Rocks NRES,231,"98,996",0.04%
Coronado NMEM,232,"97,579",0.03%
Tuzigoot NM,233,"97,388",0.03%
Great Basin NP,234,"94,850",0.03%
Carl Sandburg Home NHS,235,"93,429",0.03%
Grand Portage NM,236,"93,156",0.03%
General Grant NMEM,237,"92,418",0.03%
Natural Bridges NM,238,"89,011",0.03%
Devils Postpile NM,239,"87,845",0.03%
Fort Smith NHS,240,"87,386",0.03%
Wrangell-St. Elias NP & PRES,241,"87,158",0.03%
Moores Creek NB,242,"79,345",0.03%
Effigy Mounds NM,243,"78,540",0.03%
Oregon Caves NM & PRES,244,"78,164",0.03%
African Burial Ground NM,245,"77,624",0.03%
Pipestone NM,246,"76,030",0.03%
Minuteman Missile NHS,247,"75,654",0.03%
Rainbow Bridge NM,248,"75,214",0.03%
Hubbell Trading Post NHS,249,"75,061",0.03%
Ninety Six NHS,250,"73,044",0.03%
Manzanar NHS,251,"72,831",0.03%
Jimmy Carter NHS,252,"69,940",0.02%
Casa Grande Ruins NM,253,"68,631",0.02%
Dayton Aviation Heritage NHP,254,"65,999",0.02%
Niobrara NSR,255,"65,999",0.02%
Little Rock Central High School NHS,256,"63,938",0.02%
Florissant Fossil Beds NM,257,"62,637",0.02%
Cumberland Island NS,258,"61,493",0.02%
Whitman Mission NHS,259,"60,785",0.02%
Dry Tortugas NP,260,"60,550",0.02%
Klondike Gold Rush NHP Seattle,261,"60,198",0.02%
Kalaupapa NHP,262,"58,875",0.02%
Horseshoe Bend NMP,263,"58,668",0.02%
Navajo NM,264,"58,219",0.02%
Saratoga NHP,265,"57,688",0.02%
Fort Laramie NHS,266,"55,199",0.02%
Eleanor Roosevelt NHS,267,"55,049",0.02%
Pipe Spring NM,268,"54,692",0.02%
Frederick Douglass NHS,269,"53,314",0.02%
Eisenhower NHS,270,"53,286",0.02%
Hopewell Furnace NHS,271,"52,870",0.02%
Thomas Edison NHP,272,"52,554",0.02%
Longfellow House Washington's HQ NHS,273,"52,234",0.02%
Roger Williams NMEM,274,"51,944",0.02%
Tonto NM,275,"51,881",0.02%
Andrew Johnson NHS,276,"51,261",0.02%
River Raisin NBP,277,"50,667",0.02%
Capulin Volcano NM,278,"48,710",0.02%
Monocacy NB,279,"47,249",0.02%
Pecos NHP,280,"45,568",0.02%
El Morro NM,281,"44,808",0.02%
Aztec Ruins NM,282,"44,744",0.02%
Charles Pinckney NHS,283,"44,314",0.02%
Golden Spike NHP,284,"42,551",0.02%
Chiricahua NM,285,"41,159",0.01%
Lake Chelan NRA,286,"40,830",0.01%
Katmai NP & PRES,287,"39,818",0.01%
Arkansas Post NMEM,288,"39,703",0.01%
Hopewell Culture NHP,289,"39,462",0.01%
Ulysses S. Grant NHS,290,"39,373",0.01%
Chaco Culture NHP,291,"39,044",0.01%
Fort Davis NHS,292,"38,136",0.01%
Hampton NHS,293,"37,529",0.01%
John Muir NHS,294,"37,403",0.01%
Bluestone NSR,295,"36,842",0.01%
Palo Alto Battlefield NHP,296,"36,707",0.01%
James A. Garfield NHS,297,"36,375",0.01%
Big Hole NB,298,"35,207",0.01%
Tumacacori NHP,299,"35,158",0.01%
Friendship Hill NHS,300,"34,289",0.01%
Saint-Gaudens NHP,301,"33,663",0.01%
Fort Larned NHS,302,"33,194",0.01%
Marsh-Billings-Rockefeller NHP,303,"32,403",0.01%
Harry S Truman NHS,304,"31,316",0.01%
Noatak NPRES,305,"31,000",0.01%
Buck Island Reef NM,306,"30,436",0.01%
George Washington Carver NM,307,"30,425",0.01%
Women's Rights NHP,308,"29,585",0.01%
Kobuk Valley NP,309,"29,550",0.01%
Salinas Pueblo Missions NM,310,"29,228",0.01%
Gila Cliff Dwellings NM,311,"28,637",0.01%
Cane River Creole NHP,312,"28,310",0.01%
North Cascades NP,313,"26,935",0.01%
Hovenweep NM,314,"26,710",0.01%
Bent's Old Fort NHS,315,"25,815",0.01%
Clara Barton NHS,316,"25,347",0.01%
Fort Scott NHS,317,"25,034",0.01%
Cape Krusenstern NM,318,"24,950",0.01%
Booker T. Washington NM,319,"24,361",0.01%
Tuskegee Institute NHS,320,"24,030",0.01%
Hagerman Fossil Beds NM,321,"23,936",0.01%
Tuskegee Airmen NHS,322,"23,716",0.01%
John F. Kennedy NHS,323,"22,642",0.01%
Martin Van Buren NHS,324,"22,062",0.01%
Weir Farm NHS,325,"21,465",0.01%
Brown v. Board of Education NHS,326,"21,101",0.01%
Russell Cave NM,327,"20,954",0.01%
Sagamore Hill NHS,328,"20,097",0.01%
William Howard Taft NHS,329,"19,416",0.01%
Edgar Allan Poe NHS,330,"19,104",0.01%
Tallgrass Prairie NPRES,331,"18,918",0.01%
Theodore Roosevelt Inaugural NHS,332,"18,875",0.01%
Theodore Roosevelt Birthplace NHS,333,"17,930",0.01%
Grant-Kohrs Ranch NHS,334,"17,095",0.01%
Fossil Butte NM,335,"17,084",0.01%
Springfield Armory NHS,336,"16,978",0.01%
Isle Royale NP,337,"16,663",0.01%
Hamilton Grange NMEM,338,"16,358",0.01%
Saint Paul's Church NHS,339,"16,188",0.01%
Knife River Indian Villages NHS,340,"16,010",0.01%
Fort Union Trading Post NHS,341,"12,677",0.00%
Agate Fossil Beds NM,342,"11,824",0.00%
Lake Clark NP & PRES,343,"11,639",0.00%
Saugus Iron Works NHS,344,"11,611",0.00%
Gates of the Arctic NP & PRES,345,"10,899",0.00%
Washita Battlefield NHS,346,"10,615",0.00%
National Park of American Samoa,347,"10,440",0.00%
First Ladies NHS,348,"9,903",0.00%
Fort Union NM,349,"9,215",0.00%
President W.J. Clinton Birthplace Home NHS,350,"8,932",0.00%
Frederick Law Olmsted NHS,351,"8,668",0.00%
Maggie L. Walker NHS,352,"8,276",0.00%
Fort Bowie NHS,353,"7,966",0.00%
Mary McLeod Bethune Council House NHS,354,"6,646",0.00%
Thomas Stone NHS,355,"6,426",0.00%
Salt River Bay NHP & Ecological Pres,356,"5,217",0.00%
Sand Creek Massacre NHS,357,"4,384",0.00%
Nicodemus NHS,358,"3,505",0.00%
Alibates Flint Quarries NM,359,"3,383",0.00%
Eugene O'Neill NHS,360,"2,789",0.00%
Bering Land Bridge NPRES,361,"2,642",0.00%
Thaddeus Kosciuszko NMEM,362,"2,045",0.00%
Yukon-Charley Rivers NPRES,363,"1,393",0.00%
Rio Grande W&SR,364,694,0.00%
Port Chicago Naval Magazine NMEM,365,533,0.00%
Aniakchak NM & PRES,366,19,0.00%

