Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2013,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Glen Canyon NRA,40,"1,991,924",0.73%
Rock Creek Park,41,"1,968,995",0.72%
Valley Forge NHP,42,"1,962,889",0.72%
Kennesaw Mountain NBP,43,"1,924,076",0.70%
Statue of Liberty NM,44,"1,883,544",0.69%
Pearl Harbor NMEM,45,"1,786,024",0.65%
National Capital Parks Central,46,"1,712,858",0.63%
Indiana Dunes NP,47,"1,681,695",0.61%
Fort Point NHS,48,"1,591,312",0.58%
Hawaii Volcanoes NP,49,"1,583,209",0.58%
Joshua Tree NP,50,"1,383,340",0.51%
Sleeping Bear Dunes NL,51,"1,340,007",0.49%
San Juan NHS,52,"1,328,802",0.49%
Hot Springs NP,53,"1,325,719",0.48%
Bryce Canyon NP,54,"1,311,875",0.48%
Lake Roosevelt NRA,55,"1,254,409",0.46%
Ozark NSR,56,"1,253,703",0.46%
"John D. Rockefeller, Jr. MEM PKWY",57,"1,228,502",0.45%
Gettysburg NMP,58,"1,213,349",0.44%
Mount Rainier NP,59,"1,148,552",0.42%
Shenandoah NP,60,"1,136,505",0.42%
Canaveral NS,61,"1,133,688",0.41%
Buffalo NR,62,"1,125,227",0.41%
Chickasaw NRA,63,"1,099,669",0.40%
National Capital Parks East,64,"1,091,661",0.40%
Arches NP,65,"1,082,866",0.40%
New River Gorge NR,66,"1,071,823",0.39%
Everglades NP,67,"1,047,116",0.38%
Timucuan EHP,68,"1,031,667",0.38%
Amistad NRA,69,"1,025,151",0.37%
Big Cypress NPRES,70,"1,007,788",0.37%
Muir Woods NM,71,"954,125",0.35%
Death Valley NP,72,"951,972",0.35%
Minute Man NHP,73,"947,894",0.35%
Klondike Gold Rush NHP Alaska,74,"928,150",0.34%
Sequoia NP,75,"909,274",0.33%
Chickamauga & Chattanooga NMP,76,"905,984",0.33%
Badlands NP,77,"892,372",0.33%
Fredericksburg & Spotsylvania NMP,78,"880,251",0.32%
Cabrillo NM,79,"856,128",0.31%
Canyon de Chelly NM,80,"828,478",0.30%
Fort Sumter and Fort Moultrie NHP,81,"815,007",0.30%
Curecanti NRA,82,"814,163",0.30%
Haleakala NP,83,"785,300",0.29%
Castillo de San Marcos NM,84,"778,128",0.28%
Whiskeytown NRA,85,"776,025",0.28%
Cumberland Gap NHP,86,"768,363",0.28%
Fort Vancouver NHS,87,"733,540",0.27%
Ross Lake NRA,88,"725,917",0.27%
"Martin Luther King, Jr. NHP",89,"704,168",0.26%
Fort McHenry NM & HS,90,"678,431",0.25%
Saguaro NP,91,"678,261",0.25%
Ford's Theatre NHS,92,"665,876",0.24%
Capitol Reef NP,93,"663,670",0.24%
President's Park,94,"658,065",0.24%
Petrified Forest NP,95,"644,648",0.24%
Santa Monica Mountains NRA,96,"633,054",0.23%
Arlington House The R.E. Lee MEM,97,"586,531",0.21%
Pictured Rocks NL,98,"575,450",0.21%
Vicksburg NMP,99,"573,838",0.21%
Kings Canyon NP,100,"567,544",0.21%
Big South Fork NRRA,101,"565,063",0.21%
Lake Meredith NRA,102,"554,272",0.20%
Mojave NPRES,103,"549,599",0.20%
Theodore Roosevelt NP,104,"545,090",0.20%
Guilford Courthouse NMP,105,"541,581",0.20%
Manassas NBP,106,"538,888",0.20%
Shiloh NMP,107,"536,206",0.20%
Denali NP & PRES,108,"530,922",0.19%
Fort Matanzas NM,109,"523,694",0.19%
Crater Lake NP,110,"523,027",0.19%
San Antonio Missions NHP,111,"521,705",0.19%
Lowell NHP,112,"517,763",0.19%
Wind Cave NP,113,"516,142",0.19%
Padre Island NS,114,"515,830",0.19%
Glacier Bay NP & PRES,115,"500,590",0.18%
Mammoth Cave NP,116,"494,541",0.18%
White Sands NM,117,"490,544",0.18%
Biscayne NP,118,"486,848",0.18%
Cedar Breaks NM,119,"466,450",0.17%
Canyonlands NP,120,"462,242",0.17%
Mesa Verde NP,121,"460,237",0.17%
Wright Brothers NMEM,122,"447,796",0.16%
Fort Washington Park,123,"443,918",0.16%
Wolf Trap NP for the Performing Arts,124,"441,166",0.16%
Virgin Islands NP,125,"438,601",0.16%
Lassen Volcanic NP,126,"427,409",0.16%
Salem Maritime NHS,127,"426,328",0.16%
Devils Tower NM,128,"417,326",0.15%
Cape Lookout NS,129,"416,568",0.15%
Colorado NM,130,"409,351",0.15%
Jean Lafitte NHP & PRES,131,"400,128",0.15%
Redwood NP,132,"393,364",0.14%
Montezuma Castle NM,133,"389,091",0.14%
Carlsbad Caverns NP,134,"388,566",0.14%
Boston African American NHS,135,"386,084",0.14%
Fort Pulaski NM,136,"374,408",0.14%
Vanderbilt Mansion NHS,137,"372,569",0.14%
Antietam NB,138,"370,832",0.14%
Pu'uhonua o Honaunau NHP,139,"363,282",0.13%
Governors Island NM,140,"355,553",0.13%
Saint Croix NSR,141,"342,942",0.13%
Appomattox Court House NHP,142,"317,660",0.12%
Big Bend NP,143,"316,953",0.12%
Prince William Forest Park,144,"309,298",0.11%
Fort Caroline NMEM,145,"307,086",0.11%
Morristown NHP,146,"304,941",0.11%
Nez Perce NHP,147,"297,973",0.11%
LBJ Memorial Grove on the Potomac,148,"294,979",0.11%
Fire Island NS,149,"294,219",0.11%
Adams NHP,150,"285,501",0.10%
Kenai Fjords NP,151,"283,502",0.10%
De Soto NMEM,152,"279,924",0.10%
Little Bighorn Battlefield NM,153,"277,883",0.10%
New Bedford Whaling NHP,154,"276,374",0.10%
Dinosaur NM,155,"274,361",0.10%
War in the Pacific NHP,156,"266,267",0.10%
Flight 93 NMEM,157,"265,924",0.10%
Fort Raleigh NHS,158,"263,598",0.10%
Stones River NB,159,"258,242",0.09%
Pennsylvania Avenue NHS,160,"257,831",0.09%
Harpers Ferry NHP,161,"255,714",0.09%
Fort Donelson NB,162,"247,734",0.09%
Kings Mountain NMP,163,"247,632",0.09%
Great Sand Dunes NP & PRES,164,"242,841",0.09%
Bighorn Canyon NRA,165,"241,527",0.09%
Pinnacles NP,166,"237,677",0.09%
Voyageurs NP,167,"233,390",0.09%
White House,168,"231,627",0.08%
Upper Delaware S&RR,169,"228,464",0.08%
San Juan Island NHP,170,"220,960",0.08%
Fort Frederica NM,171,"217,580",0.08%
Lewis & Clark NHP,172,"217,022",0.08%
Cowpens NB,173,"216,239",0.08%
Channel Islands NP,174,"212,029",0.08%
Lincoln Home NHS,175,"209,405",0.08%
Organ Pipe Cactus NM,176,"206,860",0.08%
Craters of the Moon NM & PRES,177,"200,525",0.07%
Obed W&SR,178,"198,367",0.07%
New Orleans Jazz NHP,179,"198,363",0.07%
Natchez NHP,180,"191,095",0.07%
Wupatki NM,181,"190,878",0.07%
Petersburg NB,182,"190,086",0.07%
Little River Canyon NPRES,183,"185,477",0.07%
Sunset Crater Volcano NM,184,"184,864",0.07%
Black Canyon of the Gunnison NP,185,"175,852",0.06%
Catoctin Mountain Park,186,"175,213",0.06%
Missouri NRR,187,"169,698",0.06%
Fort Necessity NB,188,"165,159",0.06%
Abraham Lincoln Birthplace NHP,189,"163,928",0.06%
Theodore Roosevelt Island,190,"162,599",0.06%
Piscataway Park,191,"161,999",0.06%
Sitka NHP,192,"161,157",0.06%
Perry's Victory & Intl. Peace MEM,193,"158,231",0.06%
Kaloko Honokohau NHP,194,"158,124",0.06%
Wilson's Creek NB,195,"157,309",0.06%
John Day Fossil Beds NM,196,"156,285",0.06%
Richmond NBP,197,"151,240",0.06%
Federal Hall NMEM,198,"148,647",0.05%
Apostle Islands NL,199,"148,556",0.05%
Home of Franklin D. Roosevelt NHS,200,"147,218",0.05%
Guadalupe Mountains NP,201,"145,670",0.05%
Greenbelt Park,202,"142,742",0.05%
El Malpais NM,203,"137,904",0.05%
Gauley River NRA,204,"135,309",0.05%
George Washington Birthplace NM,205,"131,683",0.05%
Fort Stanwix NM,206,"129,089",0.05%
Herbert Hoover NHS,207,"128,919",0.05%
George Rogers Clark NHP,208,"128,531",0.05%
Bandelier NM,209,"126,682",0.05%
Pu'ukohola Heiau NHS,210,"125,645",0.05%
Walnut Canyon NM,211,"125,267",0.05%
Lincoln Boyhood NMEM,212,"125,069",0.05%
Chamizal NMEM,213,"121,937",0.04%
Johnstown Flood NMEM,214,"121,923",0.04%
Congaree NP,215,"120,340",0.04%
Big Thicket NPRES,216,"120,108",0.04%
Christiansted NHS,217,"118,638",0.04%
Ocmulgee Mounds NHP,218,"115,801",0.04%
Petroglyph NM,219,"115,075",0.04%
Little Rock Central High School NHS,220,"114,144",0.04%
Scotts Bluff NM,221,"108,127",0.04%
Allegheny Portage Railroad NHS,222,"107,977",0.04%
Lava Beds NM,223,"105,395",0.04%
Kalaupapa NHP,224,"101,112",0.04%
Mississippi NRRA,225,"100,111",0.04%
Andersonville NHS,226,"98,771",0.04%
Jewel Cave NM,227,"98,259",0.04%
Pea Ridge NMP,228,"95,251",0.03%
City of Rocks NRES,229,"94,906",0.03%
African Burial Ground NM,230,"93,234",0.03%
Coronado NMEM,231,"92,936",0.03%
Great Basin NP,232,"92,893",0.03%
Devils Postpile NM,233,"91,794",0.03%
Timpanogos Cave NM,234,"91,269",0.03%
Grand Portage NM,235,"88,598",0.03%
Tuzigoot NM,236,"85,746",0.03%
General Grant NMEM,237,"83,440",0.03%
Lyndon B. Johnson NHP,238,"82,369",0.03%
Natural Bridges NM,239,"82,330",0.03%
Carl Sandburg Home NHS,240,"81,710",0.03%
Steamtown NHS,241,"81,174",0.03%
Manzanar NHS,242,"77,511",0.03%
Minuteman Missile NHS,243,"76,261",0.03%
Hubbell Trading Post NHS,244,"75,678",0.03%
Oregon Caves NM & PRES,245,"72,717",0.03%
Moores Creek NB,246,"72,330",0.03%
Niobrara NSR,247,"71,876",0.03%
Effigy Mounds NM,248,"71,074",0.03%
Wrangell-St. Elias NP & PRES,249,"69,984",0.03%
Ninety Six NHS,250,"69,624",0.03%
Fort Smith NHS,251,"69,584",0.03%
Jimmy Carter NHS,252,"67,455",0.02%
Homestead NM of America,253,"67,396",0.02%
Casa Grande Ruins NM,254,"65,106",0.02%
Pipestone NM,255,"64,760",0.02%
Klondike Gold Rush NHP Seattle,256,"61,942",0.02%
Dayton Aviation Heritage NHP,257,"59,274",0.02%
Eisenhower NHS,258,"59,179",0.02%
Dry Tortugas NP,259,"58,401",0.02%
Florissant Fossil Beds NM,260,"58,032",0.02%
Whitman Mission NHS,261,"57,686",0.02%
River Raisin NBP,262,"57,464",0.02%
Horseshoe Bend NMP,263,"55,965",0.02%
Rainbow Bridge NM,264,"54,773",0.02%
Saratoga NHP,265,"54,364",0.02%
Navajo NM,266,"54,168",0.02%
Fort Laramie NHS,267,"54,057",0.02%
Cumberland Island NS,268,"51,435",0.02%
Pipe Spring NM,269,"51,118",0.02%
Roger Williams NMEM,270,"48,677",0.02%
Capulin Volcano NM,271,"48,466",0.02%
Tuskegee Institute NHS,272,"47,766",0.02%
Frederick Douglass NHS,273,"47,625",0.02%
Charles Pinckney NHS,274,"47,309",0.02%
Thomas Edison NHP,275,"46,677",0.02%
Hopewell Furnace NHS,276,"46,138",0.02%
Eleanor Roosevelt NHS,277,"43,686",0.02%
Fort Davis NHS,278,"43,277",0.02%
Andrew Johnson NHS,279,"42,929",0.02%
Aztec Ruins NM,280,"41,312",0.02%
Golden Spike NHP,281,"40,704",0.01%
Chiricahua NM,282,"40,646",0.01%
Longfellow House Washington's HQ NHS,283,"40,554",0.01%
El Morro NM,284,"40,051",0.01%
Tonto NM,285,"39,632",0.01%
Ulysses S. Grant NHS,286,"38,604",0.01%
Big Hole NB,287,"38,092",0.01%
Saint-Gaudens NHP,288,"37,837",0.01%
John Muir NHS,289,"37,777",0.01%
Monocacy NB,290,"37,647",0.01%
Lake Chelan NRA,291,"37,315",0.01%
Arkansas Post NMEM,292,"36,420",0.01%
Bluestone NSR,293,"36,266",0.01%
Friendship Hill NHS,294,"34,372",0.01%
Marsh-Billings-Rockefeller NHP,295,"34,112",0.01%
George Washington Carver NM,296,"33,061",0.01%
Palo Alto Battlefield NHP,297,"32,522",0.01%
Pecos NHP,298,"32,386",0.01%
Hampton NHS,299,"32,262",0.01%
Hopewell Culture NHP,300,"32,206",0.01%
Rosie The Riveter WWII Home Front NHP,301,"31,514",0.01%
Tumacacori NHP,302,"31,433",0.01%
Women's Rights NHP,303,"30,137",0.01%
Chaco Culture NHP,304,"29,917",0.01%
Harry S Truman NHS,305,"28,977",0.01%
Buck Island Reef NM,306,"28,972",0.01%
Katmai NP & PRES,307,"28,966",0.01%
Gila Cliff Dwellings NM,308,"27,825",0.01%
Fort Larned NHS,309,"27,432",0.01%
Fort Scott NHS,310,"25,773",0.01%
Cane River Creole NHP,311,"25,556",0.01%
Hovenweep NM,312,"24,959",0.01%
Salinas Pueblo Missions NM,313,"24,836",0.01%
Bent's Old Fort NHS,314,"23,324",0.01%
Weir Farm NHS,315,"22,862",0.01%
Clara Barton NHS,316,"22,737",0.01%
Booker T. Washington NM,317,"22,103",0.01%
North Cascades NP,318,"21,623",0.01%
William Howard Taft NHS,319,"21,102",0.01%
James A. Garfield NHS,320,"21,027",0.01%
Hagerman Fossil Beds NM,321,"21,008",0.01%
Russell Cave NM,322,"20,456",0.01%
Hamilton Grange NMEM,323,"20,429",0.01%
Brown v. Board of Education NHS,324,"19,356",0.01%
Tuskegee Airmen NHS,325,"19,301",0.01%
Theodore Roosevelt Inaugural NHS,326,"19,198",0.01%
Grant-Kohrs Ranch NHS,327,"18,848",0.01%
Theodore Roosevelt Birthplace NHS,328,"18,676",0.01%
Cape Krusenstern NM,329,"18,225",0.01%
National Park of American Samoa,330,"17,919",0.01%
Springfield Armory NHS,331,"17,782",0.01%
Fossil Butte NM,332,"17,662",0.01%
John F. Kennedy NHS,333,"17,273",0.01%
Noatak NPRES,334,"16,907",0.01%
Kobuk Valley NP,335,"16,875",0.01%
Isle Royale NP,336,"16,274",0.01%
Martin Van Buren NHS,337,"16,229",0.01%
Tallgrass Prairie NPRES,338,"16,128",0.01%
Sagamore Hill NHS,339,"14,639",0.01%
Knife River Indian Villages NHS,340,"14,476",0.01%
Saint Paul's Church NHS,341,"14,016",0.01%
Lake Clark NP & PRES,342,"13,000",0.00%
Fort Union Trading Post NHS,343,"12,908",0.00%
Gates of the Arctic NP & PRES,344,"11,012",0.00%
Saint Croix Island IHS,345,"10,709",0.00%
Agate Fossil Beds NM,346,"10,504",0.00%
First Ladies NHS,347,"10,068",0.00%
President W.J. Clinton Birthplace Home NHS,348,"9,838",0.00%
Fort Union NM,349,"8,965",0.00%
Washita Battlefield NHS,350,"8,434",0.00%
Cesar E. Chavez NM,351,"8,157",0.00%
Saugus Iron Works NHS,352,"8,154",0.00%
Fort Bowie NHS,353,"8,082",0.00%
Maggie L. Walker NHS,354,"7,013",0.00%
Frederick Law Olmsted NHS,355,"6,570",0.00%
Thomas Stone NHS,356,"6,013",0.00%
Edgar Allan Poe NHS,357,"5,884",0.00%
Mary McLeod Bethune Council House NHS,358,"5,686",0.00%
Sand Creek Massacre NHS,359,"4,795",0.00%
Salt River Bay NHP & Ecological Pres,360,"4,791",0.00%
Yukon-Charley Rivers NPRES,361,"3,914",0.00%
Nicodemus NHS,362,"3,241",0.00%
Eugene O'Neill NHS,363,"2,929",0.00%
Bering Land Bridge NPRES,364,"2,642",0.00%
Thaddeus Kosciuszko NMEM,365,"1,682",0.00%
Alibates Flint Quarries NM,366,"1,555",0.00%
Rio Grande W&SR,367,703,0.00%
Port Chicago Naval Magazine NMEM,368,596,0.00%
Aniakchak NM & PRES,369,134,0.00%

