Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2013,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Golden Gate NRA,1,"14,289,121",5.22%
Blue Ridge PKWY,2,"12,877,368",4.71%
Great Smoky Mountains NP,3,"9,354,695",3.42%
George Washington MEM PKWY,4,"7,360,392",2.69%
Lincoln Memorial,5,"6,546,518",2.39%
Lake Mead NRA,6,"6,344,714",2.32%
Gateway NRA,7,"6,191,246",2.26%
Natchez Trace PKWY,8,"6,012,740",2.20%
Chesapeake & Ohio Canal NHP,9,"4,941,367",1.81%
Delaware Water Gap NRA,10,"4,843,350",1.77%
Gulf Islands NS,11,"4,837,965",1.77%
Grand Canyon NP,12,"4,564,840",1.67%
Cape Cod NS,13,"4,501,898",1.65%
San Francisco Maritime NHP,14,"4,154,455",1.52%
Vietnam Veterans MEM,15,"4,142,721",1.51%
World War II Memorial,16,"3,934,166",1.44%
Yosemite NP,17,"3,691,191",1.35%
Independence NHP,18,"3,553,070",1.30%
Korean War Veterans Memorial,19,"3,209,279",1.17%
"Martin Luther King, Jr. Memorial",20,"3,205,654",1.17%
Yellowstone NP,21,"3,188,030",1.17%
Colonial NHP,22,"3,168,731",1.16%
Olympic NP,23,"3,085,340",1.13%
Chattahoochee River NRA,24,"3,039,892",1.11%
Rocky Mountain NP,25,"2,991,141",1.09%
Franklin Delano Roosevelt MEM,26,"2,837,729",1.04%
Zion NP,27,"2,807,387",1.03%
Grand Teton NP,28,"2,688,794",0.98%
Point Reyes NS,29,"2,641,808",0.97%
Thomas Jefferson MEM,30,"2,609,463",0.95%
Gateway Arch NP,31,"2,377,258",0.87%
Acadia NP,32,"2,254,922",0.82%
Boston NHP,33,"2,245,875",0.82%
Cape Hatteras NS,34,"2,214,565",0.81%
Glacier NP,35,"2,190,374",0.80%
Castle Clinton NM,36,"2,180,694",0.80%
Mount Rushmore NMEM,37,"2,162,998",0.79%
Cuyahoga Valley NP,38,"2,103,010",0.77%
Assateague Island NS,39,"2,056,828",0.75%
