Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2015,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Cuyahoga Valley NP,38,"2,284,612",0.74%
Assateague Island NS,39,"2,275,606",0.74%
Cape Hatteras NS,40,"2,274,635",0.74%
Boston NHP,41,"2,262,841",0.74%
Kennesaw Mountain NBP,42,"2,174,870",0.71%
Valley Forge NHP,43,"2,143,965",0.70%
Joshua Tree NP,44,"2,025,756",0.66%
National Capital Parks Central,45,"1,833,085",0.60%
Hawaii Volcanoes NP,46,"1,832,660",0.60%
Bryce Canyon NP,47,"1,745,804",0.57%
Gateway Arch NP,48,"1,698,656",0.55%
Canaveral NS,49,"1,689,754",0.55%
Indiana Dunes NP,50,"1,640,195",0.53%
Fort Point NHS,51,"1,610,466",0.52%
Pearl Harbor NMEM,52,"1,574,156",0.51%
Sleeping Bear Dunes NL,53,"1,535,633",0.50%
San Juan NHS,54,"1,532,818",0.50%
Buffalo NR,55,"1,463,304",0.48%
"John D. Rockefeller, Jr. MEM PKWY",56,"1,430,337",0.47%
Hot Springs NP,57,"1,418,162",0.46%
Arches NP,58,"1,399,247",0.46%
San Antonio Missions NHP,59,"1,322,154",0.43%
Shenandoah NP,60,"1,321,873",0.43%
Ozark NSR,61,"1,277,941",0.42%
Chickasaw NRA,62,"1,254,105",0.41%
Amistad NRA,63,"1,250,051",0.41%
Timucuan EHP,64,"1,239,423",0.40%
Mount Rainier NP,65,"1,237,231",0.40%
National Capital Parks East,66,"1,220,403",0.40%
Haleakala NP,67,"1,216,772",0.40%
New River Gorge NR,68,"1,178,753",0.38%
Lake Roosevelt NRA,69,"1,170,843",0.38%
Death Valley NP,70,"1,154,843",0.38%
Big Cypress NPRES,71,"1,112,290",0.36%
Muir Woods NM,72,"1,099,923",0.36%
Sequoia NP,73,"1,097,464",0.36%
Gettysburg NMP,74,"1,080,185",0.35%
Everglades NP,75,"1,077,427",0.35%
Chickamauga & Chattanooga NMP,76,"1,002,373",0.33%
Badlands NP,77,"989,354",0.32%
Cabrillo NM,78,"981,825",0.32%
Minute Man NHP,79,"964,330",0.31%
Curecanti NRA,80,"944,742",0.31%
Capitol Reef NP,81,"941,029",0.31%
Klondike Gold Rush NHP Alaska,82,"919,661",0.30%
President's Park,83,"903,161",0.29%
Fredericksburg & Spotsylvania NMP,84,"891,917",0.29%
Whiskeytown NRA,85,"843,845",0.27%
Fort Sumter and Fort Moultrie NHP,86,"840,711",0.27%
Cumberland Gap NHP,87,"840,601",0.27%
Lake Meredith NRA,88,"831,374",0.27%
Castillo de San Marcos NM,89,"819,154",0.27%
Fort Vancouver NHS,90,"818,672",0.27%
Canyon de Chelly NM,91,"813,686",0.26%
Santa Monica Mountains NRA,92,"797,126",0.26%
Cedar Breaks NM,93,"793,601",0.26%
Petrified Forest NP,94,"793,225",0.26%
Ross Lake NRA,95,"772,579",0.25%
Saguaro NP,96,"753,446",0.25%
Pictured Rocks NL,97,"723,178",0.24%
Ford's Theatre NHS,98,"681,537",0.22%
"Martin Luther King, Jr. NHP",99,"673,728",0.22%
Big South Fork NRRA,100,"643,135",0.21%
Canyonlands NP,101,"634,607",0.21%
Saint Croix NSR,102,"623,122",0.20%
Fort Matanzas NM,103,"622,175",0.20%
Fort McHenry NM & HS,104,"617,890",0.20%
Crater Lake NP,105,"614,712",0.20%
Wind Cave NP,106,"612,198",0.20%
Mojave NPRES,107,"589,155",0.19%
Colorado NM,108,"588,006",0.19%
Padre Island NS,109,"582,839",0.19%
Theodore Roosevelt NP,110,"580,033",0.19%
Mammoth Cave NP,111,"566,895",0.18%
Denali NP & PRES,112,"560,757",0.18%
Glacier Bay NP & PRES,113,"551,353",0.18%
Mesa Verde NP,114,"547,325",0.18%
Vicksburg NMP,115,"532,444",0.17%
Arlington House The R.E. Lee MEM,116,"532,050",0.17%
Lowell NHP,117,"531,055",0.17%
Redwood NP,118,"527,143",0.17%
White House,119,"526,263",0.17%
Biscayne NP,120,"508,164",0.17%
Manassas NBP,121,"502,045",0.16%
White Sands NM,122,"497,506",0.16%
Washington Monument,123,"493,550",0.16%
Devils Tower NM,124,"478,833",0.16%
Kings Canyon NP,125,"468,106",0.15%
Lassen Volcanic NP,126,"468,092",0.15%
Carlsbad Caverns NP,127,"445,720",0.15%
Fire Island NS,128,"441,899",0.14%
Governors Island NM,129,"438,613",0.14%
Virgin Islands NP,130,"438,372",0.14%
Pu'uhonua o Honaunau NHP,131,"437,286",0.14%
Wright Brothers NMEM,132,"437,184",0.14%
Vanderbilt Mansion NHS,133,"431,961",0.14%
Montezuma Castle NM,134,"416,635",0.14%
Appomattox Court House NHP,135,"412,640",0.13%
Boston African American NHS,136,"412,377",0.13%
Wolf Trap NP for the Performing Arts,137,"407,351",0.13%
Jean Lafitte NHP & PRES,138,"405,618",0.13%
Cape Lookout NS,139,"400,413",0.13%
Fort Pulaski NM,140,"382,945",0.12%
Big Bend NP,141,"381,747",0.12%
Shiloh NMP,142,"356,535",0.12%
Antietam NB,143,"347,180",0.11%
Fort Washington Park,144,"337,433",0.11%
Flight 93 NMEM,145,"337,217",0.11%
Channel Islands NP,146,"324,816",0.11%
War in the Pacific NHP,147,"322,463",0.10%
Little Bighorn Battlefield NM,148,"317,782",0.10%
Prince William Forest Park,149,"312,109",0.10%
Great Sand Dunes NP & PRES,150,"299,513",0.10%
Kenai Fjords NP,151,"296,697",0.10%
De Soto NMEM,152,"293,647",0.10%
Dinosaur NM,153,"291,799",0.09%
Fort Raleigh NHS,154,"289,885",0.09%
Harpers Ferry NHP,155,"282,893",0.09%
Fort Necessity NB,156,"280,705",0.09%
Lewis & Clark NHP,157,"270,410",0.09%
Stones River NB,158,"264,925",0.09%
Salem Maritime NHS,159,"264,780",0.09%
Fort Donelson NB,160,"260,744",0.08%
San Juan Island NHP,161,"258,668",0.08%
Kings Mountain NMP,162,"257,077",0.08%
Little River Canyon NPRES,163,"248,135",0.08%
Craters of the Moon NM & PRES,164,"246,826",0.08%
Bighorn Canyon NRA,165,"245,173",0.08%
Upper Delaware S&RR,166,"243,246",0.08%
Voyageurs NP,167,"238,313",0.08%
Lincoln Home NHS,168,"233,299",0.08%
LBJ Memorial Grove on the Potomac,169,"232,882",0.08%
Apostle Islands NL,170,"232,662",0.08%
Catoctin Mountain Park,171,"229,301",0.07%
Nez Perce NHP,172,"224,967",0.07%
Fort Caroline NMEM,173,"224,418",0.07%
Organ Pipe Cactus NM,174,"222,723",0.07%
Guilford Courthouse NMP,175,"222,602",0.07%
Morristown NHP,176,"218,959",0.07%
Obed W&SR,177,"214,441",0.07%
Wupatki NM,178,"212,828",0.07%
Black Canyon of the Gunnison NP,179,"209,166",0.07%
Cowpens NB,180,"206,740",0.07%
Pinnacles NP,181,"206,533",0.07%
Natchez NHP,182,"204,332",0.07%
Fort Frederica NM,183,"202,191",0.07%
John Day Fossil Beds NM,184,"196,277",0.06%
Petersburg NB,185,"192,655",0.06%
Sitka NHP,186,"185,150",0.06%
Richmond NBP,187,"184,175",0.06%
Adams NHP,188,"183,632",0.06%
Sunset Crater Volcano NM,189,"182,203",0.06%
Home of Franklin D. Roosevelt NHS,190,"180,405",0.06%
El Malpais NM,191,"174,433",0.06%
Bandelier NM,192,"174,073",0.06%
Federal Hall NMEM,193,"172,038",0.06%
Kaloko Honokohau NHP,194,"170,683",0.06%
Guadalupe Mountains NP,195,"169,535",0.06%
Allegheny Portage Railroad NHS,196,"168,433",0.05%
New Bedford Whaling NHP,197,"167,790",0.05%
Johnstown Flood NMEM,198,"163,431",0.05%
Wilson's Creek NB,199,"161,004",0.05%
Theodore Roosevelt Island,200,"159,740",0.05%
Perry's Victory & Intl. Peace MEM,201,"156,578",0.05%
Ocmulgee Mounds NHP,202,"155,388",0.05%
Walnut Canyon NM,203,"153,322",0.05%
Piscataway Park,204,"148,729",0.05%
Abraham Lincoln Birthplace NHP,205,"148,605",0.05%
Missouri NRR,206,"145,004",0.05%
Devils Postpile NM,207,"140,313",0.05%
Pu'ukohola Heiau NHS,208,"139,586",0.05%
Andersonville NHS,209,"136,686",0.04%
George Rogers Clark NHP,210,"135,856",0.04%
Greenbelt Park,211,"135,260",0.04%
Coronado NMEM,212,"132,584",0.04%
Scotts Bluff NM,213,"131,122",0.04%
George Washington Birthplace NM,214,"130,952",0.04%
Mississippi NRRA,215,"127,635",0.04%
Herbert Hoover NHS,216,"127,154",0.04%
Little Rock Central High School NHS,217,"125,956",0.04%
Big Thicket NPRES,218,"125,832",0.04%
Lyndon B. Johnson NHP,219,"124,979",0.04%
Chamizal NMEM,220,"122,431",0.04%
Petroglyph NM,221,"117,825",0.04%
Christiansted NHS,222,"116,817",0.04%
Jewel Cave NM,223,"116,444",0.04%
Great Basin NP,224,"116,123",0.04%
Pea Ridge NMP,225,"114,578",0.04%
Lincoln Boyhood NMEM,226,"111,711",0.04%
Fort Smith NHS,227,"111,469",0.04%
River Raisin NBP,228,"109,118",0.04%
Lava Beds NM,229,"108,687",0.04%
Gauley River NRA,230,"105,374",0.03%
City of Rocks NRES,231,"105,289",0.03%
Timpanogos Cave NM,232,"104,023",0.03%
Minuteman Missile NHS,233,"100,488",0.03%
General Grant NMEM,234,"95,526",0.03%
Manzanar NHS,235,"95,327",0.03%
Tuzigoot NM,236,"95,065",0.03%
Natural Bridges NM,237,"94,797",0.03%
Grand Portage NM,238,"91,751",0.03%
Moores Creek NB,239,"89,944",0.03%
Steamtown NHS,240,"89,592",0.03%
Horseshoe Bend NMP,241,"89,282",0.03%
Congaree NP,242,"87,513",0.03%
Fort Stanwix NM,243,"86,678",0.03%
Effigy Mounds NM,244,"81,901",0.03%
Wrangell-St. Elias NP & PRES,245,"80,366",0.03%
Ninety Six NHS,246,"80,223",0.03%
Homestead NM of America,247,"78,739",0.03%
Rainbow Bridge NM,248,"77,270",0.03%
Dayton Aviation Heritage NHP,249,"73,588",0.02%
Oregon Caves NM & PRES,250,"72,709",0.02%
Carl Sandburg Home NHS,251,"72,606",0.02%
Casa Grande Ruins NM,252,"72,606",0.02%
Navajo NM,253,"71,370",0.02%
Dry Tortugas NP,254,"70,862",0.02%
Pipestone NM,255,"70,748",0.02%
Florissant Fossil Beds NM,256,"69,130",0.02%
Niobrara NSR,257,"68,110",0.02%
Kalaupapa NHP,258,"67,891",0.02%
Jimmy Carter NHS,259,"67,797",0.02%
Hubbell Trading Post NHS,260,"66,324",0.02%
Saratoga NHP,261,"65,010",0.02%
Eleanor Roosevelt NHS,262,"64,791",0.02%
Monocacy NB,263,"64,596",0.02%
Roger Williams NMEM,264,"60,505",0.02%
Klondike Gold Rush NHP Seattle,265,"60,372",0.02%
Cumberland Island NS,266,"59,859",0.02%
Golden Spike NHP,267,"59,147",0.02%
New Orleans Jazz NHP,268,"58,188",0.02%
Chiricahua NM,269,"56,960",0.02%
Rosie The Riveter WWII Home Front NHP,270,"56,362",0.02%
African Burial Ground NM,271,"56,348",0.02%
Thomas Edison NHP,272,"56,317",0.02%
Fort Davis NHS,273,"55,955",0.02%
Capulin Volcano NM,274,"55,506",0.02%
Pipe Spring NM,275,"54,619",0.02%
Eisenhower NHS,276,"54,377",0.02%
Frederick Douglass NHS,277,"53,873",0.02%
Aztec Ruins NM,278,"53,165",0.02%
Fort Laramie NHS,279,"51,616",0.02%
Hopewell Furnace NHS,280,"51,252",0.02%
Longfellow House Washington's HQ NHS,281,"50,784",0.02%
El Morro NM,282,"49,390",0.02%
Palo Alto Battlefield NHP,283,"47,866",0.02%
Weir Farm NHS,284,"47,220",0.02%
Charles Pinckney NHS,285,"46,995",0.02%
Andrew Johnson NHS,286,"45,357",0.01%
Hopewell Culture NHP,287,"43,587",0.01%
John Muir NHS,288,"42,615",0.01%
Sagamore Hill NHS,289,"42,326",0.01%
Tumacacori NHP,290,"42,146",0.01%
Buck Island Reef NM,291,"41,936",0.01%
Big Hole NB,292,"39,549",0.01%
Whitman Mission NHS,293,"39,525",0.01%
Saint-Gaudens NHP,294,"39,242",0.01%
Ulysses S. Grant NHS,295,"39,048",0.01%
Chaco Culture NHP,296,"38,914",0.01%
Arkansas Post NMEM,297,"38,702",0.01%
Women's Rights NHP,298,"38,139",0.01%
Katmai NP & PRES,299,"37,818",0.01%
George Washington Carver NM,300,"37,745",0.01%
Tonto NM,301,"37,523",0.01%
Bluestone NSR,302,"36,733",0.01%
Gila Cliff Dwellings NM,303,"36,518",0.01%
Hamilton Grange NMEM,304,"35,446",0.01%
Hovenweep NM,305,"35,117",0.01%
Marsh-Billings-Rockefeller NHP,306,"35,003",0.01%
Friendship Hill NHS,307,"34,687",0.01%
Hampton NHS,308,"34,685",0.01%
Harry S Truman NHS,309,"32,825",0.01%
Lake Chelan NRA,310,"32,186",0.01%
Fort Larned NHS,311,"32,170",0.01%
Cane River Creole NHP,312,"30,882",0.01%
Pecos NHP,313,"30,229",0.01%
Salinas Pueblo Missions NM,314,"29,672",0.01%
Tallgrass Prairie NPRES,315,"29,558",0.01%
Booker T. Washington NM,316,"27,205",0.01%
Bent's Old Fort NHS,317,"26,219",0.01%
Fort Scott NHS,318,"25,531",0.01%
Brown v. Board of Education NHS,319,"25,338",0.01%
Theodore Roosevelt Inaugural NHS,320,"24,896",0.01%
Hagerman Fossil Beds NM,321,"24,695",0.01%
James A. Garfield NHS,322,"24,506",0.01%
William Howard Taft NHS,323,"24,385",0.01%
Tuskegee Airmen NHS,324,"22,662",0.01%
Grant-Kohrs Ranch NHS,325,"22,139",0.01%
Springfield Armory NHS,326,"21,825",0.01%
North Cascades NP,327,"20,677",0.01%
Waco Mammoth NM,328,"20,551",0.01%
Russell Cave NM,329,"19,430",0.01%
Fossil Butte NM,330,"19,293",0.01%
Isle Royale NP,331,"18,684",0.01%
Martin Van Buren NHS,332,"18,547",0.01%
John F. Kennedy NHS,333,"18,485",0.01%
Lake Clark NP & PRES,334,"17,818",0.01%
Saint Paul's Church NHS,335,"17,180",0.01%
National Park of American Samoa,336,"13,892",0.00%
Edgar Allan Poe NHS,337,"13,862",0.00%
Fort Union Trading Post NHS,338,"13,605",0.00%
Agate Fossil Beds NM,339,"13,264",0.00%
First Ladies NHS,340,"12,897",0.00%
Saint Croix Island IHS,341,"12,557",0.00%
Washita Battlefield NHS,342,"12,067",0.00%
Fort Union NM,343,"11,726",0.00%
Knife River Indian Villages NHS,344,"11,377",0.00%
Gates of the Arctic NP & PRES,345,"10,745",0.00%
Cesar E. Chavez NM,346,"10,648",0.00%
President W.J. Clinton Birthplace Home NHS,347,"10,463",0.00%
Alibates Flint Quarries NM,348,"9,492",0.00%
Frederick Law Olmsted NHS,349,"9,473",0.00%
Saugus Iron Works NHS,350,"9,327",0.00%
Mary McLeod Bethune Council House NHS,351,"8,249",0.00%
Salt River Bay NHP & Ecological Pres,352,"8,108",0.00%
Tuskegee Institute NHS,353,"7,961",0.00%
Fort Bowie NHS,354,"7,760",0.00%
Maggie L. Walker NHS,355,"7,589",0.00%
Theodore Roosevelt Birthplace NHS,356,"6,685",0.00%
Sand Creek Massacre NHS,357,"5,887",0.00%
Thomas Stone NHS,358,"5,772",0.00%
Charles Young Buffalo Soldiers NM,359,"3,993",0.00%
Eugene O'Neill NHS,360,"3,942",0.00%
Nicodemus NHS,361,"3,306",0.00%
Clara Barton NHS,362,"2,823",0.00%
Bering Land Bridge NPRES,363,"2,642",0.00%
Thaddeus Kosciuszko NMEM,364,"1,261",0.00%
Yukon-Charley Rivers NPRES,365,"1,133",0.00%
Port Chicago Naval Magazine NMEM,366,963,0.00%
Aniakchak NM & PRES,367,153,0.00%
Rio Grande W&SR,368,120,0.00%

