Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2015,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Blue Ridge PKWY,1,"15,054,603",4.90%
Golden Gate NRA,2,"14,888,537",4.85%
Great Smoky Mountains NP,3,"10,712,674",3.49%
Lincoln Memorial,4,"7,941,771",2.58%
Lake Mead NRA,5,"7,298,465",2.38%
George Washington MEM PKWY,6,"7,286,463",2.37%
Gateway NRA,7,"6,392,565",2.08%
Natchez Trace PKWY,8,"5,785,812",1.88%
Vietnam Veterans MEM,9,"5,597,077",1.82%
Grand Canyon NP,10,"5,520,736",1.80%
World War II Memorial,11,"5,068,224",1.65%
Chesapeake & Ohio Canal NHP,12,"4,798,312",1.56%
Castle Clinton NM,13,"4,597,029",1.50%
Cape Cod NS,14,"4,503,220",1.47%
Independence NHP,15,"4,311,582",1.40%
Statue of Liberty NM,16,"4,279,020",1.39%
San Francisco Maritime NHP,17,"4,173,014",1.36%
Rocky Mountain NP,18,"4,155,916",1.35%
Yosemite NP,19,"4,150,217",1.35%
Yellowstone NP,20,"4,097,710",1.33%
Korean War Veterans Memorial,21,"4,077,835",1.33%
Gulf Islands NS,22,"3,976,883",1.29%
Delaware Water Gap NRA,23,"3,735,134",1.22%
Zion NP,24,"3,648,846",1.19%
"Martin Luther King, Jr. Memorial",25,"3,530,401",1.15%
Colonial NHP,26,"3,343,909",1.09%
Franklin Delano Roosevelt MEM,27,"3,290,080",1.07%
Olympic NP,28,"3,263,761",1.06%
Chattahoochee River NRA,29,"3,173,204",1.03%
Grand Teton NP,30,"3,149,921",1.03%
Thomas Jefferson MEM,31,"3,102,442",1.01%
Acadia NP,32,"2,811,184",0.91%
Point Reyes NS,33,"2,501,106",0.81%
Glen Canyon NRA,34,"2,495,093",0.81%
Rock Creek Park,35,"2,443,772",0.80%
Mount Rushmore NMEM,36,"2,434,297",0.79%
Glacier NP,37,"2,366,056",0.77%
