Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2010,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Blue Ridge PKWY,1,"14,517,118",5.16%
Golden Gate NRA,2,"14,271,503",5.07%
Great Smoky Mountains NP,3,"9,463,538",3.36%
Gateway NRA,4,"8,820,757",3.14%
Lake Mead NRA,5,"7,080,758",2.52%
George Washington MEM PKWY,6,"6,925,099",2.46%
Lincoln Memorial,7,"6,042,315",2.15%
Natchez Trace PKWY,8,"5,910,950",2.10%
Delaware Water Gap NRA,9,"5,285,761",1.88%
Cape Cod NS,10,"4,653,706",1.65%
Vietnam Veterans MEM,11,"4,555,371",1.62%
Grand Canyon NP,12,"4,388,386",1.56%
Gulf Islands NS,13,"4,283,747",1.52%
San Francisco Maritime NHP,14,"4,130,970",1.47%
Castle Clinton NM,15,"4,126,378",1.47%
Chesapeake & Ohio Canal NHP,16,"4,111,238",1.46%
World War II Memorial,17,"3,964,351",1.41%
Yosemite NP,18,"3,901,408",1.39%
Statue of Liberty NM,19,"3,833,288",1.36%
Independence NHP,20,"3,751,007",1.33%
Yellowstone NP,21,"3,640,185",1.29%
Colonial NHP,22,"3,459,965",1.23%
Korean War Veterans Memorial,23,"3,072,716",1.09%
Chattahoochee River NRA,24,"3,011,393",1.07%
Rocky Mountain NP,25,"2,955,821",1.05%
Olympic NP,26,"2,844,563",1.01%
Grand Teton NP,27,"2,669,374",0.95%
Zion NP,28,"2,665,972",0.95%
Acadia NP,29,"2,504,208",0.89%
Cuyahoga Valley NP,30,"2,492,670",0.89%
Gateway Arch NP,31,"2,436,110",0.87%
Mount Rushmore NMEM,32,"2,331,237",0.83%
Thomas Jefferson MEM,33,"2,305,856",0.82%
Franklin Delano Roosevelt MEM,34,"2,238,052",0.80%
Glacier NP,35,"2,200,048",0.78%
Cape Hatteras NS,36,"2,193,292",0.78%
Indiana Dunes NP,37,"2,150,345",0.76%
Glen Canyon NRA,38,"2,124,467",0.76%
Assateague Island NS,39,"2,106,090",0.75%
Point Reyes NS,40,"2,067,271",0.73%
Boston NHP,41,"2,060,497",0.73%
Rock Creek Park,42,"1,883,457",0.67%
Valley Forge NHP,43,"1,617,511",0.58%
Amistad NRA,44,"1,574,322",0.56%
Buffalo NR,45,"1,545,599",0.55%
Kennesaw Mountain NBP,46,"1,512,191",0.54%
Joshua Tree NP,47,"1,434,976",0.51%
