Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2014,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Golden Gate NRA,1,"15,004,420",5.12%
Blue Ridge PKWY,2,"13,941,749",4.76%
Great Smoky Mountains NP,3,"10,099,276",3.45%
George Washington MEM PKWY,4,"7,472,150",2.55%
Lincoln Memorial,5,"7,139,072",2.44%
Lake Mead NRA,6,"6,942,873",2.37%
Gateway NRA,7,"6,021,713",2.06%
Natchez Trace PKWY,8,"5,846,474",2.00%
Chesapeake & Ohio Canal NHP,9,"5,066,219",1.73%
Grand Canyon NP,10,"4,756,771",1.62%
Castle Clinton NM,11,"4,727,110",1.61%
Gulf Islands NS,12,"4,455,240",1.52%
Cape Cod NS,13,"4,426,750",1.51%
Vietnam Veterans MEM,14,"4,403,467",1.50%
San Francisco Maritime NHP,15,"4,256,888",1.45%
World War II Memorial,16,"4,230,793",1.44%
Statue of Liberty NM,17,"4,198,815",1.43%
Delaware Water Gap NRA,18,"4,041,672",1.38%
Yosemite NP,19,"3,882,642",1.33%
Korean War Veterans Memorial,20,"3,767,287",1.29%
Independence NHP,21,"3,648,050",1.25%
Yellowstone NP,22,"3,513,484",1.20%
Rocky Mountain NP,23,"3,434,751",1.17%
Colonial NHP,24,"3,335,060",1.14%
Olympic NP,25,"3,243,872",1.11%
"Martin Luther King, Jr. Memorial",26,"3,199,136",1.09%
Zion NP,27,"3,189,696",1.09%
Chattahoochee River NRA,28,"3,119,160",1.07%
Franklin Delano Roosevelt MEM,29,"2,938,239",1.00%
Grand Teton NP,30,"2,791,392",0.95%
Thomas Jefferson MEM,31,"2,708,607",0.93%
Acadia NP,32,"2,563,129",0.88%
Boston NHP,33,"2,476,078",0.85%
Rock Creek Park,34,"2,437,948",0.83%
Point Reyes NS,35,"2,433,944",0.83%
Glen Canyon NRA,36,"2,368,452",0.81%
Glacier NP,37,"2,338,528",0.80%
Cuyahoga Valley NP,38,"2,189,849",0.75%
Assateague Island NS,39,"2,170,681",0.74%
Cape Hatteras NS,40,"2,153,350",0.74%
Mount Rushmore NMEM,41,"2,144,808",0.73%
Kennesaw Mountain NBP,42,"2,119,013",0.72%
National Capital Parks Central,43,"1,999,232",0.68%
Valley Forge NHP,44,"1,990,881",0.68%
Gateway Arch NP,45,"1,817,091",0.62%
Hawaii Volcanoes NP,46,"1,693,005",0.58%
Fort Point NHS,47,"1,677,457",0.57%
Pearl Harbor NMEM,48,"1,620,814",0.55%
Joshua Tree NP,49,"1,589,904",0.54%
Indiana Dunes NP,50,"1,553,372",0.53%
Canaveral NS,51,"1,451,225",0.50%
Bryce Canyon NP,52,"1,435,741",0.49%
Hot Springs NP,53,"1,424,484",0.49%
Sleeping Bear Dunes NL,54,"1,395,401",0.48%
