Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2014,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
San Antonio Missions NHP,55,"1,395,337",0.48%
San Juan NHS,56,"1,382,906",0.47%
Buffalo NR,57,"1,357,057",0.46%
National Capital Parks East,58,"1,311,995",0.45%
Ozark NSR,59,"1,296,437",0.44%
Arches NP,60,"1,284,767",0.44%
"John D. Rockefeller, Jr. MEM PKWY",61,"1,264,842",0.43%
Mount Rainier NP,62,"1,264,259",0.43%
Shenandoah NP,63,"1,255,321",0.43%
Big Cypress NPRES,64,"1,192,856",0.41%
Lake Roosevelt NRA,65,"1,180,898",0.40%
Chickasaw NRA,66,"1,152,083",0.39%
Haleakala NP,67,"1,142,040",0.39%
Amistad NRA,68,"1,130,096",0.39%
New River Gorge NR,69,"1,124,799",0.38%
Timucuan EHP,70,"1,121,318",0.38%
Everglades NP,71,"1,110,901",0.38%
Death Valley NP,72,"1,101,312",0.38%
Klondike Gold Rush NHP Alaska,73,"1,085,202",0.37%
Minute Man NHP,74,"1,056,549",0.36%
Muir Woods NM,75,"1,049,400",0.36%
Sequoia NP,76,"1,039,137",0.35%
Gettysburg NMP,77,"1,020,702",0.35%
Chickamauga & Chattanooga NMP,78,"996,694",0.34%
Curecanti NRA,79,"931,367",0.32%
Cabrillo NM,80,"893,434",0.31%
Cumberland Gap NHP,81,"879,934",0.30%
Fredericksburg & Spotsylvania NMP,82,"873,328",0.30%
Badlands NP,83,"868,094",0.30%
Whiskeytown NRA,84,"851,901",0.29%
Petrified Forest NP,85,"836,799",0.29%
Fort Sumter and Fort Moultrie NHP,86,"828,521",0.28%
Canyon de Chelly NM,87,"827,761",0.28%
Fort Vancouver NHS,88,"803,740",0.27%
Capitol Reef NP,89,"786,514",0.27%
Fort McHenry NM & HS,90,"769,300",0.26%
"Martin Luther King, Jr. NHP",91,"766,030",0.26%
Cedar Breaks NM,92,"762,907",0.26%
Castillo de San Marcos NM,93,"760,708",0.26%
President's Park,94,"723,923",0.25%
Ross Lake NRA,95,"710,612",0.24%
Governors Island NM,96,"698,227",0.24%
Santa Monica Mountains NRA,97,"694,714",0.24%
Lake Meredith NRA,98,"692,195",0.24%
Saguaro NP,99,"673,572",0.23%
Arlington House The R.E. Lee MEM,100,"671,638",0.23%
Saint Croix NSR,101,"671,582",0.23%
Ford's Theatre NHS,102,"655,441",0.22%
Big South Fork NRRA,103,"599,906",0.20%
Padre Island NS,104,"578,815",0.20%
White House,105,"569,391",0.19%
Fort Matanzas NM,106,"568,529",0.19%
Theodore Roosevelt NP,107,"559,580",0.19%
Mojave NPRES,108,"554,560",0.19%
Vicksburg NMP,109,"550,874",0.19%
Wind Cave NP,110,"547,022",0.19%
Canyonlands NP,111,"542,431",0.19%
Crater Lake NP,112,"535,508",0.18%
Denali NP & PRES,113,"531,315",0.18%
Pictured Rocks NL,114,"527,897",0.18%
Biscayne NP,115,"525,745",0.18%
Mammoth Cave NP,116,"522,628",0.18%
Lowell NHP,117,"514,524",0.18%
Manassas NBP,118,"514,140",0.18%
White Sands NM,119,"503,660",0.17%
Kings Canyon NP,120,"502,268",0.17%
Mesa Verde NP,121,"501,563",0.17%
Glacier Bay NP & PRES,122,"500,727",0.17%
Fort Washington Park,123,"466,078",0.16%
Jean Lafitte NHP & PRES,124,"445,524",0.15%
Devils Tower NM,125,"440,875",0.15%
Lassen Volcanic NP,126,"432,977",0.15%
Cape Lookout NS,127,"430,927",0.15%
Wright Brothers NMEM,128,"430,517",0.15%
Redwood NP,129,"429,166",0.15%
Virgin Islands NP,130,"426,930",0.15%
Washington Monument,131,"423,170",0.14%
Colorado NM,132,"416,862",0.14%
Shiloh NMP,133,"409,086",0.14%
Boston African American NHS,134,"408,641",0.14%
Montezuma Castle NM,135,"407,017",0.14%
Salem Maritime NHS,136,"403,758",0.14%
Pu'uhonua o Honaunau NHP,137,"401,808",0.14%
Vanderbilt Mansion NHS,138,"398,447",0.14%
Carlsbad Caverns NP,139,"397,309",0.14%
Wolf Trap NP for the Performing Arts,140,"388,283",0.13%
Fort Pulaski NM,141,"387,010",0.13%
Fire Island NS,142,"384,343",0.13%
Channel Islands NP,143,"342,161",0.12%
De Soto NMEM,144,"342,039",0.12%
Antietam NB,145,"337,079",0.12%
Prince William Forest Park,146,"315,072",0.11%
Big Bend NP,147,"314,102",0.11%
Apostle Islands NL,148,"290,059",0.10%
Flight 93 NMEM,149,"284,226",0.10%
Little Bighorn Battlefield NM,150,"281,436",0.10%
Appomattox Court House NHP,151,"278,776",0.10%
New Bedford Whaling NHP,152,"272,731",0.09%
Stones River NB,153,"272,499",0.09%
Great Sand Dunes NP & PRES,154,"271,774",0.09%
Kenai Fjords NP,155,"270,666",0.09%
San Juan Island NHP,156,"268,946",0.09%
War in the Pacific NHP,157,"266,191",0.09%
Fort Raleigh NHS,158,"264,987",0.09%
Morristown NHP,159,"264,363",0.09%
Fort Donelson NB,160,"262,317",0.09%
Harpers Ferry NHP,161,"261,202",0.09%
LBJ Memorial Grove on the Potomac,162,"254,167",0.09%
Kings Mountain NMP,163,"251,093",0.09%
Dinosaur NM,164,"250,625",0.09%
Lewis & Clark NHP,165,"244,921",0.08%
Abraham Lincoln Birthplace NHP,166,"241,264",0.08%
Voyageurs NP,167,"239,160",0.08%
Upper Delaware S&RR,168,"230,845",0.08%
Fort Frederica NM,169,"228,103",0.08%
Little River Canyon NPRES,170,"224,931",0.08%
Organ Pipe Cactus NM,171,"224,548",0.08%
Bighorn Canyon NRA,172,"224,083",0.08%
Nez Perce NHP,173,"221,439",0.08%
Fort Necessity NB,174,"219,546",0.07%
Lincoln Home NHS,175,"218,132",0.07%
Obed W&SR,176,"215,767",0.07%
Natchez NHP,177,"215,257",0.07%
Craters of the Moon NM & PRES,178,"214,993",0.07%
Petersburg NB,179,"205,572",0.07%
Cowpens NB,180,"200,836",0.07%
Pinnacles NP,181,"196,635",0.07%
Wupatki NM,182,"195,962",0.07%
Catoctin Mountain Park,183,"188,170",0.06%
Fort Caroline NMEM,184,"187,843",0.06%
John Day Fossil Beds NM,185,"183,420",0.06%
Black Canyon of the Gunnison NP,186,"183,045",0.06%
Richmond NBP,187,"179,552",0.06%
Home of Franklin D. Roosevelt NHS,188,"179,340",0.06%
Adams NHP,189,"178,468",0.06%
Sunset Crater Volcano NM,190,"176,723",0.06%
Guilford Courthouse NMP,191,"173,261",0.06%
Allegheny Portage Railroad NHS,192,"172,883",0.06%
Guadalupe Mountains NP,193,"166,868",0.06%
El Malpais NM,194,"164,063",0.06%
Wilson's Creek NB,195,"161,058",0.06%
Sitka NHP,196,"157,297",0.05%
Kaloko Honokohau NHP,197,"154,206",0.05%
Theodore Roosevelt Island,198,"146,500",0.05%
Johnstown Flood NMEM,199,"141,354",0.05%
Herbert Hoover NHS,200,"139,086",0.05%
Lava Beds NM,201,"138,499",0.05%
Federal Hall NMEM,202,"137,538",0.05%
Walnut Canyon NM,203,"135,230",0.05%
Missouri NRR,204,"134,760",0.05%
Pu'ukohola Heiau NHS,205,"134,734",0.05%
Greenbelt Park,206,"132,688",0.05%
George Washington Birthplace NM,207,"131,984",0.05%
Bandelier NM,208,"130,106",0.04%
Perry's Victory & Intl. Peace MEM,209,"129,440",0.04%
Andersonville NHS,210,"127,189",0.04%
George Rogers Clark NHP,211,"125,218",0.04%
Ocmulgee Mounds NHP,212,"122,799",0.04%
Congaree NP,213,"120,122",0.04%
Scotts Bluff NM,214,"119,159",0.04%
Coronado NMEM,215,"118,838",0.04%
Gauley River NRA,216,"117,354",0.04%
Little Rock Central High School NHS,217,"115,908",0.04%
Petroglyph NM,218,"115,859",0.04%
Devils Postpile NM,219,"114,414",0.04%
Big Thicket NPRES,220,"109,956",0.04%
Piscataway Park,221,"109,473",0.04%
Christiansted NHS,222,"109,159",0.04%
Chamizal NMEM,223,"108,399",0.04%
Great Basin NP,224,"107,526",0.04%
Pea Ridge NMP,225,"104,686",0.04%
Jewel Cave NM,226,"104,348",0.04%
General Grant NMEM,227,"100,622",0.03%
Lincoln Boyhood NMEM,228,"99,795",0.03%
Timpanogos Cave NM,229,"95,679",0.03%
City of Rocks NRES,230,"94,825",0.03%
Grand Portage NM,231,"88,877",0.03%
Fort Smith NHS,232,"88,790",0.03%
Lyndon B. Johnson NHP,233,"88,427",0.03%
Moores Creek NB,234,"87,774",0.03%
Natural Bridges NM,235,"87,119",0.03%
Mississippi NRRA,236,"85,637",0.03%
Steamtown NHS,237,"84,257",0.03%
Carl Sandburg Home NHS,238,"82,377",0.03%
Hubbell Trading Post NHS,239,"81,475",0.03%
Effigy Mounds NM,240,"77,812",0.03%
Manzanar NHS,241,"77,633",0.03%
Tuzigoot NM,242,"74,903",0.03%
Wrangell-St. Elias NP & PRES,243,"74,722",0.03%
Oregon Caves NM & PRES,244,"69,405",0.02%
Homestead NM of America,245,"69,156",0.02%
Kalaupapa NHP,246,"67,210",0.02%
Navajo NM,247,"65,778",0.02%
Ninety Six NHS,248,"65,688",0.02%
Dry Tortugas NP,249,"64,865",0.02%
Horseshoe Bend NMP,250,"64,359",0.02%
Casa Grande Ruins NM,251,"63,698",0.02%
Florissant Fossil Beds NM,252,"63,297",0.02%
Rainbow Bridge NM,253,"62,910",0.02%
Pipestone NM,254,"62,151",0.02%
Minuteman Missile NHS,255,"62,058",0.02%
Jimmy Carter NHS,256,"62,057",0.02%
Klondike Gold Rush NHP Seattle,257,"62,022",0.02%
Cumberland Island NS,258,"61,401",0.02%
Fort Stanwix NM,259,"60,819",0.02%
Eleanor Roosevelt NHS,260,"60,456",0.02%
Saratoga NHP,261,"58,773",0.02%
Whitman Mission NHS,262,"58,499",0.02%
Eisenhower NHS,263,"58,240",0.02%
Dayton Aviation Heritage NHP,264,"57,565",0.02%
Pipe Spring NM,265,"56,484",0.02%
Monocacy NB,266,"56,187",0.02%
River Raisin NBP,267,"55,281",0.02%
African Burial Ground NM,268,"54,861",0.02%
Pennsylvania Avenue NHS,269,"54,035",0.02%
Charles Pinckney NHS,270,"53,486",0.02%
Niobrara NSR,271,"53,443",0.02%
Roger Williams NMEM,272,"51,523",0.02%
Thomas Edison NHP,273,"51,344",0.02%
Capulin Volcano NM,274,"50,892",0.02%
Fort Davis NHS,275,"49,842",0.02%
Fort Laramie NHS,276,"49,038",0.02%
Hopewell Furnace NHS,277,"48,105",0.02%
Longfellow House Washington's HQ NHS,278,"46,371",0.02%
El Morro NM,279,"46,256",0.02%
Rosie The Riveter WWII Home Front NHP,280,"45,549",0.02%
Frederick Douglass NHS,281,"45,492",0.02%
Chiricahua NM,282,"45,125",0.02%
Aztec Ruins NM,283,"44,721",0.02%
Golden Spike NHP,284,"44,125",0.02%
Andrew Johnson NHS,285,"42,863",0.01%
George Washington Carver NM,286,"41,535",0.01%
John Muir NHS,287,"41,535",0.01%
Palo Alto Battlefield NHP,288,"41,516",0.01%
Ulysses S. Grant NHS,289,"40,287",0.01%
Marsh-Billings-Rockefeller NHP,290,"39,086",0.01%
Bluestone NSR,291,"38,450",0.01%
Chaco Culture NHP,292,"38,386",0.01%
Pecos NHP,293,"38,256",0.01%
Tumacacori NHP,294,"38,017",0.01%
Saint-Gaudens NHP,295,"37,785",0.01%
Big Hole NB,296,"36,987",0.01%
Hopewell Culture NHP,297,"36,432",0.01%
Tonto NM,298,"36,360",0.01%
New Orleans Jazz NHP,299,"36,017",0.01%
Lake Chelan NRA,300,"35,360",0.01%
Buck Island Reef NM,301,"34,400",0.01%
Friendship Hill NHS,302,"34,317",0.01%
Weir Farm NHS,303,"34,082",0.01%
Hampton NHS,304,"32,498",0.01%
Gila Cliff Dwellings NM,305,"31,135",0.01%
Katmai NP & PRES,306,"30,896",0.01%
Arkansas Post NMEM,307,"30,860",0.01%
Salinas Pueblo Missions NM,308,"30,537",0.01%
Women's Rights NHP,309,"30,254",0.01%
Harry S Truman NHS,310,"29,364",0.01%
Cane River Creole NHP,311,"28,981",0.01%
Brown v. Board of Education NHS,312,"26,868",0.01%
Hovenweep NM,313,"26,808",0.01%
John F. Kennedy NHS,314,"26,273",0.01%
Booker T. Washington NM,315,"26,127",0.01%
Fort Scott NHS,316,"25,966",0.01%
Fort Larned NHS,317,"24,607",0.01%
Bent's Old Fort NHS,318,"24,555",0.01%
Tuskegee Airmen NHS,319,"24,319",0.01%
North Cascades NP,320,"23,865",0.01%
William Howard Taft NHS,321,"23,609",0.01%
Hagerman Fossil Beds NM,322,"22,482",0.01%
Theodore Roosevelt Inaugural NHS,323,"22,025",0.01%
Theodore Roosevelt Birthplace NHS,324,"21,065",0.01%
Hamilton Grange NMEM,325,"20,943",0.01%
Springfield Armory NHS,326,"20,595",0.01%
Grant-Kohrs Ranch NHS,327,"20,565",0.01%
Clara Barton NHS,328,"20,028",0.01%
Sagamore Hill NHS,329,"19,319",0.01%
Martin Van Buren NHS,330,"19,187",0.01%
Russell Cave NM,331,"18,530",0.01%
James A. Garfield NHS,332,"17,956",0.01%
Tallgrass Prairie NPRES,333,"17,776",0.01%
Fossil Butte NM,334,"16,623",0.01%
Saint Paul's Church NHS,335,"16,460",0.01%
Lake Clark NP & PRES,336,"16,100",0.01%
First Ladies NHS,337,"15,326",0.01%
Isle Royale NP,338,"14,560",0.00%
National Park of American Samoa,339,"13,953",0.00%
Edgar Allan Poe NHS,340,"13,701",0.00%
Washita Battlefield NHS,341,"13,186",0.00%
Gates of the Arctic NP & PRES,342,"12,669",0.00%
Agate Fossil Beds NM,343,"12,440",0.00%
Tuskegee Institute NHS,344,"11,786",0.00%
Saint Croix Island IHS,345,"11,588",0.00%
Fort Union Trading Post NHS,346,"11,521",0.00%
Saugus Iron Works NHS,347,"11,181",0.00%
President W.J. Clinton Birthplace Home NHS,348,"11,113",0.00%
Fort Union NM,349,"10,934",0.00%
Knife River Indian Villages NHS,350,"10,750",0.00%
Mary McLeod Bethune Council House NHS,351,"9,295",0.00%
Maggie L. Walker NHS,352,"9,045",0.00%
Cesar E. Chavez NM,353,"8,854",0.00%
Frederick Law Olmsted NHS,354,"8,667",0.00%
Sand Creek Massacre NHS,355,"7,402",0.00%
Fort Bowie NHS,356,"6,964",0.00%
Thomas Stone NHS,357,"5,843",0.00%
Salt River Bay NHP & Ecological Pres,358,"5,192",0.00%
Alibates Flint Quarries NM,359,"4,513",0.00%
Nicodemus NHS,360,"3,374",0.00%
Eugene O'Neill NHS,361,"3,202",0.00%
Bering Land Bridge NPRES,362,"2,636",0.00%
Yukon-Charley Rivers NPRES,363,"2,329",0.00%
Thaddeus Kosciuszko NMEM,364,"1,475",0.00%
Port Chicago Naval Magazine NMEM,365,786,0.00%
Rio Grande W&SR,366,321,0.00%
Aniakchak NM & PRES,367,134,0.00%

