Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2009,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Fort Pulaski NM,129,"435,661",0.15%
Carlsbad Caverns NP,130,"432,639",0.15%
Virgin Islands NP,131,"415,847",0.15%
Shiloh NMP,132,"404,134",0.14%
Colorado NM,133,"400,266",0.14%
Pu'uhonua o Honaunau NHP,134,"397,665",0.14%
Devils Tower NM,135,"391,023",0.14%
Vanderbilt Mansion NHS,136,"380,460",0.13%
Antietam NB,137,"378,966",0.13%
Prince William Forest Park,138,"368,365",0.13%
Lassen Volcanic NP,139,"365,639",0.13%
Big Bend NP,140,"363,905",0.13%
Denali NP & PRES,141,"358,041",0.13%
Channel Islands NP,142,"348,745",0.12%
Fort Washington Park,143,"339,370",0.12%
Fort Raleigh NHS,144,"338,212",0.12%
Jean Lafitte NHP & PRES,145,"335,075",0.12%
LBJ Memorial Grove on the Potomac,146,"333,368",0.12%
Organ Pipe Cactus NM,147,"330,064",0.12%
Governors Island NM,148,"325,840",0.11%
Little Bighorn Battlefield NM,149,"302,811",0.11%
Boston African American NHS,150,"298,519",0.10%
Morristown NHP,151,"298,060",0.10%
Fort Frederica NM,152,"296,117",0.10%
Guilford Courthouse NMP,153,"290,368",0.10%
Great Sand Dunes NP & PRES,154,"289,955",0.10%
Fort Caroline NMEM,155,"288,606",0.10%
Ross Lake NRA,156,"288,458",0.10%
New Bedford Whaling NHP,157,"279,803",0.10%
Kings Mountain NMP,158,"277,576",0.10%
Harpers Ferry NHP,159,"275,044",0.10%
San Juan Island NHP,160,"274,642",0.10%
War in the Pacific NHP,161,"271,608",0.10%
Upper Delaware S&RR,162,"258,311",0.09%
Pennsylvania Avenue NHS,163,"256,874",0.09%
Adams NHP,164,"253,656",0.09%
Sitka NHP,165,"246,866",0.09%
De Soto NMEM,166,"246,608",0.09%
Piscataway Park,167,"234,186",0.08%
Wupatki NM,168,"233,284",0.08%
Lewis & Clark NHP,169,"225,846",0.08%
Cowpens NB,170,"224,394",0.08%
