Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2018,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Golden Gate NRA,1,"15,223,697",4.78%
Blue Ridge PKWY,2,"14,690,418",4.62%
Great Smoky Mountains NP,3,"11,421,200",3.59%
Gateway NRA,4,"9,243,305",2.90%
Lincoln Memorial,5,"7,804,683",2.45%
Lake Mead NRA,6,"7,578,958",2.38%
George Washington MEM PKWY,7,"7,288,623",2.29%
Grand Canyon NP,8,"6,380,495",2.01%
Natchez Trace PKWY,9,"6,362,439",2.00%
Vietnam Veterans MEM,10,"4,719,148",1.48%
World War II Memorial,11,"4,652,865",1.46%
Rocky Mountain NP,12,"4,590,493",1.44%
Independence NHP,13,"4,576,456",1.44%
Castle Clinton NM,14,"4,533,564",1.42%
Chesapeake & Ohio Canal NHP,15,"4,438,818",1.39%
Statue of Liberty NM,16,"4,335,431",1.36%
Zion NP,17,"4,320,033",1.36%
Gulf Islands NS,18,"4,229,968",1.33%
San Francisco Maritime NHP,19,"4,223,542",1.33%
Glen Canyon NRA,20,"4,219,441",1.33%
Yellowstone NP,21,"4,115,000",1.29%
Korean War Veterans Memorial,22,"4,107,520",1.29%
Yosemite NP,23,"4,009,436",1.26%
Cape Cod NS,24,"3,926,462",1.23%
"Martin Luther King, Jr. Memorial",25,"3,567,434",1.12%
Acadia NP,26,"3,537,575",1.11%
Grand Teton NP,27,"3,491,151",1.10%
Colonial NHP,28,"3,294,224",1.04%
Franklin Delano Roosevelt MEM,29,"3,288,299",1.03%
Delaware Water Gap NRA,30,"3,261,921",1.03%
Thomas Jefferson MEM,31,"3,198,859",1.01%
Olympic NP,32,"3,104,455",0.98%
Boston NHP,33,"3,053,241",0.96%
Glacier NP,34,"2,965,309",0.93%
Joshua Tree NP,35,"2,942,382",0.92%
Chattahoochee River NRA,36,"2,873,866",0.90%
Bryce Canyon NP,37,"2,679,478",0.84%
Cape Hatteras NS,38,"2,591,056",0.81%
Kennesaw Mountain NBP,39,"2,549,164",0.80%
Point Reyes NS,40,"2,397,722",0.75%
Rock Creek Park,41,"2,395,342",0.75%
Mount Rushmore NMEM,42,"2,311,273",0.73%
Assateague Island NS,43,"2,136,889",0.67%
Cuyahoga Valley NP,44,"2,096,053",0.66%
Gateway Arch NP,45,"2,016,180",0.63%
Valley Forge NHP,46,"1,881,362",0.59%
National Capital Parks Central,47,"1,800,329",0.57%
Pearl Harbor NMEM,48,"1,779,143",0.56%
Indiana Dunes NP,49,"1,756,079",0.55%
Death Valley NP,50,"1,678,660",0.53%
Arches NP,51,"1,663,557",0.52%
Canaveral NS,52,"1,657,855",0.52%
Sleeping Bear Dunes NL,53,"1,643,600",0.52%
Mount Rainier NP,54,"1,518,491",0.48%
Hot Springs NP,55,"1,506,887",0.47%
"John D. Rockefeller, Jr. MEM PKWY",56,"1,504,561",0.47%
Chickasaw NRA,57,"1,477,906",0.46%
National Capital Parks East,58,"1,447,273",0.45%
Fort Point NHS,59,"1,400,491",0.44%
Lake Roosevelt NRA,60,"1,276,722",0.40%
Shenandoah NP,61,"1,264,880",0.40%
Ozark NSR,62,"1,264,657",0.40%
Buffalo NR,63,"1,240,119",0.39%
New River Gorge NR,64,"1,232,627",0.39%
Sequoia NP,65,"1,229,594",0.39%
Capitol Reef NP,66,"1,227,627",0.39%
San Antonio Missions NHP,67,"1,208,104",0.38%
Timucuan EHP,68,"1,134,857",0.36%
Hawaii Volcanoes NP,69,"1,116,891",0.35%
Amistad NRA,70,"1,111,770",0.35%
Lake Meredith NRA,71,"1,106,233",0.35%
Fort Vancouver NHS,72,"1,098,553",0.35%
Haleakala NP,73,"1,044,084",0.33%
President's Park,74,"1,035,737",0.33%
Klondike Gold Rush NHP Alaska,75,"1,017,298",0.32%
Minute Man NHP,76,"1,014,803",0.32%
Badlands NP,77,"1,008,942",0.32%
Muir Woods NM,78,"957,932",0.30%
Saguaro NP,79,"957,405",0.30%
Gettysburg NMP,80,"949,989",0.30%
Chickamauga & Chattanooga NMP,81,"945,962",0.30%
Curecanti NRA,82,"931,512",0.29%
Fredericksburg & Spotsylvania NMP,83,"926,464",0.29%
San Juan NHS,84,"910,405",0.29%
Ross Lake NRA,85,"892,044",0.28%
Santa Monica Mountains NRA,86,"867,154",0.27%
Fort Sumter and Fort Moultrie NHP,87,"859,880",0.27%
Cabrillo NM,88,"842,104",0.26%
Pictured Rocks NL,89,"815,308",0.26%
Big Cypress NPRES,90,"794,350",0.25%
Mojave NPRES,91,"787,404",0.25%
Big South Fork NRRA,92,"760,906",0.24%
Theodore Roosevelt NP,93,"749,389",0.24%
Castillo de San Marcos NM,94,"748,058",0.24%
Canyonlands NP,95,"739,449",0.23%
Saint Croix NSR,96,"724,644",0.23%
Crater Lake NP,97,"720,659",0.23%
Kings Canyon NP,98,"699,023",0.22%
Cumberland Gap NHP,99,"684,191",0.22%
Wind Cave NP,100,"656,397",0.21%
Petrified Forest NP,101,"644,922",0.20%
