Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2018,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Cedar Breaks NM,102,"644,515",0.20%
"Martin Luther King, Jr. NHP",103,"641,801",0.20%
Padre Island NS,104,"616,033",0.19%
Fort Matanzas NM,105,"608,103",0.19%
White Sands NM,106,"603,008",0.19%
Glacier Bay NP & PRES,107,"597,915",0.19%
Everglades NP,108,"597,124",0.19%
Denali NP & PRES,109,"594,660",0.19%
Governors Island NM,110,"589,798",0.19%
Whiskeytown NRA,111,"585,768",0.18%
Mesa Verde NP,112,"563,420",0.18%
Manassas NBP,113,"542,004",0.17%
Ford's Theatre NHS,114,"533,410",0.17%
Mammoth Cave NP,115,"533,206",0.17%
Jean Lafitte NHP & PRES,116,"529,878",0.17%
Stonewall NM,117,"511,220",0.16%
Lowell NHP,118,"507,276",0.16%
Lassen Volcanic NP,119,"499,435",0.16%
Fort McHenry NM & HS,120,"486,113",0.15%
White House,121,"485,974",0.15%
Redwood NP,122,"482,536",0.15%
Vicksburg NMP,123,"474,387",0.15%
Biscayne NP,124,"469,253",0.15%
Devils Tower NM,125,"468,216",0.15%
Carlsbad Caverns NP,126,"465,912",0.15%
Pu'uhonua o Honaunau NHP,127,"462,974",0.15%
Great Sand Dunes NP & PRES,128,"442,905",0.14%
Little River Canyon NPRES,129,"441,177",0.14%
Big Bend NP,130,"440,091",0.14%
Canyon de Chelly NM,131,"439,306",0.14%
Fort Pulaski NM,132,"419,930",0.13%
Mississippi NRRA,133,"417,022",0.13%
Boston African American NHS,134,"410,893",0.13%
Cape Lookout NS,135,"408,399",0.13%
Montezuma Castle NM,136,"390,151",0.12%
War in the Pacific NHP,137,"387,856",0.12%
Flight 93 NMEM,138,"381,448",0.12%
Shiloh NMP,139,"376,099",0.12%
Colorado NM,140,"375,467",0.12%
Channel Islands NP,141,"366,250",0.12%
Wolf Trap NP for the Performing Arts,142,"365,540",0.11%
Wright Brothers NMEM,143,"360,669",0.11%
Vanderbilt Mansion NHS,144,"340,870",0.11%
Antietam NB,145,"326,197",0.10%
Kenai Fjords NP,146,"321,596",0.10%
Fort Washington Park,147,"316,052",0.10%
Prince William Forest Park,148,"313,629",0.10%
Black Canyon of the Gunnison NP,149,"308,962",0.10%
Nez Perce NHP,150,"307,645",0.10%
Fire Island NS,151,"305,710",0.10%
Dinosaur NM,152,"304,468",0.10%
Salem Maritime NHS,153,"300,475",0.09%
Catoctin Mountain Park,154,"299,860",0.09%
Kings Mountain NMP,155,"287,635",0.09%
Lewis & Clark NHP,156,"286,349",0.09%
Fort Necessity NB,157,"280,970",0.09%
Morristown NHP,158,"279,393",0.09%
Little Bighorn Battlefield NM,159,"272,591",0.09%
Petroglyph NM,160,"268,613",0.08%
Stones River NB,161,"266,503",0.08%
Harpers Ferry NHP,162,"265,737",0.08%
Craters of the Moon NM & PRES,163,"263,506",0.08%
LBJ Memorial Grove on the Potomac,164,"261,225",0.08%
Fort Raleigh NHS,165,"261,198",0.08%
Abraham Lincoln Birthplace NHP,166,"260,964",0.08%
Organ Pipe Cactus NM,167,"260,375",0.08%
San Juan Island NHP,168,"255,032",0.08%
Apostle Islands NL,169,"252,920",0.08%
River Raisin NBP,170,"240,548",0.08%
Voyageurs NP,171,"239,656",0.08%
Guilford Courthouse NMP,172,"236,016",0.07%
Bighorn Canyon NRA,173,"235,570",0.07%
Natchez NHP,174,"234,786",0.07%
Federal Hall NMEM,175,"230,634",0.07%
Pinnacles NP,176,"222,152",0.07%
Big Thicket NPRES,177,"221,514",0.07%
Upper Delaware S&RR,178,"220,966",0.07%
Wilson's Creek NB,179,"220,276",0.07%
Kaloko Honokohau NHP,180,"218,015",0.07%
Obed W&SR,181,"217,530",0.07%
De Soto NMEM,182,"210,993",0.07%
Wupatki NM,183,"205,122",0.06%
John Day Fossil Beds NM,184,"204,621",0.06%
Petersburg NB,185,"204,322",0.06%
Fort Caroline NMEM,186,"203,276",0.06%
Richmond NBP,187,"199,344",0.06%
Bandelier NM,188,"198,441",0.06%
Lincoln Home NHS,189,"197,717",0.06%
Sitka NHP,190,"197,017",0.06%
Cowpens NB,191,"189,410",0.06%
Allegheny Portage Railroad NHS,192,"189,047",0.06%
New Bedford Whaling NHP,193,"186,937",0.06%
Fort Frederica NM,194,"183,591",0.06%
Guadalupe Mountains NP,195,"172,347",0.05%
Fort Donelson NB,196,"168,986",0.05%
Walnut Canyon NM,197,"167,736",0.05%
El Malpais NM,198,"154,368",0.05%
Home of Franklin D. Roosevelt NHS,199,"154,000",0.05%
Great Basin NP,200,"153,094",0.05%
Theodore Roosevelt Island,201,"151,500",0.05%
Perry's Victory & Intl. Peace MEM,202,"150,557",0.05%
Little Rock Central High School NHS,203,"149,098",0.05%
Piscataway Park,204,"146,364",0.05%
Johnstown Flood NMEM,205,"146,269",0.05%
Congaree NP,206,"145,929",0.05%
Pu'ukohola Heiau NHS,207,"145,585",0.05%
Paterson Great Falls NHP,208,"143,604",0.05%
Jewel Cave NM,209,"142,356",0.04%
City of Rocks NRES,210,"142,250",0.04%
Scotts Bluff NM,211,"142,028",0.04%
Devils Postpile NM,212,"139,724",0.04%
Minuteman Missile NHS,213,"139,273",0.04%
Andersonville NHS,214,"138,164",0.04%
Herbert Hoover NHS,215,"138,087",0.04%
Fort Smith NHS,216,"136,568",0.04%
Saratoga NHP,217,"135,444",0.04%
Lincoln Boyhood NMEM,218,"133,850",0.04%
Ocmulgee Mounds NHP,219,"133,008",0.04%
Missouri NRR,220,"128,657",0.04%
Lava Beds NM,221,"127,771",0.04%
Lyndon B. Johnson NHP,222,"121,499",0.04%
Timpanogos Cave NM,223,"121,311",0.04%
George Rogers Clark NHP,224,"121,187",0.04%
Adams NHP,225,"121,007",0.04%
Pennsylvania Avenue NHS,226,"119,616",0.04%
Virgin Islands NP,227,"112,287",0.04%
George Washington Birthplace NM,228,"111,058",0.03%
Rainbow Bridge NM,229,"110,904",0.03%
Christiansted NHS,230,"107,494",0.03%
Waco Mammoth NM,231,"106,932",0.03%
Sunset Crater Volcano NM,232,"104,583",0.03%
Manzanar NHS,233,"104,081",0.03%
Coronado NMEM,234,"103,218",0.03%
Natural Bridges NM,235,"103,118",0.03%
Appomattox Court House NHP,236,"103,044",0.03%
Pea Ridge NMP,237,"101,969",0.03%
Tuzigoot NM,238,"98,090",0.03%
Steamtown NHS,239,"97,950",0.03%
Gauley River NRA,240,"97,778",0.03%
Ninety Six NHS,241,"95,550",0.03%
Grand Portage NM,242,"94,137",0.03%
Dayton Aviation Heritage NHP,243,"93,541",0.03%
Fort Stanwix NM,244,"90,507",0.03%
Greenbelt Park,245,"85,260",0.03%
Monocacy NB,246,"84,901",0.03%
Klondike Gold Rush NHP Seattle,247,"82,646",0.03%
Palo Alto Battlefield NHP,248,"82,488",0.03%
Florissant Fossil Beds NM,249,"79,568",0.03%
Wrangell-St. Elias NP & PRES,250,"79,450",0.02%
Gila Cliff Dwellings NM,251,"79,108",0.02%
General Grant NMEM,252,"73,336",0.02%
Pipestone NM,253,"73,267",0.02%
Kalaupapa NHP,254,"72,146",0.02%
Carl Sandburg Home NHS,255,"72,047",0.02%
Frederick Douglass NHS,256,"70,869",0.02%
Manhattan Project NHP,257,"69,543",0.02%
Homestead NM of America,258,"68,091",0.02%
Oregon Caves NM & PRES,259,"67,417",0.02%
Capulin Volcano NM,260,"67,411",0.02%
Chamizal NMEM,261,"66,479",0.02%
Hamilton Grange NMEM,262,"66,216",0.02%
El Morro NM,263,"65,453",0.02%
Marsh-Billings-Rockefeller NHP,264,"63,886",0.02%
Casa Grande Ruins NM,265,"62,995",0.02%
Niobrara NSR,266,"61,639",0.02%
Navajo NM,267,"61,195",0.02%
Roger Williams NMEM,268,"60,709",0.02%
Chiricahua NM,269,"60,577",0.02%
Longfellow House Washington's HQ NHS,270,"60,527",0.02%
Golden Spike NHP,271,"60,130",0.02%
Moores Creek NB,272,"58,531",0.02%
Rosie The Riveter WWII Home Front NHP,273,"57,852",0.02%
Chaco Culture NHP,274,"57,781",0.02%
Hopewell Culture NHP,275,"57,335",0.02%
Big Hole NB,276,"56,943",0.02%
Dry Tortugas NP,277,"56,810",0.02%
Cumberland Island NS,278,"55,650",0.02%
Effigy Mounds NM,279,"55,576",0.02%
Aztec Ruins NM,280,"54,933",0.02%
Eleanor Roosevelt NHS,281,"54,649",0.02%
New Orleans Jazz NHP,282,"54,483",0.02%
Fort Laramie NHS,283,"52,414",0.02%
Jimmy Carter NHS,284,"51,680",0.02%
Andrew Johnson NHS,285,"50,671",0.02%
Fort Davis NHS,286,"49,532",0.02%
Arlington House The R.E. Lee MEM,287,"49,500",0.02%
Whitman Mission NHS,288,"49,274",0.02%
Horseshoe Bend NMP,289,"48,491",0.02%
Thomas Edison NHP,290,"47,297",0.01%
John Muir NHS,291,"46,957",0.01%
Hopewell Furnace NHS,292,"46,407",0.01%
African Burial Ground NM,293,"45,035",0.01%
George Washington Carver NM,294,"44,411",0.01%
Ulysses S. Grant NHS,295,"43,602",0.01%
Women's Rights NHP,296,"42,784",0.01%
Eisenhower NHS,297,"42,036",0.01%
Friendship Hill NHS,298,"41,678",0.01%
James A. Garfield NHS,299,"40,835",0.01%
Tumacacori NHP,300,"40,810",0.01%
Hovenweep NM,301,"40,574",0.01%
Sagamore Hill NHS,302,"39,970",0.01%
Tonto NM,303,"39,822",0.01%
Hubbell Trading Post NHS,304,"39,361",0.01%
Pecos NHP,305,"39,129",0.01%
Lake Chelan NRA,306,"38,839",0.01%
Katmai NP & PRES,307,"37,818",0.01%
Tuskegee Institute NHS,308,"37,486",0.01%
Weir Farm NHS,309,"35,382",0.01%
Saint-Gaudens NHP,310,"35,218",0.01%
Salinas Pueblo Missions NM,311,"34,629",0.01%
Charles Pinckney NHS,312,"34,354",0.01%
Harry S Truman NHS,313,"32,878",0.01%
Charles Young Buffalo Soldiers NM,314,"31,448",0.01%
Buck Island Reef NM,315,"31,411",0.01%
Bluestone NSR,316,"31,316",0.01%
William Howard Taft NHS,317,"30,202",0.01%
Arkansas Post NMEM,318,"30,126",0.01%
North Cascades NP,319,"30,085",0.01%
Hampton NHS,320,"29,615",0.01%
Fort Larned NHS,321,"29,173",0.01%
National Park of American Samoa,322,"28,626",0.01%
Tallgrass Prairie NPRES,323,"27,715",0.01%
Theodore Roosevelt Inaugural NHS,324,"27,508",0.01%
Cane River Creole NHP,325,"26,879",0.01%
Tuskegee Airmen NHS,326,"26,829",0.01%
Grant-Kohrs Ranch NHS,327,"26,676",0.01%
Fort Scott NHS,328,"26,482",0.01%
Hagerman Fossil Beds NM,329,"26,477",0.01%
Isle Royale NP,330,"25,798",0.01%
Pipe Spring NM,331,"25,179",0.01%
Brown v. Board of Education NHS,332,"24,083",0.01%
John F. Kennedy NHS,333,"24,077",0.01%
Bent's Old Fort NHS,334,"23,562",0.01%
Theodore Roosevelt Birthplace NHS,335,"23,155",0.01%
Booker T. Washington NM,336,"22,732",0.01%
Saint Paul's Church NHS,337,"21,630",0.01%
Russell Cave NM,338,"21,620",0.01%
Fossil Butte NM,339,"21,349",0.01%
Keweenaw NHP,340,"20,416",0.01%
Springfield Armory NHS,341,"20,104",0.01%
Martin Van Buren NHS,342,"18,642",0.01%
Noatak NPRES,343,"16,387",0.01%
Edgar Allan Poe NHS,344,"16,314",0.01%
Agate Fossil Beds NM,345,"16,238",0.01%
Cape Krusenstern NM,346,"15,087",0.00%
Kobuk Valley NP,347,"14,937",0.00%
Lake Clark NP & PRES,348,"14,479",0.00%
Fort Union Trading Post NHS,349,"13,551",0.00%
Washita Battlefield NHS,350,"13,437",0.00%
Cesar E. Chavez NM,351,"12,769",0.00%
Saint Croix Island IHS,352,"12,001",0.00%
Knife River Indian Villages NHS,353,"11,682",0.00%
Minidoka NHS,354,"11,567",0.00%
First Ladies NHS,355,"11,447",0.00%
Maggie L. Walker NHS,356,"10,961",0.00%
Fort Union NM,357,"10,860",0.00%
President W.J. Clinton Birthplace Home NHS,358,"10,845",0.00%
Saugus Iron Works NHS,359,"10,660",0.00%
Frederick Law Olmsted NHS,360,"9,854",0.00%
Gates of the Arctic NP & PRES,361,"9,591",0.00%
Belmont-Paul Women's Equality NM,362,"9,081",0.00%
Fort Bowie NHS,363,"8,401",0.00%
Thomas Stone NHS,364,"8,254",0.00%
Alibates Flint Quarries NM,365,"7,415",0.00%
Sand Creek Massacre NHS,366,"6,006",0.00%
Salt River Bay NHP & Ecological Pres,367,"4,884",0.00%
Eugene O'Neill NHS,368,"3,432",0.00%
Nicodemus NHS,369,"2,738",0.00%
Bering Land Bridge NPRES,370,"2,642",0.00%
Thaddeus Kosciuszko NMEM,371,"2,077",0.00%
Carter G. Woodson Home NHS,372,"1,954",0.00%
Yukon-Charley Rivers NPRES,373,"1,272",0.00%
Port Chicago Naval Magazine NMEM,374,653,0.00%
Clara Barton NHS,375,425,0.00%
Rio Grande W&SR,376,330,0.00%
Mary McLeod Bethune Council House NHS,377,109,0.00%
Aniakchak NM & PRES,378,100,0.00%

