Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2011,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Catoctin Mountain Park,164,"264,460",0.09%
Appomattox Court House NHP,165,"258,917",0.09%
Fort Donelson NB,166,"257,389",0.09%
Harpers Ferry NHP,167,"255,348",0.09%
Channel Islands NP,168,"242,756",0.09%
LBJ Memorial Grove on the Potomac,169,"239,058",0.09%
Pennsylvania Avenue NHS,170,"236,136",0.08%
Little River Canyon NPRES,171,"225,549",0.08%
Cowpens NB,172,"223,923",0.08%
Morristown NHP,173,"222,395",0.08%
Adams NHP,174,"219,975",0.08%
Wupatki NM,175,"216,165",0.08%
Dinosaur NM,176,"213,559",0.08%
Petersburg NB,177,"213,261",0.08%
Obed W&SR,178,"212,458",0.08%
Organ Pipe Cactus NM,179,"211,405",0.08%
Natchez NHP,180,"206,624",0.07%
Bighorn Canyon NRA,181,"201,010",0.07%
Craters of the Moon NM & PRES,182,"198,545",0.07%
Bandelier NM,183,"193,914",0.07%
Fort Necessity NB,184,"193,479",0.07%
Wilson's Creek NB,185,"192,865",0.07%
Lewis & Clark NHP,186,"191,867",0.07%
Greenbelt Park,187,"190,427",0.07%
Stones River NB,188,"187,208",0.07%
Federal Hall NMEM,189,"187,109",0.07%
Sitka NHP,190,"186,864",0.07%
Sunset Crater Volcano NM,191,"185,265",0.07%
Missouri NRR,192,"179,983",0.06%
Voyageurs NP,193,"177,184",0.06%
Apostle Islands NL,194,"176,040",0.06%
Black Canyon of the Gunnison NP,195,"168,336",0.06%
Abraham Lincoln Birthplace NHP,196,"163,568",0.06%
Kaloko Honokohau NHP,197,"162,906",0.06%
Coronado NMEM,198,"153,042",0.05%
Guadalupe Mountains NP,199,"152,546",0.05%
John Day Fossil Beds NM,200,"148,002",0.05%
George Rogers Clark NHP,201,"145,596",0.05%
Richmond NBP,202,"139,376",0.05%
Big Thicket NPRES,203,"137,722",0.05%
Theodore Roosevelt Island,204,"137,690",0.05%
Herbert Hoover NHS,205,"134,249",0.05%
Pu'ukohola Heiau NHS,206,"133,306",0.05%
George Washington Birthplace NM,207,"130,647",0.05%
New Orleans Jazz NHP,208,"130,393",0.05%
Scotts Bluff NM,209,"128,811",0.05%
Home of Franklin D. Roosevelt NHS,210,"125,488",0.04%
Walnut Canyon NM,211,"125,003",0.04%
Lava Beds NM,212,"124,113",0.04%
Ocmulgee Mounds NHP,213,"122,722",0.04%
Congaree NP,214,"120,166",0.04%
Christiansted NHS,215,"119,335",0.04%
Allegheny Portage Railroad NHS,216,"118,410",0.04%
Petroglyph NM,217,"114,428",0.04%
Pea Ridge NMP,218,"114,234",0.04%
Chamizal NMEM,219,"113,817",0.04%
Steamtown NHS,220,"111,725",0.04%
Gauley River NRA,221,"109,780",0.04%
Andersonville NHS,222,"108,812",0.04%
African Burial Ground NM,223,"108,585",0.04%
Lincoln Boyhood NMEM,224,"108,420",0.04%
Johnstown Flood NMEM,225,"105,906",0.04%
El Malpais NM,226,"105,356",0.04%
General Grant NMEM,227,"104,769",0.04%
Fort Stanwix NM,228,"102,874",0.04%
Tuzigoot NM,229,"101,104",0.04%
Lyndon B. Johnson NHP,230,"100,056",0.04%
Mississippi NRRA,231,"99,398",0.04%
Grand Portage NM,232,"97,440",0.03%
Devils Postpile NM,233,"97,207",0.03%
Timpanogos Cave NM,234,"96,965",0.03%
City of Rocks NRES,235,"95,764",0.03%
Perry's Victory & Intl. Peace MEM,236,"93,119",0.03%
Rainbow Bridge NM,237,"92,311",0.03%
Great Basin NP,238,"91,451",0.03%
Natural Bridges NM,239,"91,184",0.03%
Carl Sandburg Home NHS,240,"89,721",0.03%
Hubbell Trading Post NHS,241,"88,231",0.03%
Navajo NM,242,"87,388",0.03%
Fort Smith NHS,243,"86,122",0.03%
Effigy Mounds NM,244,"82,581",0.03%
Manzanar NHS,245,"79,587",0.03%
Jewel Cave NM,246,"77,146",0.03%
Oregon Caves NM & PRES,247,"76,194",0.03%
Dry Tortugas NP,248,"75,171",0.03%
Cumberland Island NS,249,"74,279",0.03%
Casa Grande Ruins NM,250,"72,308",0.03%
Ninety Six NHS,251,"70,099",0.03%
Homestead NM of America,252,"69,845",0.03%
Dayton Aviation Heritage NHP,253,"68,048",0.02%
Jimmy Carter NHS,254,"66,157",0.02%
Little Rock Central High School NHS,255,"66,106",0.02%
Horseshoe Bend NMP,256,"65,892",0.02%
Niobrara NSR,257,"65,785",0.02%
Wrangell-St. Elias NP & PRES,258,"65,225",0.02%
Saratoga NHP,259,"65,043",0.02%
Klondike Gold Rush NHP Seattle,260,"64,898",0.02%
Pipestone NM,261,"61,908",0.02%
Florissant Fossil Beds NM,262,"61,289",0.02%
Minuteman Missile NHS,263,"59,389",0.02%
Moores Creek NB,264,"58,118",0.02%
Eisenhower NHS,265,"58,022",0.02%
Kalaupapa NHP,266,"57,841",0.02%
Whitman Mission NHS,267,"57,611",0.02%
Pipe Spring NM,268,"57,360",0.02%
Thomas Edison NHP,269,"55,284",0.02%
Tonto NM,270,"53,426",0.02%
Sagamore Hill NHS,271,"53,336",0.02%
Fort Laramie NHS,272,"52,916",0.02%
Andrew Johnson NHS,273,"52,322",0.02%
Roger Williams NMEM,274,"50,909",0.02%
Eleanor Roosevelt NHS,275,"50,074",0.02%
Katmai NP & PRES,276,"48,939",0.02%
El Morro NM,277,"48,332",0.02%
Frederick Douglass NHS,278,"46,694",0.02%
Longfellow House Washington's HQ NHS,279,"46,596",0.02%
Capulin Volcano NM,280,"46,358",0.02%
Charles Pinckney NHS,281,"45,254",0.02%
Hopewell Furnace NHS,282,"44,873",0.02%
Golden Spike NHP,283,"43,933",0.02%
Pecos NHP,284,"43,873",0.02%
Lake Chelan NRA,285,"43,827",0.02%
Bluestone NSR,286,"41,670",0.01%
Aztec Ruins NM,287,"41,106",0.01%
Chaco Culture NHP,288,"39,175",0.01%
Arkansas Post NMEM,289,"37,127",0.01%
Chiricahua NM,290,"37,037",0.01%
Monocacy NB,291,"36,674",0.01%
Big Hole NB,292,"36,290",0.01%
River Raisin NBP,293,"36,206",0.01%
Ulysses S. Grant NHS,294,"35,664",0.01%
Fort Davis NHS,295,"35,130",0.01%
Hopewell Culture NHP,296,"33,834",0.01%
Tumacacori NHP,297,"33,740",0.01%
Saint-Gaudens NHP,298,"32,695",0.01%
Hampton NHS,299,"32,165",0.01%
James A. Garfield NHS,300,"31,499",0.01%
John Muir NHS,301,"31,236",0.01%
George Washington Carver NM,302,"30,787",0.01%
Friendship Hill NHS,303,"30,039",0.01%
Salinas Pueblo Missions NM,304,"29,786",0.01%
Marsh-Billings-Rockefeller NHP,305,"29,049",0.01%
Harry S Truman NHS,306,"28,924",0.01%
Buck Island Reef NM,307,"28,223",0.01%
Cane River Creole NHP,308,"26,996",0.01%
Bent's Old Fort NHS,309,"26,842",0.01%
Fort Larned NHS,310,"26,704",0.01%
Fort Scott NHS,311,"26,219",0.01%
Hovenweep NM,312,"25,858",0.01%
Women's Rights NHP,313,"25,426",0.01%
Gila Cliff Dwellings NM,314,"25,317",0.01%
Palo Alto Battlefield NHP,315,"24,752",0.01%
Booker T. Washington NM,316,"24,030",0.01%
Tuskegee Institute NHS,317,"23,288",0.01%
Weir Farm NHS,318,"22,415",0.01%
William Howard Taft NHS,319,"21,141",0.01%
Hagerman Fossil Beds NM,320,"21,100",0.01%
Russell Cave NM,321,"20,717",0.01%
Grant-Kohrs Ranch NHS,322,"20,293",0.01%
Martin Van Buren NHS,323,"19,287",0.01%
North Cascades NP,324,"19,208",0.01%
John F. Kennedy NHS,325,"18,466",0.01%
Mary McLeod Bethune Council House NHS,326,"18,142",0.01%
Tallgrass Prairie NPRES,327,"17,893",0.01%
Theodore Roosevelt Inaugural NHS,328,"17,107",0.01%
Brown v. Board of Education NHS,329,"16,886",0.01%
Fossil Butte NM,330,"16,552",0.01%
Tuskegee Airmen NHS,331,"16,244",0.01%
Springfield Armory NHS,332,"16,161",0.01%
Knife River Indian Villages NHS,333,"16,025",0.01%
Isle Royale NP,334,"15,892",0.01%
Clara Barton NHS,335,"15,620",0.01%
Saint Paul's Church NHS,336,"14,926",0.01%
Edgar Allan Poe NHS,337,"14,711",0.01%
Fort Union Trading Post NHS,338,"12,236",0.00%
Noatak NPRES,339,"11,722",0.00%
Gates of the Arctic NP & PRES,340,"11,623",0.00%
Agate Fossil Beds NM,341,"11,617",0.00%
Kobuk Valley NP,342,"11,485",0.00%
Saugus Iron Works NHS,343,"11,121",0.00%
Washita Battlefield NHS,344,"10,995",0.00%
Maggie L. Walker NHS,345,"10,779",0.00%
President W.J. Clinton Birthplace Home NHS,346,"9,749",0.00%
Fort Union NM,347,"9,575",0.00%
National Park of American Samoa,348,"8,716",0.00%
Cape Krusenstern NM,349,"8,668",0.00%
Fort Bowie NHS,350,"8,429",0.00%
First Ladies NHS,351,"8,254",0.00%
Hamilton Grange NMEM,352,"7,817",0.00%
Theodore Roosevelt Birthplace NHS,353,"6,537",0.00%
Thomas Stone NHS,354,"6,351",0.00%
Lake Clark NP & PRES,355,"5,158",0.00%
Frederick Law Olmsted NHS,356,"4,022",0.00%
Sand Creek Massacre NHS,357,"3,935",0.00%
Alibates Flint Quarries NM,358,"3,214",0.00%
Nicodemus NHS,359,"2,681",0.00%
Eugene O'Neill NHS,360,"2,593",0.00%
Salt River Bay NHP & Ecological Pres,361,"2,419",0.00%
Thaddeus Kosciuszko NMEM,362,"1,949",0.00%
Bering Land Bridge NPRES,363,"1,890",0.00%
Yukon-Charley Rivers NPRES,364,"1,718",0.00%
Rio Grande W&SR,365,873,0.00%
Port Chicago Naval Magazine NMEM,366,545,0.00%
Aniakchak NM & PRES,367,57,0.00%

