Title,ParkType,Bookmark
Annual Park Ranking Report for Recreation Visits in: 2011,Park Type: (All),Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Park%20Ranking%20Report%20(1979%20-%20Last%20Calendar%20Year)

ParkName,Rank,Value,PercentOfTotal
Blue Ridge PKWY,1,"15,382,447",5.51%
Golden Gate NRA,2,"14,567,487",5.22%
Great Smoky Mountains NP,3,"9,008,830",3.23%
Gateway NRA,4,"7,697,727",2.76%
George Washington MEM PKWY,5,"7,417,397",2.66%
Lake Mead NRA,6,"6,396,682",2.29%
Lincoln Memorial,7,"5,971,220",2.14%
Natchez Trace PKWY,8,"5,765,343",2.07%
Gulf Islands NS,9,"5,501,872",1.97%
Delaware Water Gap NRA,10,"4,986,700",1.79%
Cape Cod NS,11,"4,454,771",1.60%
Grand Canyon NP,12,"4,298,178",1.54%
San Francisco Maritime NHP,13,"4,224,897",1.51%
Vietnam Veterans MEM,14,"4,020,127",1.44%
Castle Clinton NM,15,"3,985,366",1.43%
Yosemite NP,16,"3,951,393",1.42%
Chesapeake & Ohio Canal NHP,17,"3,937,504",1.41%
World War II Memorial,18,"3,752,172",1.35%
Statue of Liberty NM,19,"3,749,982",1.34%
Independence NHP,20,"3,572,770",1.28%
Colonial NHP,21,"3,414,577",1.22%
Yellowstone NP,22,"3,394,326",1.22%
Rocky Mountain NP,23,"3,176,941",1.14%
Chattahoochee River NRA,24,"3,161,297",1.13%
Korean War Veterans Memorial,25,"3,073,430",1.10%
Olympic NP,26,"2,966,502",1.06%
Zion NP,27,"2,825,505",1.01%
Grand Teton NP,28,"2,587,437",0.93%
Boston NHP,29,"2,546,156",0.91%
Acadia NP,30,"2,374,645",0.85%
Franklin Delano Roosevelt MEM,31,"2,309,708",0.83%
Glen Canyon NRA,32,"2,270,817",0.81%
Gateway Arch NP,33,"2,259,020",0.81%
Cuyahoga Valley NP,34,"2,161,185",0.77%
Point Reyes NS,35,"2,129,116",0.76%
Assateague Island NS,36,"2,105,419",0.75%
Mount Rushmore NMEM,37,"2,081,722",0.75%
Rock Creek Park,38,"2,050,490",0.74%
Cape Hatteras NS,39,"1,960,711",0.70%
Thomas Jefferson MEM,40,"1,945,696",0.70%
Glacier NP,41,"1,853,564",0.66%
Indiana Dunes NP,42,"1,840,513",0.66%
Kennesaw Mountain NBP,43,"1,748,436",0.63%
Pearl Harbor NMEM,44,"1,694,896",0.61%
Lake Roosevelt NRA,45,"1,523,474",0.55%
"Martin Luther King, Jr. Memorial",46,"1,490,358",0.53%
Amistad NRA,47,"1,436,759",0.52%
Hot Springs NP,48,"1,396,354",0.50%
Joshua Tree NP,49,"1,396,237",0.50%
Ozark NSR,50,"1,365,960",0.49%
Hawaii Volcanoes NP,51,"1,352,123",0.48%
Sleeping Bear Dunes NL,52,"1,348,304",0.48%
Fort Point NHS,53,"1,338,508",0.48%
Valley Forge NHP,54,"1,303,046",0.47%
Bryce Canyon NP,55,"1,296,000",0.46%
National Capital Parks Central,56,"1,240,717",0.44%
San Juan NHS,57,"1,229,590",0.44%
Chickasaw NRA,58,"1,212,139",0.43%
Shenandoah NP,59,"1,209,883",0.43%
Buffalo NR,60,"1,169,802",0.42%
National Capital Parks East,61,"1,167,393",0.42%
"John D. Rockefeller, Jr. MEM PKWY",62,"1,147,986",0.41%
Gettysburg NMP,63,"1,124,659",0.40%
New River Gorge NR,64,"1,071,088",0.38%
Arches NP,65,"1,040,758",0.37%
Mount Rainier NP,66,"1,038,229",0.37%
Chickamauga & Chattanooga NMP,67,"1,036,699",0.37%
Timucuan EHP,68,"1,028,922",0.37%
Sequoia NP,69,"1,006,583",0.36%
Canaveral NS,70,"1,005,001",0.36%
Minute Man NHP,71,"1,002,833",0.36%
Haleakala NP,72,"956,989",0.34%
Death Valley NP,73,"946,867",0.34%
Big Cypress NPRES,74,"941,393",0.34%
Everglades NP,75,"934,351",0.33%
Curecanti NRA,76,"924,468",0.33%
Fredericksburg & Spotsylvania NMP,77,"908,836",0.33%
Muir Woods NM,78,"897,131",0.32%
Badlands NP,79,"870,741",0.31%
Fort Sumter and Fort Moultrie NHP,80,"857,883",0.31%
Cumberland Gap NHP,81,"828,947",0.30%
Canyon de Chelly NM,82,"828,145",0.30%
Cabrillo NM,83,"813,351",0.29%
Vicksburg NMP,84,"796,035",0.29%
Klondike Gold Rush NHP Alaska,85,"795,150",0.29%
President's Park,86,"786,151",0.28%
Whiskeytown NRA,87,"761,710",0.27%
Castillo de San Marcos NM,88,"741,042",0.27%
Salem Maritime NHS,89,"737,073",0.26%
Lake Meredith NRA,90,"734,030",0.26%
Ross Lake NRA,91,"728,353",0.26%
Fort Vancouver NHS,92,"710,439",0.25%
Capitol Reef NP,93,"668,834",0.24%
"Martin Luther King, Jr. NHP",94,"666,482",0.24%
Manassas NBP,95,"659,740",0.24%
Ford's Theatre NHS,96,"642,786",0.23%
Fort McHenry NM & HS,97,"641,254",0.23%
Petrified Forest NP,98,"614,054",0.22%
Saguaro NP,99,"610,045",0.22%
Santa Monica Mountains NRA,100,"609,636",0.22%
Big South Fork NRRA,101,"606,579",0.22%
Arlington House The R.E. Lee MEM,102,"576,816",0.21%
Montezuma Castle NM,103,"573,731",0.21%
Mesa Verde NP,104,"572,329",0.21%
Fort Matanzas NM,105,"570,695",0.20%
White House,106,"570,057",0.20%
San Antonio Missions NHP,107,"568,021",0.20%
Kings Canyon NP,108,"566,810",0.20%
Theodore Roosevelt NP,109,"563,407",0.20%
Pictured Rocks NL,110,"561,104",0.20%
Padre Island NS,111,"542,873",0.19%
Wind Cave NP,112,"538,394",0.19%
Mojave NPRES,113,"536,006",0.19%
Lowell NHP,114,"520,452",0.19%
Fire Island NS,115,"519,173",0.19%
Cape Lookout NS,116,"508,116",0.18%
Cedar Breaks NM,117,"493,147",0.18%
Mammoth Cave NP,118,"483,319",0.17%
War in the Pacific NHP,119,"482,391",0.17%
Biscayne NP,120,"476,077",0.17%
Canyonlands NP,121,"473,773",0.17%
Wright Brothers NMEM,122,"445,455",0.16%
Virgin Islands NP,123,"442,414",0.16%
Colorado NM,124,"435,460",0.16%
Glacier Bay NP & PRES,125,"431,986",0.15%
Washington Monument,126,"430,153",0.15%
White Sands NM,127,"428,924",0.15%
Pu'uhonua o Honaunau NHP,128,"426,224",0.15%
Wolf Trap NP for the Performing Arts,129,"425,177",0.15%
Crater Lake NP,130,"423,551",0.15%
Jean Lafitte NHP & PRES,131,"420,366",0.15%
Fort Washington Park,132,"409,381",0.15%
Fort Pulaski NM,133,"408,104",0.15%
Denali NP & PRES,134,"406,582",0.15%
Governors Island NM,135,"402,174",0.14%
Devils Tower NM,136,"395,203",0.14%
Pinnacles NP,137,"393,219",0.14%
Shiloh NMP,138,"387,816",0.14%
Antietam NB,139,"384,987",0.14%
Redwood NP,140,"380,167",0.14%
Boston African American NHS,141,"379,906",0.14%
Prince William Forest Park,142,"379,535",0.14%
Vanderbilt Mansion NHS,143,"367,680",0.13%
Carlsbad Caverns NP,144,"365,000",0.13%
Big Bend NP,145,"361,862",0.13%
De Soto NMEM,146,"355,653",0.13%
Lassen Volcanic NP,147,"351,269",0.13%
Kenai Fjords NP,148,"346,852",0.12%
Guilford Courthouse NMP,149,"346,617",0.12%
Fort Caroline NMEM,150,"326,149",0.12%
Little Bighorn Battlefield NM,151,"312,168",0.11%
Lincoln Home NHS,152,"296,214",0.11%
Fort Frederica NM,153,"293,041",0.11%
Nez Perce NHP,154,"286,259",0.10%
Fort Raleigh NHS,155,"282,134",0.10%
Great Sand Dunes NP & PRES,156,"280,058",0.10%
Piscataway Park,157,"279,060",0.10%
New Bedford Whaling NHP,158,"273,862",0.10%
Saint Croix NSR,159,"273,729",0.10%
Kings Mountain NMP,160,"272,325",0.10%
Upper Delaware S&RR,161,"270,390",0.10%
San Juan Island NHP,162,"266,717",0.10%
Flight 93 NMEM,163,"265,246",0.10%
