,ParkName,latitude,longitude
113,VIRGIN ISLANDS NP,18.3424047,-64.74857589999999
114,FLORISSANT FOSSIL BEDS NM,38.9136173,-105.2854076
115,FIRE ISLAND NS,40.6553691,-73.10343069999999
116,EFFIGY MOUNDS NM,43.089214,-91.2006419
117,DEVILS TOWER NM,44.5902098,-104.7146168
118,PETERSBURG NB,37.2438545,-77.3568983
119,CONGAREE NP,33.7948001,-80.7820962
120,MUIR WOODS NM,37.8970199,-122.5811177
121,SCOTTS BLUFF NM,41.8391527,-103.7115457
122,HOVENWEEP NM,37.3837623,-109.0726022
123,FREDERICK DOUGLASS NHS,38.8632895,-76.9851973
124,ANDERSONVILLE NHS,32.2002948,-84.1303207
125,VOYAGEURS NP,48.4840955,-92.8270873
126,DEATH VALLEY NP,36.5053891,-117.0794078
127,AZTEC RUINS NM,36.8372086,-108.000093
128,ZION NP,37.2982022,-113.0263005
129,KENAI FJORDS NP,59.69222219999999,-150.6155555
130,THOMAS STONE NHS,38.530233,-77.0360161
131,EUGENE O'NEILL NHS,37.8259226,-122.0272732
132,CHAMIZAL NMEM,31.7671438,-106.4542166
133,BADLANDS NP,43.8553804,-102.3396912
134,HERBERT HOOVER NHS,41.6689744,-91.3477571
135,SHENANDOAH NP,38.29275579999999,-78.6795836
136,TUSKEGEE INSTITUTE NHS,32.4281349,-85.7052446
137,STONEWALL NM,40.7335757,-74.00252789999999
138,GOLDEN GATE NRA,37.8480359,-122.5295263
139,NEZ PERCE NHP,46.4475305,-116.8227368
140,WHITE SANDS NM,32.3823687,-106.4906526
141,WASHITA BATTLEFIELD NHS,35.6199266,-99.7051547
142,CARL SANDBURG HOME NHS,35.2714108,-82.4472471
143,GATEWAY NRA,40.439669,-73.9887047
144,SHILOH NMP,35.142937,-88.3408499
145,WIND CAVE NP,43.6045811,-103.4213433
146,CAPULIN VOLCANO NM,36.7810744,-103.9695127
147,WEIR FARM NHS,41.2565181,-73.45640230000001
148,ISLE ROYALE NP,47.9958654,-88.9092899
149,TUMACACORI NHP,31.56781969999999,-111.0510277
150,OREGON CAVES NM & PRES,42.095462,-123.4042884
151,BIG HOLE NB,45.6413441,-113.6434203
152,WUPATKI NM,35.5584745,-111.375095
153,WHITE HOUSE,38.8976763,-77.0365298
154,JOSHUA TREE NP,33.873415,-115.9009923
155,PECOS NHP,35.5492324,-105.6884444
156,HOPEWELL FURNACE NHS,40.2097267,-75.7691263
157,POINT REYES NS,38.0722909,-122.881743
158,PIPE SPRING NM,36.8628913,-112.7397318
159,ARCHES NP,38.733081,-109.5925139
160,FREDERICK LAW OLMSTED NHS,42.3254659,-71.1320319
161,THOMAS JEFFERSON MEM,38.88138060000001,-77.0364536
162,NINETY SIX NHS,34.1467219,-82.0235684
163,BUCK ISLAND REEF NM,17.7870946,-64.62061059999999
164,CANAVERAL NS,28.789536,-80.7563754
165,FOSSIL BUTTE NM,41.85818039999999,-110.7658867
166,CASTILLO DE SAN MARCOS NM,29.89786179999999,-81.31151870000001
167,NATCHEZ TRACE PKWY,33.7668642,-89.0187511
168,STATUE OF LIBERTY NM,40.6892494,-74.04450039999999
169,SAN JUAN ISLAND NHP,48.4550358,-122.9773066
170,NICODEMUS NHS,39.39323419999999,-99.6147017
171,WACO MAMMOTH NM,31.6067336,-97.1758392
172,CHACO CULTURE NHP,36.05299979999999,-107.955924
173,CANYON DE CHELLY NM,36.1336111,-109.4694444
174,INDEPENDENCE NHP,39.9495312,-75.14973189999999
175,SAINT CROIX NSR,45.4162087,-92.64678579999999
176,BOSTON NHP,42.373162,-71.056834
177,GLACIER NP,48.7596128,-113.7870225
178,GULF ISLANDS NS,30.3918514,-88.791067
179,MONOCACY NB,39.3725838,-77.39898199999999
180,SARATOGA NHP,43.0123082,-73.6488883
181,CASA GRANDE RUINS NM,32.9954589,-111.5355282
182,GREENBELT PARK,38.983031,-76.9011427
183,HAMPTON NHS,39.4163289,-76.58763189999999
184,CHARLES PINCKNEY NHS,32.8455749,-79.82395989999999
185,CANYONLANDS NP,38.3268693,-109.8782592
186,CAPE HATTERAS NS,35.2426424,-75.5392755
187,SLEEPING BEAR DUNES NL,44.8734043,-86.0466574
188,CLARA BARTON NHS,38.9672478,-77.14078099999999
189,THOMAS EDISON NHP,40.7839978,-74.2340291
190,PEA RIDGE NMP,36.4437655,-94.025807
191,TIMPANOGOS CAVE NM,40.4405549,-111.7094462
192,EISENHOWER NHS,39.7939108,-77.2633159
193,SAN JUAN NHS,18.4686841,-66.1207495
194,NATCHEZ NHP,31.559982,-91.405937
195,LINCOLN BOYHOOD NMEM,38.1139163,-86.9969414
196,LAVA BEDS NM,41.758837,-121.5266641
197,PIPESTONE NM,44.01364909999999,-96.32474719999999
198,CHIRICAHUA NM,32.0135714,-109.3422953
199,FRIENDSHIP HILL NHS,39.7776149,-79.9314768
200,BENT'S OLD FORT NHS,38.0404268,-103.4295033
