,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
0,GOLDEN GATE NRA,1,"14,289,121",5.22%,CA,PW,34439.66,22296.63,536.72,57273.01,19824.19,2862.07,22686.26,79959.27,138,37.8480359,-122.5295263
1,BLUE RIDGE PKWY,2,"12,877,368",4.71%,NC-VA,NT,82392.56,2775.57,125.0,85293.13,259.58,10375.09,10634.67,95927.8,5,37.1199734,-80.12914119999998
2,LINCOLN MEMORIAL,5,"6,546,518",2.39%,DC,NC,7.29,0.0,0.0,7.29,0.0,0.0,0.0,7.29,46,38.8892686,-77.05017600000001
3,LAKE MEAD NRA,6,"6,344,714",2.32%,AZ-NV,PW,1392440.08,41.31,78230.76,1470712.15,2482.08,22611.3,25093.38,1495805.53,63,36.155086299999994,-114.4559303
4,GATEWAY NRA,7,"6,191,246",2.26%,NJ-NY,NE,20163.53,1.63,279.24,20444.4,5560.04,602.19,6162.23,26606.63,143,40.439669,-73.9887047
5,NATCHEZ TRACE PKWY,8,"6,012,740",2.20%,TN-MS-AL,SE,46320.02,5887.28,0.0,52207.3,34.54,60.16,94.7,52302.0,167,33.76686420000001,-89.01875109999999
6,GULF ISLANDS NS,11,"4,837,965",1.77%,FL-MS,SE,95059.3,2.09,4553.25,99614.64,37655.56,718.69,38374.25,137988.89,178,30.391851399999997,-88.791067
7,GRAND CANYON NP,12,"4,564,840",1.67%,AZ,IM,1180650.85,0.0,0.0,1180650.85,11860.0,24680.5,36540.5,1217191.35,71,36.1069652,-112.11299720000001
8,CAPE COD NS,13,"4,501,898",1.65%,MA,NE,27113.49,403.64,31.86,27548.99,14556.22,1501.93,16058.15,43607.14,211,41.904347200000004,-69.9789243
9,VIETNAM VETERANS MEM,15,"4,142,721",1.51%,DC,NC,2.18,0.0,0.0,2.18,0.0,0.0,0.0,2.18,64,38.891293299999994,-77.04771319999998
10,YOSEMITE NP,17,"3,691,191",1.35%,CA,PW,759210.11,10.83,319.11,759540.05,1502.7,224.75,1727.45,761267.5,70,37.8651011,-119.5383294
11,INDEPENDENCE NHP,18,"3,553,070",1.30%,PA,NE,33.27,0.6,0.0,33.87,4.95,6.03,10.98,44.85,174,39.9495312,-75.14973189999998
12,YELLOWSTONE NP,21,"3,188,030",1.17%,ID-MT-WY,IM,2219789.13,0.0,0.0,2219789.13,0.0,1.58,1.58,2219790.71,206,44.427963,-110.58845500000001
13,COLONIAL NHP,22,"3,168,731",1.16%,VA,NE,8048.82,556.47,0.0,8605.29,68.83,2.79,71.62,8676.91,41,37.229133700000006,-76.50390329999998
14,OLYMPIC NP,23,"3,085,340",1.13%,WA,PW,913381.94,64.88,100.0,913546.82,8749.47,353.81,9103.28,922650.1,97,47.8021067,-123.6043524
15,ZION NP,27,"2,807,387",1.03%,UT,IM,143717.65,0.0,0.0,143717.65,5.13,3514.24,3519.37,147237.02,128,37.298202200000006,-113.02630049999999
16,GRAND TETON NP,28,"2,688,794",0.98%,WY,IM,272837.58,8.85,34984.62,307831.05,1293.34,919.83,2213.17,310044.22,6,43.7904282,-110.68176270000001
17,POINT REYES NS,29,"2,641,808",0.97%,CA,PW,64856.5,42.98,334.87,65234.35,2696.98,3124.08,5821.06,71055.41,157,38.0722909,-122.881743
18,THOMAS JEFFERSON MEM,30,"2,609,463",0.95%,DC,NC,18.36,0.0,0.0,18.36,0.0,0.0,0.0,18.36,161,38.88138060000001,-77.0364536
19,ACADIA NP,32,"2,254,922",0.82%,ME,NE,35763.18,12103.4,21.77,47888.35,50.22,938.01,988.23,48876.58,21,44.3385559,-68.27333459999998
20,BOSTON NHP,33,"2,245,875",0.82%,MA,NE,37.96,0.0,0.0,37.96,5.09,0.77,5.86,43.82,176,42.373162,-71.056834
21,CAPE HATTERAS NS,34,"2,214,565",0.81%,NC,SE,24470.1,0.0,5880.0,30350.1,0.0,0.55,0.55,30350.65,186,35.2426424,-75.5392755
22,GLACIER NP,35,"2,190,374",0.80%,MT,IM,1012956.59,70.28,0.0,1013026.87,2.51,292.79,295.3,1013322.17,177,48.7596128,-113.7870225
23,CASTLE CLINTON NM,36,"2,180,694",0.80%,NY,NE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11,40.7034401,-74.0168023
24,CUYAHOGA VALLEY NP,38,"2,103,010",0.77%,OH,MW,19018.7,1322.49,0.0,20341.19,8347.32,4142.67,12489.99,32831.18,69,41.2808248,-81.56781199999998
25,ASSATEAGUE ISLAND NS,39,"2,056,828",0.75%,MD-VA 2/,NE,8983.42,101.82,9842.69,18927.93,22389.33,2.78,22392.11,41320.04,101,38.0607973,-75.2362382
26,GLEN CANYON NRA,40,"1,991,924",0.73%,AZ-UT,IM,1238621.99,0.0,1141.85,1239763.84,14352.78,0.0,14352.78,1254116.62,3,37.3867256,-110.84242569999999
27,ROCK CREEK PARK,41,"1,968,995",0.72%,DC,NC,1755.21,0.0,0.0,1755.21,0.0,0.0,0.0,1755.21,50,38.937563899999994,-77.0479223
28,VALLEY FORGE NHP,42,"1,962,889",0.72%,PA,NE,3145.73,29.13,0.0,3174.86,218.03,74.81,292.84,3467.7,217,40.1017506,-75.446922
29,STATUE OF LIBERTY NM,44,"1,883,544",0.69%,NY-NJ,NE,58.38,0.0,0.0,58.38,0.0,2.48,2.48,60.86,168,40.6892494,-74.04450039999998
30,HAWAII VOLCANOES NP,49,"1,583,209",0.58%,HI,PW,323431.38,0.0,0.0,323431.38,0.0,0.0,0.0,323431.38,52,19.419369699999997,-155.2884969
31,JOSHUA TREE NP,50,"1,383,340",0.51%,CA,PW,775382.08,0.0,25.4,775407.48,2572.74,12655.52,15228.26,790635.74,154,33.873415,-115.9009923
32,SLEEPING BEAR DUNES NL,51,"1,340,007",0.49%,MI,MW,56721.98,707.07,1.85,57430.9,12067.03,1715.22,13782.25,71213.15,187,44.8734043,-86.0466574
33,SAN JUAN NHS,52,"1,328,802",0.49%,PR,SE,53.2,0.0,0.0,53.2,21.93,0.0,21.93,75.13,193,18.4686841,-66.1207495
34,HOT SPRINGS NP,53,"1,325,719",0.48%,AR,MW,4937.97,0.0,0.0,4937.97,345.81,265.48,611.29,5549.26,57,34.521691499999996,-93.0423545
35,BRYCE CANYON NP,54,"1,311,875",0.48%,UT,IM,35832.58,0.0,0.0,35832.58,0.0,2.5,2.5,35835.08,1,37.593037700000004,-112.1870895
36,LAKE ROOSEVELT NRA,55,"1,254,409",0.46%,WA 1/,PW,331.31,0.0,100059.0,100390.31,0.0,0.0,0.0,100390.31,229,48.1011309,-118.24663899999999
37,GETTYSBURG NMP,58,"1,213,349",0.44%,PA,NE,4426.82,605.65,0.01,5032.48,43.21,911.98,955.19,5987.67,25,39.813249400000004,-77.23373199999999
38,SHENANDOAH NP,60,"1,136,505",0.42%,VA,NE,197442.12,817.12,0.0,198259.24,72.11,785.57,857.68,199116.92,135,38.29275579999999,-78.67958359999999
39,CANAVERAL NS,61,"1,133,688",0.41%,FL,SE,17735.69,0.0,39912.0,57647.69,0.0,14.0,14.0,57661.69,164,28.789536,-80.75637540000001
40,CHICKASAW NRA,63,"1,099,669",0.40%,OK,IM,9695.79,9.2,189.14,9894.13,4.5,0.0,4.5,9898.63,90,34.461543299999995,-97.0064043
41,ARCHES NP,65,"1,082,866",0.40%,UT,IM,76545.95,0.0,0.0,76545.95,133.03,0.0,133.03,76678.98,159,38.733081,-109.5925139
42,EVERGLADES NP,67,"1,047,116",0.38%,FL 6/,SE,1400253.48,0.0,0.0,1400253.48,0.0,285.82,285.82,1400539.3,83,25.2866155,-80.89865089999998
43,AMISTAD NRA,69,"1,025,151",0.37%,TX,IM,57292.44,0.0,0.0,57292.44,0.0,1207.56,1207.56,58500.0,48,29.495577500000003,-100.99526850000001
44,MUIR WOODS NM,71,"954,125",0.35%,CA,PW,522.98,0.0,0.0,522.98,30.57,0.0,30.57,553.55,120,37.8970199,-122.58111770000001
45,DEATH VALLEY NP,72,"951,972",0.35%,CA-NV,PW,3324155.44,0.0,393.99,3324549.43,38863.53,9649.78,48513.31,3373062.74,126,36.5053891,-117.0794078
46,MINUTE MAN NHP,73,"947,894",0.35%,MA,NE,786.68,7.47,6.78,800.93,125.53,100.35,225.88,1026.81,103,42.457997799999994,-71.32152049999998
47,SEQUOIA NP,75,"909,274",0.33%,CA,PW,403892.03,15.36,0.0,403907.39,0.0,155.24,155.24,404062.63,77,36.48636679999999,-118.56575159999998
48,BADLANDS NP,77,"892,372",0.33%,SD,MW,110658.24,122324.0,0.0,232982.24,39.24,9734.46,9773.7,242755.94,133,43.8553804,-102.3396912
49,CABRILLO NM,79,"856,128",0.31%,CA,PW,159.94,0.0,0.0,159.94,0.0,0.0,0.0,159.94,209,32.673542600000005,-117.24251909999998
50,CANYON DE CHELLY NM,80,"828,478",0.30%,AZ,IM,0.0,0.0,0.0,0.0,0.0,83840.0,83840.0,83840.0,173,36.1336111,-109.46944440000001
51,CURECANTI NRA,82,"814,163",0.30%,CO 1/,IM,1122.3,1.38,41971.04,43094.72,0.0,0.0,0.0,43094.72,51,38.465746100000004,-107.1666799
52,HALEAKALA NP,83,"785,300",0.29%,HI,PW,33264.47,0.0,0.0,33264.47,0.15,0.0,0.15,33264.62,89,20.7096921,-156.25351469999998
53,CASTILLO DE SAN MARCOS NM,84,"778,128",0.28%,FL,SE,19.31,0.0,0.0,19.31,0.06,0.01,0.07,19.38,166,29.89786179999999,-81.31151870000002
54,CUMBERLAND GAP NHP,86,"768,363",0.28%,KY-TN-VA,SE,24344.95,185.61,0.0,24530.56,10.06,6.21,16.27,24546.83,62,36.6039715,-83.67296999999999
55,ROSS LAKE NRA,88,"725,917",0.27%,WA,PW,115959.59,0.0,0.0,115959.59,1609.37,5.63,1615.0,117574.59,13,48.69987329999999,-121.01983659999999
56,SAGUARO NP,91,"678,261",0.25%,AZ,IM,87512.43,13.64,0.0,87526.07,2998.71,917.64,3916.35,91442.42,7,32.2967359,-111.166615
57,FORD'S THEATRE NHS,92,"665,876",0.24%,DC,NC,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3,54,38.89667,-77.0256687
58,CAPITOL REEF NP,93,"663,670",0.24%,UT,IM,241234.29,0.0,0.0,241234.29,669.97,0.0,669.97,241904.26,85,38.3669703,-111.26150420000002
59,PETRIFIED FOREST NP,95,"644,648",0.24%,AZ,IM,134914.58,0.0,0.0,134914.58,35900.69,50599.32,86500.01,221414.59,18,34.909989700000004,-109.8067916
60,PICTURED ROCKS NL,98,"575,450",0.21%,MI,MW,35667.56,21.3,40.0,35728.86,13939.75,23567.22,37506.97,73235.83,14,46.56143839999999,-86.3213064
61,VICKSBURG NMP,99,"573,838",0.21%,MS-LA,SE,1747.68,-0.95,0.0,1746.73,4.84,50.61,55.45,1802.18,22,32.3548532,-90.8452588
