,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
0,BLUE RIDGE PKWY,1,"15,382,447",5.51%,NC-VA,NT,82202.04,2775.57,125.0,85102.61,259.58,9832.24,10091.82,95194.43,5,37.1199734,-80.12914119999998
1,GOLDEN GATE NRA,2,"14,567,487",5.22%,CA,PW,34434.3,22313.82,536.72,57284.84,19537.69,3179.85,22717.54,80002.38,138,37.8480359,-122.5295263
2,GATEWAY NRA,4,"7,697,727",2.76%,NJ-NY,NE,20163.53,1.63,279.24,20444.4,5560.04,602.19,6162.23,26606.63,143,40.439669,-73.9887047
3,LAKE MEAD NRA,6,"6,396,682",2.29%,AZ-NV 4/,PW,1392440.08,41.31,78230.76,1470712.15,2482.08,22611.3,25093.38,1495805.53,63,36.155086299999994,-114.4559303
4,LINCOLN MEMORIAL,7,"5,971,220",2.14%,DC,NC,7.29,0.0,0.0,7.29,0.0,0.0,0.0,7.29,46,38.8892686,-77.05017600000001
5,NATCHEZ TRACE PKWY,8,"5,765,343",2.07%,TN-MS-AL,SE,46320.02,5887.28,0.0,52207.3,34.54,60.16,94.7,52302.0,167,33.76686420000001,-89.01875109999999
6,GULF ISLANDS NS,9,"5,501,872",1.97%,FL-MS,SE,95059.3,2.09,4553.25,99614.64,37655.56,718.69,38374.25,137988.89,178,30.391851399999997,-88.791067
7,CAPE COD NS,11,"4,454,771",1.60%,MA,NE,27113.49,403.64,31.86,27548.99,14556.22,1501.93,16058.15,43607.14,211,41.904347200000004,-69.9789243
8,GRAND CANYON NP,12,"4,298,178",1.54%,AZ,IM,1180721.25,0.0,0.0,1180721.25,11860.0,24680.5,36540.5,1217261.75,71,36.1069652,-112.11299720000001
9,VIETNAM VETERANS MEM,14,"4,020,127",1.44%,DC,NC,2.18,0.0,0.0,2.18,0.0,0.0,0.0,2.18,64,38.891293299999994,-77.04771319999998
10,CASTLE CLINTON NM,15,"3,985,366",1.43%,NY,NE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11,40.7034401,-74.0168023
11,YOSEMITE NP,16,"3,951,393",1.42%,CA,PW,759210.11,10.83,319.11,759540.05,1502.7,224.75,1727.45,761267.5,70,37.8651011,-119.5383294
12,STATUE OF LIBERTY NM,19,"3,749,982",1.34%,NY-NJ,NE,58.38,0.0,0.0,58.38,0.0,2.48,2.48,60.86,168,40.6892494,-74.04450039999998
13,INDEPENDENCE NHP,20,"3,572,770",1.28%,PA,NE,33.27,0.6,0.0,33.87,4.95,6.03,10.98,44.85,174,39.9495312,-75.14973189999998
14,COLONIAL NHP,21,"3,414,577",1.22%,VA,NE,8048.82,556.47,0.0,8605.29,68.83,2.79,71.62,8676.91,41,37.229133700000006,-76.50390329999998
15,YELLOWSTONE NP,22,"3,394,326",1.22%,ID-MT-WY,IM,2219789.13,0.0,0.0,2219789.13,0.0,1.58,1.58,2219790.71,206,44.427963,-110.58845500000001
16,OLYMPIC NP,26,"2,966,502",1.06%,WA,PW,913378.21,64.88,100.0,913543.09,8749.47,357.54,9107.01,922650.1,97,47.8021067,-123.6043524
17,ZION NP,27,"2,825,505",1.01%,UT,IM,143068.03,0.0,0.0,143068.03,0.0,3529.37,3529.37,146597.4,128,37.298202200000006,-113.02630049999999
18,GRAND TETON NP,28,"2,587,437",0.93%,WY,IM,272751.26,8.85,34984.62,307744.73,1379.66,919.97,2299.63,310044.36,6,43.7904282,-110.68176270000001
19,BOSTON NHP,29,"2,546,156",0.91%,MA,NE,37.46,0.0,0.0,37.46,5.09,0.77,5.86,43.32,176,42.373162,-71.056834
20,ACADIA NP,30,"2,374,645",0.85%,ME,NE,35763.18,10684.4,21.77,46469.35,50.22,933.23,983.45,47452.8,21,44.3385559,-68.27333459999998
21,GLEN CANYON NRA,32,"2,270,817",0.81%,AZ-UT,IM,1238621.99,0.0,1141.85,1239763.84,14352.78,0.0,14352.78,1254116.62,3,37.3867256,-110.84242569999999
22,CUYAHOGA VALLEY NP,34,"2,161,185",0.77%,OH,MW,19018.09,1321.13,0.0,20339.22,8201.58,4291.23,12492.81,32832.03,69,41.2808248,-81.56781199999998
23,POINT REYES NS,35,"2,129,116",0.76%,CA,PW,64856.5,42.98,334.87,65234.35,2696.98,3124.08,5821.06,71055.41,157,38.0722909,-122.881743
24,ASSATEAGUE ISLAND NS,36,"2,105,419",0.75%,MD-VA 2/,NE,8983.42,101.82,9842.69,18927.93,22389.33,2.78,22392.11,41320.04,101,38.0607973,-75.2362382
25,ROCK CREEK PARK,38,"2,050,490",0.74%,DC,NC,1755.21,0.0,0.0,1755.21,0.0,0.0,0.0,1755.21,50,38.937563899999994,-77.0479223
