,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
0,BLUE RIDGE PKWY,1,"14,517,118",5.16%,NC-VA,SE,82081.82,2775.57,125.0,84982.39,259.58,9922.38,10181.96,95164.35,5,37.1199734,-80.12914119999998
1,GOLDEN GATE NRA,2,"14,271,503",5.07%,CA,PW,34158.95,22323.34,536.72,57019.01,19578.69,3438.48,23017.17,80036.18,138,37.8480359,-122.5295263
2,GATEWAY NRA,4,"8,820,757",3.14%,NJ-NY,NE,20163.53,1.63,279.24,20444.4,5560.04,602.19,6162.23,26606.63,143,40.439669,-73.9887047
3,LAKE MEAD NRA,5,"7,080,758",2.52%,AZ-NV 4/,PW,1392298.55,41.31,78230.76,1470570.62,2482.08,22611.3,25093.38,1495664.0,63,36.155086299999994,-114.4559303
4,LINCOLN MEMORIAL,7,"6,042,315",2.15%,DC,NC,107.43,0.0,0.0,107.43,0.0,0.0,0.0,107.43,46,38.8892686,-77.05017600000001
5,NATCHEZ TRACE PKWY,8,"5,910,950",2.10%,TN-MS-AL,SE,46320.02,5887.28,0.0,52207.3,34.54,60.16,94.7,52302.0,167,33.76686420000001,-89.01875109999999
6,CAPE COD NS,10,"4,653,706",1.65%,MA,NE,27102.93,403.75,31.86,27538.54,14556.22,1512.43,16068.65,43607.19,211,41.904347200000004,-69.9789243
7,VIETNAM VETERANS MEM,11,"4,555,371",1.62%,DC,NC,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,64,38.891293299999994,-77.04771319999998
8,GRAND CANYON NP,12,"4,388,386",1.56%,AZ,IM,1180862.78,0.0,0.0,1180862.78,11860.0,24680.54,36540.54,1217403.32,71,36.1069652,-112.11299720000001
9,GULF ISLANDS NS,13,"4,283,747",1.52%,FL-MS,SE,95059.3,2.09,4553.25,99614.64,37655.56,718.69,38374.25,137988.89,178,30.391851399999997,-88.791067
10,CASTLE CLINTON NM,15,"4,126,378",1.47%,NY,NE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11,40.7034401,-74.0168023
11,YOSEMITE NP,18,"3,901,408",1.39%,CA,PW,759210.11,10.83,319.11,759540.05,1502.7,224.75,1727.45,761267.5,70,37.8651011,-119.5383294
