,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
0,BLUE RIDGE PKWY,1,"15,205,059",5.38%,NC-VA,NT,82413.04,2775.57,125.0,85313.61,259.58,10375.09,10634.67,95948.28,5,37.1199734,-80.12914119999998
1,GOLDEN GATE NRA,2,"14,540,338",5.14%,CA,PW,34434.3,22296.63,536.72,57267.65,19578.69,3186.37,22765.06,80032.71,138,37.8480359,-122.5295263
2,LAKE MEAD NRA,5,"6,285,439",2.22%,AZ-NV,PW,1392440.08,41.31,78230.76,1470712.15,2482.08,22611.3,25093.38,1495805.53,63,36.155086299999994,-114.4559303
3,LINCOLN MEMORIAL,6,"6,191,361",2.19%,DC,NC,7.29,0.0,0.0,7.29,0.0,0.0,0.0,7.29,46,38.8892686,-77.05017600000001
4,NATCHEZ TRACE PKWY,7,"5,560,668",1.97%,TN-MS-AL,SE,46320.02,5887.28,0.0,52207.3,34.54,60.16,94.7,52302.0,167,33.76686420000001,-89.01875109999999
5,GATEWAY NRA,8,"5,043,863",1.78%,NJ-NY,NE,20163.53,1.63,279.24,20444.4,5560.04,602.19,6162.23,26606.63,143,40.439669,-73.9887047
6,GULF ISLANDS NS,9,"4,973,462",1.76%,FL-MS,SE,95059.3,2.09,4553.25,99614.64,37655.56,718.69,38374.25,137988.89,178,30.391851399999997,-88.791067
7,CAPE COD NS,12,"4,441,290",1.57%,MA,NE,27113.49,403.64,31.86,27548.99,14556.22,1501.93,16058.15,43607.14,211,41.904347200000004,-69.9789243
8,VIETNAM VETERANS MEM,13,"4,424,407",1.56%,DC,NC,2.18,0.0,0.0,2.18,0.0,0.0,0.0,2.18,64,38.891293299999994,-77.04771319999998
9,GRAND CANYON NP,14,"4,421,352",1.56%,AZ,IM,1180650.85,0.0,0.0,1180650.85,11860.0,24680.5,36540.5,1217191.35,71,36.1069652,-112.11299720000001
10,YOSEMITE NP,17,"3,853,404",1.36%,CA,PW,759210.11,10.83,319.11,759540.05,1502.7,224.75,1727.45,761267.5,70,37.8651011,-119.5383294
11,INDEPENDENCE NHP,19,"3,594,549",1.27%,PA,NE,33.27,0.6,0.0,33.87,4.95,6.03,10.98,44.85,174,39.9495312,-75.14973189999998
12,YELLOWSTONE NP,20,"3,447,729",1.22%,ID-MT-WY,IM,2219789.13,0.0,0.0,2219789.13,0.0,1.58,1.58,2219790.71,206,44.427963,-110.58845500000001
13,COLONIAL NHP,21,"3,274,187",1.16%,VA,NE,8048.82,556.47,0.0,8605.29,68.83,2.79,71.62,8676.91,41,37.229133700000006,-76.50390329999998
14,CASTLE CLINTON NM,23,"3,264,439",1.15%,NY,NE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11,40.7034401,-74.0168023
15,STATUE OF LIBERTY NM,26,"3,029,443",1.07%,NY-NJ,NE,58.38,0.0,0.0,58.38,0.0,2.48,2.48,60.86,168,40.6892494,-74.04450039999998
16,ZION NP,27,"2,973,607",1.05%,UT,IM,143068.03,0.0,0.0,143068.03,0.0,3529.37,3529.37,146597.4,128,37.298202200000006,-113.02630049999999
17,OLYMPIC NP,28,"2,824,908",1.00%,WA,PW,913381.27,64.88,100.0,913546.15,8749.47,354.48,9103.95,922650.1,97,47.8021067,-123.6043524
18,GRAND TETON NP,30,"2,705,256",0.96%,WY,IM,272751.26,8.85,34984.62,307744.73,1379.66,919.83,2299.49,310044.22,6,43.7904282,-110.68176270000001
19,BOSTON NHP,31,"2,629,064",0.93%,MA,NE,37.46,0.0,0.0,37.46,5.59,0.77,6.36,43.82,176,42.373162,-71.056834
20,THOMAS JEFFERSON MEM,32,"2,613,131",0.92%,DC,NC,18.36,0.0,0.0,18.36,0.0,0.0,0.0,18.36,161,38.88138060000001,-77.0364536
21,ACADIA NP,34,"2,431,052",0.86%,ME,NE,35763.18,10684.4,21.77,46469.35,50.22,938.01,988.23,47457.58,21,44.3385559,-68.27333459999998
22,POINT REYES NS,35,"2,412,663",0.85%,CA,PW,64856.5,42.98,334.87,65234.35,2696.98,3124.08,5821.06,71055.41,157,38.0722909,-122.881743
23,CAPE HATTERAS NS,36,"2,302,040",0.81%,NC,SE,24470.1,0.0,5880.0,30350.1,0.0,0.55,0.55,30350.65,186,35.2426424,-75.5392755
24,CUYAHOGA VALLEY NP,37,"2,299,722",0.81%,OH,MW,19018.09,1321.36,0.0,20339.45,8201.58,4290.15,12491.73,32831.18,69,41.2808248,-81.56781199999998
25,GLACIER NP,39,"2,162,035",0.76%,MT,IM,1012959.58,70.28,0.0,1013029.86,2.51,289.13,291.64,1013321.5,177,48.7596128,-113.7870225
26,ASSATEAGUE ISLAND NS,40,"2,154,859",0.76%,MD-VA 2/,NE,8983.42,101.82,9842.69,18927.93,22389.33,2.78,22392.11,41320.04,101,38.0607973,-75.2362382
27,GLEN CANYON NRA,41,"2,061,328",0.73%,AZ-UT,IM,1238621.99,0.0,1141.85,1239763.84,14352.78,0.0,14352.78,1254116.62,3,37.3867256,-110.84242569999999
28,ROCK CREEK PARK,42,"2,003,385",0.71%,DC,NC,1755.21,0.0,0.0,1755.21,0.0,0.0,0.0,1755.21,50,38.937563899999994,-77.0479223
29,LAKE ROOSEVELT NRA,45,"1,781,972",0.63%,WA 1/,PW,331.31,0.0,100059.0,100390.31,0.0,0.0,0.0,100390.31,229,48.1011309,-118.24663899999999
30,SLEEPING BEAR DUNES NL,47,"1,531,560",0.54%,MI,MW,56718.81,707.07,1.85,57427.73,12067.03,1715.68,13782.71,71210.44,187,44.8734043,-86.0466574
31,CHICKASAW NRA,49,"1,487,039",0.53%,OK,IM,9695.79,9.2,189.14,9894.13,4.5,0.0,4.5,9898.63,90,34.461543299999995,-97.0064043
32,HAWAII VOLCANOES NP,50,"1,483,928",0.52%,HI,PW,323431.38,0.0,0.0,323431.38,0.0,0.0,0.0,323431.38,52,19.419369699999997,-155.2884969
33,VALLEY FORGE NHP,51,"1,442,750",0.51%,PA,NE,3145.73,29.13,0.0,3174.86,218.03,74.81,292.84,3467.7,217,40.1017506,-75.446922
34,JOSHUA TREE NP,53,"1,396,117",0.49%,CA,PW,775309.58,0.0,25.4,775334.98,2572.74,12728.02,15300.76,790635.74,154,33.873415,-115.9009923
35,BRYCE CANYON NP,54,"1,385,352",0.49%,UT,IM,35832.58,0.0,0.0,35832.58,0.0,2.5,2.5,35835.08,1,37.593037700000004,-112.1870895
