,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
0,GOLDEN GATE NRA,1,"15,004,420",5.12%,CA,PW,34757.31,22296.63,338.15,57392.09,21474.94,2513.33,23988.27,81380.36,138,37.8480359,-122.5295263
1,BLUE RIDGE PKWY,2,"13,941,749",4.76%,NC-VA,NT,82392.56,2775.57,125.0,85293.13,259.58,10554.66,10814.24,96107.37,5,37.1199734,-80.12914119999998
2,LINCOLN MEMORIAL,5,"7,139,072",2.44%,DC,NC,7.29,0.0,0.0,7.29,0.0,0.0,0.0,7.29,46,38.8892686,-77.05017600000001
3,LAKE MEAD NRA,6,"6,942,873",2.37%,AZ-NV,PW,1392521.53,41.31,78230.76,1470793.6,2482.08,22529.85,25011.93,1495805.53,63,36.155086299999994,-114.4559303
4,GATEWAY NRA,7,"6,021,713",2.06%,NJ-NY,NE,20163.53,1.63,279.24,20444.4,5560.04,602.19,6162.23,26606.63,143,40.439669,-73.9887047
5,NATCHEZ TRACE PKWY,8,"5,846,474",2.00%,TN-MS-AL,SE,46320.02,5887.28,0.0,52207.3,34.54,60.16,94.7,52302.0,167,33.76686420000001,-89.01875109999999
6,GRAND CANYON NP,10,"4,756,771",1.62%,AZ,IM,1180650.85,0.0,0.0,1180650.85,11860.0,9136.18,20996.18,1201647.03,71,36.1069652,-112.11299720000001
7,CASTLE CLINTON NM,11,"4,727,110",1.61%,NY,NE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11,40.7034401,-74.0168023
8,GULF ISLANDS NS,12,"4,455,240",1.52%,FL-MS,SE,95223.93,2.09,4553.25,99779.27,37807.56,718.69,38526.25,138305.52,178,30.391851399999997,-88.791067
9,CAPE COD NS,13,"4,426,750",1.51%,MA,NE,27113.49,403.64,31.86,27548.99,14556.22,1501.93,16058.15,43607.14,211,41.904347200000004,-69.9789243
10,VIETNAM VETERANS MEM,14,"4,403,467",1.50%,DC,NC,2.18,0.0,0.0,2.18,0.0,0.0,0.0,2.18,64,38.891293299999994,-77.04771319999998
11,STATUE OF LIBERTY NM,17,"4,198,815",1.43%,NY-NJ,NE,58.38,0.0,0.0,58.38,0.0,2.48,2.48,60.86,168,40.6892494,-74.04450039999998
12,YOSEMITE NP,19,"3,882,642",1.33%,CA,PW,759290.11,10.83,319.11,759620.05,1502.7,224.75,1727.45,761347.5,70,37.8651011,-119.5383294
13,INDEPENDENCE NHP,21,"3,648,050",1.25%,PA,NE,33.27,0.6,0.0,33.87,4.95,6.03,10.98,44.85,174,39.9495312,-75.14973189999998
14,YELLOWSTONE NP,22,"3,513,484",1.20%,ID-MT-WY,IM,2219789.13,0.0,0.0,2219789.13,0.0,1.58,1.58,2219790.71,206,44.427963,-110.58845500000001
15,COLONIAL NHP,24,"3,335,060",1.14%,VA,NE,8048.82,556.47,0.0,8605.29,68.83,2.79,71.62,8676.91,41,37.229133700000006,-76.50390329999998
16,OLYMPIC NP,25,"3,243,872",1.11%,WA,PW,913382.96,64.88,100.0,913547.84,8749.47,352.79,9102.26,922650.1,97,47.8021067,-123.6043524
17,ZION NP,27,"3,189,696",1.09%,UT,IM,143747.65,0.0,0.0,143747.65,5.13,3484.24,3489.37,147237.02,128,37.298202200000006,-113.02630049999999
18,GRAND TETON NP,30,"2,791,392",0.95%,WY,IM,272837.58,8.85,34984.62,307831.05,1293.34,919.83,2213.17,310044.22,6,43.7904282,-110.68176270000001
19,THOMAS JEFFERSON MEM,31,"2,708,607",0.93%,DC,NC,18.36,0.0,0.0,18.36,0.0,0.0,0.0,18.36,161,38.88138060000001,-77.0364536
20,ACADIA NP,32,"2,563,129",0.88%,ME,NE,35800.27,12176.4,21.77,47998.44,50.22,947.25,997.47,48995.91,21,44.3385559,-68.27333459999998
21,BOSTON NHP,33,"2,476,078",0.85%,MA,NE,37.96,0.0,0.0,37.96,5.09,0.77,5.86,43.82,176,42.373162,-71.056834
22,ROCK CREEK PARK,34,"2,437,948",0.83%,DC,NC,1755.21,0.0,0.0,1755.21,0.0,0.0,0.0,1755.21,50,38.937563899999994,-77.0479223
23,POINT REYES NS,35,"2,433,944",0.83%,CA,PW,64856.5,42.98,334.87,65234.35,2696.98,3124.08,5821.06,71055.41,157,38.0722909,-122.881743
24,GLEN CANYON NRA,36,"2,368,452",0.81%,AZ-UT,IM,1238621.99,0.0,1141.85,1239763.84,14352.78,0.0,14352.78,1254116.62,3,37.3867256,-110.84242569999999
25,GLACIER NP,37,"2,338,528",0.80%,MT,IM,1012956.82,70.28,0.0,1013027.1,2.51,292.56,295.07,1013322.17,177,48.7596128,-113.7870225
26,CUYAHOGA VALLEY NP,38,"2,189,849",0.75%,OH,MW,19052.36,1346.88,0.0,20399.24,8501.68,3670.56,12172.24,32571.48,69,41.2808248,-81.56781199999998
27,ASSATEAGUE ISLAND NS,39,"2,170,681",0.74%,MD-VA 2/,NE,8983.42,101.82,9842.69,18927.93,22389.33,2.78,22392.11,41320.04,101,38.0607973,-75.2362382
28,CAPE HATTERAS NS,40,"2,153,350",0.74%,NC,SE,24470.1,0.0,5880.0,30350.1,0.0,0.55,0.55,30350.65,186,35.2426424,-75.5392755
29,VALLEY FORGE NHP,44,"1,990,881",0.68%,PA,NE,3145.73,29.13,0.0,3174.86,218.03,74.81,292.84,3467.7,217,40.1017506,-75.446922
30,HAWAII VOLCANOES NP,46,"1,693,005",0.58%,HI,PW,323431.38,0.0,0.0,323431.38,0.0,0.0,0.0,323431.38,52,19.419369699999997,-155.2884969
31,JOSHUA TREE NP,49,"1,589,904",0.54%,CA,PW,775382.08,0.0,25.4,775407.48,2572.74,12655.52,15228.26,790635.74,154,33.873415,-115.9009923
32,CANAVERAL NS,51,"1,451,225",0.50%,FL,SE,17735.69,0.0,39912.0,57647.69,0.0,14.0,14.0,57661.69,164,28.789536,-80.75637540000001
33,BRYCE CANYON NP,52,"1,435,741",0.49%,UT,IM,35832.58,0.0,0.0,35832.58,0.0,2.5,2.5,35835.08,1,37.593037700000004,-112.1870895
34,HOT SPRINGS NP,53,"1,424,484",0.49%,AR,MW,4958.6,0.0,0.0,4958.6,326.14,264.36,590.5,5549.1,57,34.521691499999996,-93.0423545
35,SLEEPING BEAR DUNES NL,54,"1,395,401",0.48%,MI,MW,56724.66,746.02,1.85,57472.53,12067.03,1670.59,13737.62,71210.15,187,44.8734043,-86.0466574
36,SAN ANTONIO MISSIONS NHP,55,"1,395,337",0.48%,TX,IM,419.59,69.68,0.0,489.27,167.01,173.25,340.26,829.53,72,29.361157000000002,-98.478431
