,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
37,SAN JUAN NHS,56,"1,382,906",0.47%,PR,SE,53.2,0.0,0.0,53.2,21.93,0.0,21.93,75.13,193,18.4686841,-66.1207495
38,ARCHES NP,60,"1,284,767",0.44%,UT,IM,76545.95,0.0,0.0,76545.95,133.03,0.0,133.03,76678.98,159,38.733081,-109.5925139
39,SHENANDOAH NP,63,"1,255,321",0.43%,VA,NE,197442.12,817.12,0.0,198259.24,72.11,785.57,857.68,199116.92,135,38.29275579999999,-78.67958359999999
40,LAKE ROOSEVELT NRA,65,"1,180,898",0.40%,WA 1/,PW,331.31,0.0,100059.0,100390.31,0.0,0.0,0.0,100390.31,229,48.1011309,-118.24663899999999
41,CHICKASAW NRA,66,"1,152,083",0.39%,OK,IM,9695.79,9.2,189.14,9894.13,4.5,0.0,4.5,9898.63,90,34.461543299999995,-97.0064043
42,HALEAKALA NP,67,"1,142,040",0.39%,HI,PW,33264.47,0.0,0.0,33264.47,0.15,0.0,0.15,33264.62,89,20.7096921,-156.25351469999998
43,AMISTAD NRA,68,"1,130,096",0.39%,TX,IM,57292.44,0.0,0.0,57292.44,0.0,1207.56,1207.56,58500.0,48,29.495577500000003,-100.99526850000001
44,EVERGLADES NP,71,"1,110,901",0.38%,FL 6/,SE,1400253.48,0.0,0.0,1400253.48,0.0,285.82,285.82,1400539.3,83,25.2866155,-80.89865089999998
45,DEATH VALLEY NP,72,"1,101,312",0.38%,CA-NV,PW,3320765.33,0.0,393.99,3321159.32,42187.93,9715.89,51903.82,3373063.14,126,36.5053891,-117.0794078
46,MINUTE MAN NHP,74,"1,056,549",0.36%,MA,NE,786.68,7.47,6.78,800.93,125.53,100.35,225.88,1026.81,103,42.457997799999994,-71.32152049999998
47,MUIR WOODS NM,75,"1,049,400",0.36%,CA,PW,522.98,0.0,0.0,522.98,30.57,0.0,30.57,553.55,120,37.8970199,-122.58111770000001
48,SEQUOIA NP,76,"1,039,137",0.35%,CA,PW,403893.31,15.36,0.0,403908.67,0.0,153.96,153.96,404062.63,77,36.48636679999999,-118.56575159999998
49,GETTYSBURG NMP,77,"1,020,702",0.35%,PA,NE,4426.82,605.65,0.01,5032.48,43.21,911.98,955.19,5987.67,25,39.813249400000004,-77.23373199999999
50,CURECANTI NRA,79,"931,367",0.32%,CO 1/,IM,1122.3,1.38,41971.04,43094.72,0.0,0.0,0.0,43094.72,51,38.465746100000004,-107.1666799
51,CABRILLO NM,80,"893,434",0.31%,CA,PW,159.94,0.0,0.0,159.94,0.0,0.0,0.0,159.94,209,32.673542600000005,-117.24251909999998
52,CUMBERLAND GAP NHP,81,"879,934",0.30%,KY-TN-VA,SE,24344.95,185.61,0.0,24530.56,10.06,6.21,16.27,24546.83,62,36.6039715,-83.67296999999999
53,BADLANDS NP,83,"868,094",0.30%,SD,MW,110660.74,122321.5,0.0,232982.24,39.24,9734.46,9773.7,242755.94,133,43.8553804,-102.3396912
54,PETRIFIED FOREST NP,85,"836,799",0.29%,AZ,IM,139180.08,0.0,0.0,139180.08,35900.69,46334.97,82235.66,221415.74,18,34.909989700000004,-109.8067916
55,CANYON DE CHELLY NM,87,"827,761",0.28%,AZ,IM,0.0,0.0,0.0,0.0,0.0,83840.0,83840.0,83840.0,173,36.1336111,-109.46944440000001
56,CAPITOL REEF NP,89,"786,514",0.27%,UT,IM,241234.29,0.0,0.0,241234.29,669.97,0.0,669.97,241904.26,85,38.3669703,-111.26150420000002
57,CEDAR BREAKS NM,92,"762,907",0.26%,UT,IM,6154.6,0.0,0.0,6154.6,0.0,0.0,0.0,6154.6,94,37.6359544,-112.84502479999999
58,CASTILLO DE SAN MARCOS NM,93,"760,708",0.26%,FL,SE,19.31,0.0,0.0,19.31,0.06,0.01,0.07,19.38,166,29.89786179999999,-81.31151870000002
59,ROSS LAKE NRA,95,"710,612",0.24%,WA,PW,115959.59,0.0,0.0,115959.59,1609.37,5.63,1615.0,117574.59,13,48.69987329999999,-121.01983659999999
60,GOVERNORS ISLAND NM,96,"698,227",0.24%,NY,NE,22.27,0.01,0.0,22.28,0.0,0.5,0.5,22.78,27,40.691987899999994,-74.01599499999998
61,LAKE MEREDITH NRA,98,"692,195",0.24%,TX,IM,43964.63,0.0,1013.0,44977.63,0.0,0.0,0.0,44977.63,87,35.6438165,-101.58630579999999
62,SAGUARO NP,99,"673,572",0.23%,AZ,IM,87512.43,13.64,0.0,87526.07,3001.13,915.22,3916.35,91442.42,7,32.2967359,-111.166615
63,SAINT CROIX NSR,101,"671,582",0.23%,MN-WI,MW,20298.59,11153.79,804.44,32256.82,30679.45,4533.47,35212.92,67469.74,175,45.416208700000006,-92.6467858
64,FORD'S THEATRE NHS,102,"655,441",0.22%,DC,NC,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3,54,38.89667,-77.0256687
65,PADRE ISLAND NS,104,"578,815",0.20%,TX,IM,130355.46,0.0,0.0,130355.46,78.81,0.0,78.81,130434.27,36,27.4241558,-97.2991836
66,WHITE HOUSE,105,"569,391",0.19%,DC,NC,18.07,0.0,0.0,18.07,0.0,0.0,0.0,18.07,153,38.8976763,-77.0365298
67,VICKSBURG NMP,109,"550,874",0.19%,MS-LA,SE,1747.68,-0.95,0.0,1746.73,4.84,50.61,55.45,1802.18,22,32.3548532,-90.8452588
68,WIND CAVE NP,110,"547,022",0.19%,SD,MW,33847.08,0.0,0.0,33847.08,0.0,0.0,0.0,33847.08,145,43.6045811,-103.42134329999999
69,CANYONLANDS NP,111,"542,431",0.19%,UT,IM,337269.4,301.03,0.0,337570.43,27.4,0.0,27.4,337597.83,185,38.3268693,-109.87825919999999
70,CRATER LAKE NP,112,"535,508",0.18%,OR,PW,183223.77,0.0,0.0,183223.77,0.0,0.28,0.28,183224.05,112,42.868441100000005,-122.16847849999999
71,PICTURED ROCKS NL,114,"527,897",0.18%,MI,MW,35667.56,21.3,40.0,35728.86,13939.75,23567.22,37506.97,73235.83,14,46.56143839999999,-86.3213064
72,BISCAYNE NP,115,"525,745",0.18%,FL,SE,170976.68,0.0,26.13,171002.81,1587.05,381.25,1968.3,172971.11,95,25.4824229,-80.20831030000002
73,MAMMOTH CAVE NP,116,"522,628",0.18%,KY,SE,52003.24,0.0,0.0,52003.24,814.75,12.2,826.95,52830.19,28,37.18699779999999,-86.100528
74,LOWELL NHP,117,"514,524",0.18%,MA,NE,10.62,21.04,0.0,31.66,4.46,105.17,109.63,141.29,221,42.6472093,-71.30956239999998
75,MANASSAS NBP,118,"514,140",0.18%,VA,NC,4400.73,21.52,0.0,4422.25,0.0,650.49,650.49,5072.74,15,38.8134115,-77.52216779999998
76,WHITE SANDS NM,119,"503,660",0.17%,NM,IM,141209.24,0.0,2524.01,143733.25,0.0,0.0,0.0,143733.25,140,32.3823687,-106.49065259999999
77,KINGS CANYON NP,120,"502,268",0.17%,CA,PW,461846.05,0.0,0.0,461846.05,0.0,55.15,55.15,461901.2,212,36.88785479999999,-118.55514769999999
78,MESA VERDE NP,121,"501,563",0.17%,CO,IM,52253.29,0.0,0.0,52253.29,41.01,190.87,231.88,52485.17,68,37.2308729,-108.4618335
79,DEVILS TOWER NM,125,"440,875",0.15%,WY,IM,1346.91,0.0,0.0,1346.91,0.0,0.3,0.3,1347.21,117,44.5902098,-104.7146168
80,LASSEN VOLCANIC NP,126,"432,977",0.15%,CA,PW,106448.11,0.0,0.0,106448.11,0.0,4.22,4.22,106452.33,2,40.497659999999996,-121.42065520000001
81,CAPE LOOKOUT NS,127,"430,927",0.15%,NC,SE,13915.7,11243.4,14.52,25173.62,3048.16,21.58,3069.74,28243.36,106,34.6227474,-76.52462070000001
82,WRIGHT BROTHERS NMEM,128,"430,517",0.15%,NC,SE,421.81,0.0,0.0,421.81,6.63,0.0,6.63,428.44,214,36.017318700000004,-75.6692094
83,REDWOOD NP,129,"429,166",0.15%,CA,PW,77715.18,29.36,1.92,77746.46,61101.92,150.99,61252.91,138999.37,8,41.213178799999994,-124.00462749999998
84,VIRGIN ISLANDS NP,130,"426,930",0.15%,VI,SE,13101.98,3.0,0.0,13104.98,133.48,1710.0,1843.48,14948.46,113,18.3424047,-64.74857589999999
85,WASHINGTON MONUMENT,131,"423,170",0.14%,DC,NC,101.01,0.0,5.0,106.01,0.0,0.0,0.0,106.01,82,38.8894838,-77.0352791
86,COLORADO NM,132,"416,862",0.14%,CO,IM,20533.93,0.0,0.0,20533.93,0.0,2.46,2.46,20536.39,93,39.0575219,-108.6938999
87,SHILOH NMP,133,"409,086",0.14%,TN-MS,SE,4955.93,0.0,0.0,4955.93,81.75,1010.32,1092.07,6048.0,144,35.142936999999996,-88.34084990000001
88,MONTEZUMA CASTLE NM,135,"407,017",0.14%,AZ,IM,998.69,0.0,0.0,998.69,0.0,16.83,16.83,1015.52,12,34.6115755,-111.83498540000001
89,SALEM MARITIME NHS,136,"403,758",0.14%,MA,NE,8.93,0.0,0.0,8.93,0.0,0.09,0.09,9.02,78,42.521316299999995,-70.8866429
90,VANDERBILT MANSION NHS,138,"398,447",0.14%,NY,NE,211.65,0.0,0.0,211.65,0.0,0.0,0.0,211.65,9,41.7963461,-73.9423869
91,CARLSBAD CAVERNS NP,139,"397,309",0.14%,NM,IM,46427.26,0.0,0.0,46427.26,0.0,339.19,339.19,46766.45,73,32.1478553,-104.5567138
92,FIRE ISLAND NS,142,"384,343",0.13%,NY,NE,3090.44,3151.51,0.0,6241.95,12422.73,915.74,13338.47,19580.42,115,40.6553691,-73.10343069999998
93,CHANNEL ISLANDS NP,143,"342,161",0.12%,CA,PW,69425.66,0.0,9592.96,79018.62,124554.15,45988.23,170542.38,249561.0,88,33.996073700000004,-119.7691632
94,DE SOTO NMEM,144,"342,039",0.12%,FL,SE,24.78,0.0,0.0,24.78,0.0,5.22,5.22,30.0,37,27.5222794,-82.6445936
95,ANTIETAM NB,145,"337,079",0.12%,MD,NC,1991.36,751.4,0.0,2742.76,20.98,466.63,487.61,3230.37,231,39.46874520000001,-77.7387923
96,BIG BEND NP,147,"314,102",0.11%,TX,IM,775273.38,0.0,0.0,775273.38,2606.87,23282.96,25889.83,801163.21,102,29.1274869,-103.2425379
97,APOSTLE ISLANDS NL,148,"290,059",0.10%,WI,MW,42160.65,0.0,0.0,42160.65,27211.24,0.0,27211.24,69371.89,213,46.9302046,-90.6333321
98,STONES RIVER NB,153,"272,499",0.09%,TN,SE,647.21,0.0,0.0,647.21,13.07,49.18,62.25,709.46,205,35.8731131,-86.43468999999997
99,KENAI FJORDS NP,155,"270,666",0.09%,AK,A,603129.86,0.0,0.0,603129.86,19302.0,47551.79,66853.79,669983.65,129,59.69222219999999,-150.6155555
100,SAN JUAN ISLAND NHP,156,"268,946",0.09%,WA,PW,2119.02,0.0,0.0,2119.02,26.54,0.0,26.54,2145.56,169,48.4550358,-122.97730659999999
101,WAR IN THE PACIFIC NHP,157,"266,191",0.09%,GUAM,PW,957.52,0.0,0.0,957.52,871.67,207.79,1079.46,2036.98,58,13.4737049,144.7090803
102,MORRISTOWN NHP,159,"264,363",0.09%,NJ,NE,1704.74,0.95,0.0,1705.69,0.0,5.03,5.03,1710.72,111,40.7648452,-74.53168070000001
103,HARPERS FERRY NHP,161,"261,202",0.09%,MD-VA-WV,NC,3154.16,53.67,338.97,3546.8,60.32,63.29,123.61,3670.41,107,39.3228225,-77.72920719999998
104,DINOSAUR NM,164,"250,625",0.09%,CO-UT,IM,203017.93,2667.61,0.0,205685.54,50.96,4546.81,4597.77,210283.31,59,40.4927109,-108.9416357
105,VOYAGEURS NP,167,"239,160",0.08%,MN,MW,133108.69,0.0,139.03,133247.72,83903.18,1049.25,84952.43,218200.15,125,48.4840955,-92.8270873
106,ORGAN PIPE CACTUS NM,171,"224,548",0.08%,AZ,IM,329114.5,24.42,226.37,329365.29,1280.0,43.57,1323.57,330688.86,223,32.087759600000005,-112.90588020000001
107,BIGHORN CANYON NRA,172,"224,083",0.08%,MT-WY,IM,47986.04,889.89,19614.94,68490.87,1392.29,50413.06,51805.35,120296.22,61,45.3109005,-107.9359118
108,NEZ PERCE NHP,173,"221,439",0.08%,MT-ID-OR-WA,PW,1968.18,1885.33,5.12,3858.63,261.2,445.1,706.3,4564.93,139,46.4475305,-116.8227368
109,LINCOLN HOME NHS,175,"218,132",0.07%,IL,MW,12.03,0.0,0.0,12.03,0.0,0.21,0.21,12.24,92,39.7973533,-89.64492539999998
110,NATCHEZ NHP,177,"215,257",0.07%,MS,SE,85.98,0.0,0.0,85.98,5.02,17.3,22.32,108.3,194,31.559982,-91.405937
111,PETERSBURG NB,179,"205,572",0.07%,VA,NE,2656.14,0.12,1.17,2657.43,0.0,82.29,82.29,2739.72,118,37.2438545,-77.3568983
112,COWPENS NB,180,"200,836",0.07%,SC,SE,790.9,0.0,0.0,790.9,46.63,4.03,50.66,841.56,74,35.1367361,-81.8181625
113,PINNACLES NP,181,"196,635",0.07%,CA,PW,26633.98,0.31,0.0,26634.29,0.0,51.44,51.44,26685.73,226,36.4905655,-121.18249250000001
114,WUPATKI NM,182,"195,962",0.07%,AZ,IM,35401.73,20.4,0.0,35422.13,0.0,0.0,0.0,35422.13,152,35.5584745,-111.375095
115,RICHMOND NBP,187,"179,552",0.06%,VA,NE,2834.93,22.43,1.42,2858.78,2.7,5142.03,5144.73,8003.51,219,37.535554,-77.44578100000001
116,ADAMS NHP,189,"178,468",0.06%,MA,NE,9.17,0.0,0.0,9.17,4.0,10.65,14.65,23.82,230,42.25235319999999,-71.00398220000001
117,EL MALPAIS NM,194,"164,063",0.06%,NM,IM,109946.76,0.0,0.0,109946.76,402.37,3964.74,4367.11,114313.87,208,34.9002575,-107.9942365
118,SITKA NHP,196,"157,297",0.05%,AK,A,61.97,47.92,0.0,109.89,2.83,3.44,6.27,116.16,218,57.0489056,-135.3159583
119,JOHNSTOWN FLOOD NMEM,199,"141,354",0.05%,PA,NE,167.77,1.24,0.0,169.01,5.55,3.2,8.75,177.76,220,40.328007899999996,-78.92043840000001
120,HERBERT HOOVER NHS,200,"139,086",0.05%,IA,MW,181.11,0.0,0.0,181.11,4.59,1.1,5.69,186.8,134,41.6689744,-91.3477571
121,LAVA BEDS NM,201,"138,499",0.05%,CA,PW,46692.42,0.0,0.0,46692.42,0.0,0.0,0.0,46692.42,196,41.758837,-121.52666409999998
122,FEDERAL HALL NMEM,202,"137,538",0.05%,NY,NE,0.45,0.0,0.0,0.45,0.0,0.0,0.0,0.45,216,40.7073993,-74.0102088
123,WALNUT CANYON NM,203,"135,230",0.05%,AZ,IM,3251.42,0.0,0.0,3251.42,0.0,277.84,277.84,3529.26,110,35.1717266,-111.50927539999999
124,GREENBELT PARK,206,"132,688",0.05%,MD,NC,1105.79,0.0,0.0,1105.79,58.3,11.33,69.63,1175.42,182,38.983031,-76.90114270000001
125,BANDELIER NM,208,"130,106",0.04%,NM,IM,32831.44,0.0,0.0,32831.44,0.0,845.23,845.23,33676.67,40,35.7646658,-106.3228338
126,ANDERSONVILLE NHS,210,"127,189",0.04%,GA,SE,499.88,1.0,0.0,500.88,7.89,6.84,14.73,515.61,124,32.2002948,-84.1303207
127,CONGAREE NP,213,"120,122",0.04%,SC,SE,26020.66,0.0,0.0,26020.66,0.0,255.16,255.16,26275.82,119,33.794800099999996,-80.78209620000001
128,SCOTTS BLUFF NM,214,"119,159",0.04%,NE,MW,2951.23,0.27,0.0,2951.5,5.95,47.36,53.31,3004.81,121,41.8391527,-103.7115457
129,CORONADO NMEM,215,"118,838",0.04%,AZ,IM,4827.19,0.0,1.03,4828.22,0.0,2.0,2.0,4830.22,222,31.3458652,-110.25377549999999
130,GAULEY RIVER NRA,216,"117,354",0.04%,WV,NE,4449.2,61.67,43.36,4554.23,989.83,6044.99,7034.82,11589.05,24,38.208965500000005,-81.01473
131,PETROGLYPH NM,218,"115,859",0.04%,NM,IM,2936.37,0.0,0.0,2936.37,4160.95,111.98,4272.93,7209.3,215,35.13678170000001,-106.7405057
132,DEVILS POSTPILE NM,219,"114,414",0.04%,CA,PW,800.19,0.0,0.0,800.19,0.0,0.0,0.0,800.19,66,37.625106200000005,-119.0849506
133,PISCATAWAY PARK,221,"109,473",0.04%,MD,NC,1772.85,2817.72,0.0,4590.57,0.0,35.8,35.8,4626.37,16,38.690893,-77.070737
134,CHRISTIANSTED NHS,222,"109,159",0.04%,VI,SE,26.24,0.0,0.0,26.24,0.91,0.0,0.91,27.15,98,17.7471645,-64.7021636
135,CHAMIZAL NMEM,223,"108,399",0.04%,TX,IM,54.9,0.0,0.0,54.9,0.0,0.0,0.0,54.9,132,31.767143800000003,-106.4542166
136,GREAT BASIN NP,224,"107,526",0.04%,NV,PW,77180.0,0.0,0.0,77180.0,0.0,0.0,0.0,77180.0,44,38.98333299999999,-114.3
137,PEA RIDGE NMP,225,"104,686",0.04%,AR,MW,4278.75,0.0,0.0,4278.75,21.6,0.0,21.6,4300.35,190,36.443765500000005,-94.025807
138,JEWEL CAVE NM,226,"104,348",0.04%,SD,MW,1273.51,0.0,0.0,1273.51,0.0,0.0,0.0,1273.51,34,43.7303594,-103.8290512
139,GENERAL GRANT NMEM,227,"100,622",0.03%,NY,NE,0.76,0.0,0.0,0.76,0.0,0.0,0.0,0.76,204,40.8134045,-73.9630671
140,LINCOLN BOYHOOD NMEM,228,"99,795",0.03%,IN,MW,185.68,0.0,0.0,185.68,6.38,7.9,14.28,199.96,195,38.11391629999999,-86.99694140000001
141,TIMPANOGOS CAVE NM,229,"95,679",0.03%,UT,IM,250.0,0.0,0.0,250.0,0.0,0.0,0.0,250.0,191,40.4405549,-111.7094462
142,GRAND PORTAGE NM,231,"88,877",0.03%,MN,MW,709.97,0.0,0.0,709.97,0.0,0.0,0.0,709.97,31,47.9607126,-89.68658609999999
143,MOORES CREEK NB,234,"87,774",0.03%,NC,SE,85.35,2.4,0.0,87.75,0.0,0.0,0.0,87.75,55,34.457789700000006,-78.109585
144,NATURAL BRIDGES NM,235,"87,119",0.03%,UT,IM,7620.49,16.0,0.0,7636.49,0.0,0.0,0.0,7636.49,17,37.604056,-110.0052043
145,STEAMTOWN NHS,237,"84,257",0.03%,PA,NE,51.29,0.0,0.0,51.29,10.55,0.64,11.19,62.48,4,41.40790579999999,-75.6720114
146,CARL SANDBURG HOME NHS,238,"82,377",0.03%,NC,SE,263.52,0.0,0.0,263.52,0.0,0.13,0.13,263.65,142,35.2714108,-82.44724709999998
147,EFFIGY MOUNDS NM,240,"77,812",0.03%,IA,MW,2526.39,0.0,0.0,2526.39,0.0,0.0,0.0,2526.39,116,43.089214,-91.20064190000001
148,MANZANAR NHS,241,"77,633",0.03%,CA,PW,813.81,0.0,0.0,813.81,0.0,0.0,0.0,813.81,30,36.72722879999999,-118.1527894
149,TUZIGOOT NM,242,"74,903",0.03%,AZ,IM,366.42,15.11,0.0,381.53,0.0,430.36,430.36,811.89,109,34.768777899999996,-112.0268895
150,KALAUPAPA NHP,246,"67,210",0.02%,HI,PW,22.88,0.0,0.0,22.88,10684.0,72.0,10756.0,10778.88,26,21.1924062,-156.9665093
151,NAVAJO NM,247,"65,778",0.02%,AZ,IM,360.0,0.0,0.0,360.0,0.0,0.0,0.0,360.0,42,35.900012100000005,-109.0339832
152,NINETY SIX NHS,248,"65,688",0.02%,SC,SE,1021.94,0.0,0.0,1021.94,0.0,0.0,0.0,1021.94,162,34.146721899999996,-82.0235684
153,DRY TORTUGAS NP,249,"64,865",0.02%,FL,SE,61481.22,0.0,0.0,61481.22,3220.0,0.0,3220.0,64701.22,76,24.628477,-82.87318739999998
154,HORSESHOE BEND NMP,250,"64,359",0.02%,AL,SE,2040.0,0.0,0.0,2040.0,0.0,0.0,0.0,2040.0,105,32.97832229999999,-85.73100759999998
155,CASA GRANDE RUINS NM,251,"63,698",0.02%,AZ,IM,472.5,0.0,0.0,472.5,0.0,0.0,0.0,472.5,181,32.995458899999996,-111.53552820000002
156,FLORISSANT FOSSIL BEDS NM,252,"63,297",0.02%,CO,IM,5992.32,0.0,0.0,5992.32,5.77,0.0,5.77,5998.09,114,38.9136173,-105.28540759999998
157,RAINBOW BRIDGE NM,253,"62,910",0.02%,UT,IM,160.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,65,37.0774203,-110.964382
158,PIPESTONE NM,254,"62,151",0.02%,MN,MW,281.78,0.0,0.0,281.78,0.0,0.0,0.0,281.78,197,44.01364909999999,-96.3247472
159,MINUTEMAN MISSILE NHS,255,"62,058",0.02%,SD,MW,39.22,0.93,0.0,40.15,0.0,3.65,3.65,43.8,43,43.844547,-101.9011854
160,JIMMY CARTER NHS,256,"62,057",0.02%,GA,SE,36.81,8.81,1.92,47.54,0.0,24.67,24.67,72.21,60,32.0365107,-84.3925979
