,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
34,CANAVERAL NS,51,"1,598,586",0.48%,FL,SE,17735.69,0.0,39912.0,57647.69,0.0,14.0,14.0,57661.69,164,28.789536,-80.75637540000001
35,HOT SPRINGS NP,52,"1,561,616",0.47%,AR,MW,4998.1,0.0,0.0,4998.1,333.89,216.02,549.91,5548.01,57,34.521691499999996,-93.0423545
36,ARCHES NP,53,"1,539,028",0.47%,UT,IM,76545.95,0.0,0.0,76545.95,133.03,0.0,133.03,76678.98,159,38.733081,-109.5925139
37,CHICKASAW NRA,54,"1,533,684",0.46%,OK,IM,9695.79,9.2,189.14,9894.13,4.5,0.0,4.5,9898.63,90,34.461543299999995,-97.0064043
38,SHENANDOAH NP,58,"1,458,874",0.44%,VA,NE,197536.49,818.31,0.0,198354.8,72.11,790.86,862.97,199217.77,135,38.29275579999999,-78.67958359999999
39,SAN ANTONIO MISSIONS NHP,62,"1,381,383",0.42%,TX,IM,476.15,69.68,0.0,545.83,259.22,142.72,401.94,947.77,72,29.361157000000002,-98.478431
40,LAKE MEREDITH NRA,64,"1,329,076",0.40%,TX,IM,43964.51,0.0,1013.0,44977.51,0.0,0.12,0.12,44977.63,87,35.6438165,-101.58630579999999
41,LAKE ROOSEVELT NRA,65,"1,304,403",0.39%,WA 1/,PW,331.31,0.0,100059.0,100390.31,0.0,0.0,0.0,100390.31,229,48.1011309,-118.24663899999999
42,DEATH VALLEY NP,66,"1,294,827",0.39%,CA-NV,PW,3320765.33,0.0,393.99,3321159.32,42187.93,9715.89,51903.82,3373063.14,126,36.5053891,-117.0794078
43,SEQUOIA NP,67,"1,291,256",0.39%,CA,PW,403893.31,15.36,0.0,403908.67,0.0,153.96,153.96,404062.63,77,36.48636679999999,-118.56575159999998
44,AMISTAD NRA,68,"1,221,635",0.37%,TX,IM,57292.44,0.0,0.0,57292.44,0.0,1207.56,1207.56,58500.0,48,29.495577500000003,-100.99526850000001
45,SAN JUAN NHS,70,"1,188,780",0.36%,PR,SE,53.2,0.0,0.0,53.2,21.93,0.0,21.93,75.13,193,18.4686841,-66.1207495
46,CAPITOL REEF NP,73,"1,150,165",0.35%,UT,IM,241223.33,0.0,0.0,241223.33,681.17,0.0,681.17,241904.5,85,38.3669703,-111.26150420000002
47,HALEAKALA NP,74,"1,112,390",0.34%,HI,PW,33264.47,0.0,0.0,33264.47,0.15,0.0,0.15,33264.62,89,20.7096921,-156.25351469999998
48,MUIR WOODS NM,76,"1,062,099",0.32%,CA,PW,522.98,0.0,0.0,522.98,30.57,0.0,30.57,553.55,120,37.8970199,-122.58111770000001
49,BADLANDS NP,77,"1,054,325",0.32%,SD,MW,111487.63,122321.5,0.0,233809.13,39.24,8907.57,8946.81,242755.94,133,43.8553804,-102.3396912
50,CURECANTI NRA,78,"1,041,446",0.31%,CO 1/,IM,1122.3,1.38,42456.04,43579.72,10.84,0.0,10.84,43590.56,51,38.465746100000004,-107.1666799
51,GETTYSBURG NMP,79,"1,038,649",0.31%,PA,NE,4572.8,590.81,0.01,5163.62,5.28,863.64,868.92,6032.54,25,39.813249400000004,-77.23373199999999
52,MINUTE MAN NHP,80,"1,023,921",0.31%,MA,NE,787.69,7.47,6.78,801.94,125.53,100.29,225.82,1027.76,103,42.457997799999994,-71.32152049999998
53,EVERGLADES NP,81,"1,018,557",0.31%,FL 6/,SE,1400253.48,0.0,0.0,1400253.48,0.0,285.82,285.82,1400539.3,83,25.2866155,-80.89865089999998
54,CABRILLO NM,82,"997,903",0.30%,CA,PW,159.94,0.0,0.0,159.94,0.0,0.0,0.0,159.94,209,32.673542600000005,-117.24251909999998
55,SAGUARO NP,84,"964,760",0.29%,AZ,IM,87908.7,13.64,0.0,87922.34,3009.67,783.71,3793.38,91715.72,7,32.2967359,-111.166615
56,CEDAR BREAKS NM,87,"909,199",0.27%,UT,IM,6154.6,0.0,0.0,6154.6,0.0,0.0,0.0,6154.6,94,37.6359544,-112.84502479999999
57,CASTILLO DE SAN MARCOS NM,91,"876,975",0.27%,FL,SE,19.31,0.0,0.0,19.31,0.06,0.01,0.07,19.38,166,29.89786179999999,-81.31151870000002
58,CANYON DE CHELLY NM,93,"825,660",0.25%,AZ,IM,0.0,0.0,0.0,0.0,0.0,83840.0,83840.0,83840.0,173,36.1336111,-109.46944440000001
59,PICTURED ROCKS NL,94,"781,190",0.24%,MI,MW,35705.86,21.3,44.16,35771.32,13939.75,23524.76,37464.51,73235.83,14,46.56143839999999,-86.3213064
60,SAINT CROIX NSR,95,"772,475",0.23%,MN-WI,MW,20355.16,11057.45,804.44,32217.05,30716.34,4533.24,35249.58,67466.63,175,45.416208700000006,-92.6467858
61,ROSS LAKE NRA,97,"759,656",0.23%,WA,PW,115959.59,0.0,0.0,115959.59,1609.37,5.63,1615.0,117574.59,13,48.69987329999999,-121.01983659999999
62,FORD'S THEATRE NHS,98,"744,266",0.22%,DC,NC,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3,54,38.89667,-77.0256687
63,CANYONLANDS NP,99,"742,271",0.22%,UT,IM,337269.4,301.03,0.0,337570.43,27.4,0.0,27.4,337597.83,185,38.3268693,-109.87825919999999
64,CUMBERLAND GAP NHP,100,"737,547",0.22%,KY-TN-VA,SE,24344.95,185.61,0.0,24530.56,10.06,6.21,16.27,24546.83,62,36.6039715,-83.67296999999999
65,CRATER LAKE NP,103,"711,749",0.22%,OR,PW,183223.77,0.0,0.0,183223.77,0.0,0.28,0.28,183224.05,112,42.868441100000005,-122.16847849999999
66,KINGS CANYON NP,105,"692,932",0.21%,CA,PW,461846.05,0.0,0.0,461846.05,0.0,55.15,55.15,461901.2,212,36.88785479999999,-118.55514769999999
67,PADRE ISLAND NS,106,"650,197",0.20%,TX,IM,130355.46,0.0,0.0,130355.46,78.81,0.0,78.81,130434.27,36,27.4241558,-97.2991836
68,PETRIFIED FOREST NP,108,"627,757",0.19%,AZ,IM,147024.45,0.0,0.0,147024.45,35900.69,38465.07,74365.76,221390.21,18,34.909989700000004,-109.8067916
69,GOVERNORS ISLAND NM,109,"625,653",0.19%,NY,NE,22.4,0.01,0.0,22.41,0.0,0.5,0.5,22.91,27,40.691987899999994,-74.01599499999998
70,WIND CAVE NP,110,"619,924",0.19%,SD,MW,33970.84,0.0,0.0,33970.84,0.0,0.0,0.0,33970.84,145,43.6045811,-103.42134329999999
71,MESA VERDE NP,111,"613,788",0.19%,CO,IM,52253.29,0.0,0.0,52253.29,41.01,190.87,231.88,52485.17,68,37.2308729,-108.4618335
72,WHITE SANDS NM,112,"612,468",0.19%,NM,IM,142653.49,0.0,1050.06,143703.55,0.0,0.0,0.0,143703.55,140,32.3823687,-106.49065259999999
73,MANASSAS NBP,113,"605,577",0.18%,VA,NC,4400.73,21.52,0.0,4422.25,0.0,650.38,650.38,5072.63,15,38.8134115,-77.52216779999998
74,MAMMOTH CAVE NP,115,"587,853",0.18%,KY,SE,52003.24,0.0,0.0,52003.24,814.75,1193.92,2008.67,54011.91,28,37.18699779999999,-86.100528
75,LOWELL NHP,118,"562,498",0.17%,MA,NE,10.62,21.04,0.0,31.66,5.38,104.63,110.01,141.67,221,42.6472093,-71.30956239999998
76,CARLSBAD CAVERNS NP,120,"520,026",0.16%,NM,IM,46427.26,0.0,0.0,46427.26,0.0,339.19,339.19,46766.45,73,32.1478553,-104.5567138
77,LASSEN VOLCANIC NP,121,"507,256",0.15%,CA,PW,106504.8,0.0,0.0,106504.8,0.0,84.22,84.22,106589.02,2,40.497659999999996,-121.42065520000001
78,DEVILS TOWER NM,123,"499,031",0.15%,WY,IM,1346.91,0.0,0.0,1346.91,0.0,0.3,0.3,1347.21,117,44.5902098,-104.7146168
79,VICKSBURG NMP,125,"475,074",0.14%,MS-LA,SE,1760.05,-0.95,0.0,1759.1,4.84,50.61,55.45,1814.55,22,32.3548532,-90.8452588
80,FIRE ISLAND NS,127,"456,392",0.14%,NY,NE,3090.44,3151.51,0.0,6241.95,12422.73,915.74,13338.47,19580.42,115,40.6553691,-73.10343069999998
81,BISCAYNE NP,128,"446,961",0.14%,FL,SE,171028.91,0.0,18.45,171047.36,1563.9,359.85,1923.75,172971.11,95,25.4824229,-80.20831030000002
