,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
0,BLUE RIDGE PKWY,1,"15,936,316",5.58%,NC-VA,SE,81785.24,2775.57,125.0,84685.81,261.03,10122.15,10383.18,95068.99,5,37.1199734,-80.12914119999998
1,GOLDEN GATE NRA,2,"15,036,372",5.27%,CA,PW,30376.71,22306.15,536.72,53219.58,19578.69,7223.3,26801.99,80021.57,138,37.8480359,-122.5295263
2,GATEWAY NRA,4,"9,010,522",3.16%,NJ-NY,NE,20163.53,1.63,279.24,20444.4,5560.04,602.19,6162.23,26606.63,143,40.439669,-73.9887047
3,LAKE MEAD NRA,5,"7,668,689",2.69%,AZ-NV 4/,PW,1392298.55,41.31,78230.76,1470570.62,2482.08,22611.3,25093.38,1495664.0,63,36.155086299999994,-114.4559303
4,NATCHEZ TRACE PKWY,7,"5,934,363",2.08%,TN-MS-AL,SE,46304.61,5887.28,0.0,52191.89,49.95,60.16,110.11,52302.0,167,33.76686420000001,-89.01875109999999
5,LINCOLN MEMORIAL,8,"5,255,570",1.84%,DC,NC,107.43,0.0,0.0,107.43,0.0,0.0,0.0,107.43,46,38.8892686,-77.05017600000001
6,VIETNAM VETERANS MEM,10,"4,437,771",1.55%,DC,NC,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,64,38.891293299999994,-77.04771319999998
7,GRAND CANYON NP,11,"4,348,068",1.52%,AZ,IM,1180862.78,0.0,0.0,1180862.78,11860.0,24680.54,36540.54,1217403.32,71,36.1069652,-112.11299720000001
8,CAPE COD NS,12,"4,311,949",1.51%,MA,NE,27102.93,346.75,31.86,27481.54,14556.22,1569.43,16125.65,43607.19,211,41.904347200000004,-69.9789243
9,GULF ISLANDS NS,14,"4,132,674",1.45%,FL-MS,SE,95061.38,2.09,4553.25,99616.72,37655.56,718.69,38374.25,137990.97,178,30.391851399999997,-88.791067
10,CASTLE CLINTON NM,16,"4,080,152",1.43%,NY,NE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11,40.7034401,-74.0168023
11,INDEPENDENCE NHP,17,"3,967,694",1.39%,PA,NE,34.14,0.6,0.0,34.74,4.95,5.16,10.11,44.85,174,39.9495312,-75.14973189999998
12,STATUE OF LIBERTY NM,18,"3,829,483",1.34%,NY-NJ,NE,58.38,0.0,0.0,58.38,0.0,2.48,2.48,60.86,168,40.6892494,-74.04450039999998
13,YOSEMITE NP,20,"3,737,472",1.31%,CA,PW,759210.11,10.83,319.11,759540.05,1502.7,224.75,1727.45,761267.5,70,37.8651011,-119.5383294
14,COLONIAL NHP,22,"3,324,751",1.16%,VA,NE,8048.82,556.47,0.0,8605.29,68.83,2.79,71.62,8676.91,41,37.229133700000006,-76.50390329999998
15,YELLOWSTONE NP,23,"3,295,187",1.15%,ID-MT-WY,IM,2219789.13,0.0,0.0,2219789.13,0.0,1.58,1.58,2219790.71,206,44.427963,-110.58845500000001
16,OLYMPIC NP,24,"3,276,459",1.15%,WA,PW,913372.68,64.88,100.0,913537.56,8749.47,362.96,9112.43,922649.99,97,47.8021067,-123.6043524
