,ParkName,Rank,Value,PercentOfTotal,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,Unnamed: 0,latitude,longitude
17,ZION NP,28,"2,735,402",0.96%,UT,IM,143068.03,0.0,0.0,143068.03,0.0,3529.37,3529.37,146597.4,128,37.298202200000006,-113.02630049999999
18,CUYAHOGA VALLEY NP,30,"2,589,288",0.91%,OH,MW,18440.16,1321.13,0.0,19761.29,8201.58,4892.64,13094.22,32855.51,69,41.2808248,-81.56781199999998
19,GRAND TETON NP,31,"2,580,081",0.90%,WY,IM,272751.26,8.85,34984.62,307744.73,1379.66,919.97,2299.63,310044.36,6,43.7904282,-110.68176270000001
20,AMISTAD NRA,32,"2,573,966",0.90%,TX,IM,57292.44,0.0,0.0,57292.44,0.0,1207.56,1207.56,58500.0,48,29.495577500000003,-100.99526850000001
21,THOMAS JEFFERSON MEM,34,"2,337,868",0.82%,DC,NC,18.36,0.0,0.0,18.36,0.0,0.0,0.0,18.36,161,38.88138060000001,-77.0364536
22,CAPE HATTERAS NS,35,"2,282,543",0.80%,NC,SE,24470.1,0.0,5880.0,30350.1,0.0,0.55,0.55,30350.65,186,35.2426424,-75.5392755
23,ACADIA NP,37,"2,227,698",0.78%,ME,NE,35694.17,10624.09,21.8,46340.06,48.22,1025.93,1074.15,47414.21,21,44.3385559,-68.27333459999998
24,POINT REYES NS,38,"2,170,646",0.76%,CA,PW,64856.5,42.98,334.87,65234.35,2696.98,3097.08,5794.06,71028.41,157,38.0722909,-122.881743
25,BOSTON NHP,39,"2,155,026",0.75%,MA,NE,37.46,0.0,0.0,37.46,5.09,0.77,5.86,43.32,176,42.373162,-71.056834
26,ASSATEAGUE ISLAND NS,40,"2,129,658",0.75%,MD-VA 2/,NE,8983.42,101.82,9842.69,18927.93,22389.33,2.78,22392.11,41320.04,101,38.0607973,-75.2362382
27,ROCK CREEK PARK,41,"2,076,500",0.73%,DC,NC,1755.21,0.0,0.0,1755.21,0.0,0.0,0.0,1755.21,50,38.937563899999994,-77.0479223
28,GLACIER NP,42,"2,031,348",0.71%,MT,IM,1012834.31,70.28,0.0,1012904.59,2.51,415.26,417.77,1013322.36,177,48.7596128,-113.7870225
29,GLEN CANYON NRA,43,"1,960,345",0.69%,AZ-UT,IM,1238621.99,0.0,1141.85,1239763.84,14352.78,0.0,14352.78,1254116.62,3,37.3867256,-110.84242569999999
30,SAN ANTONIO MISSIONS NHP,45,"1,567,667",0.55%,TX,IM,390.77,69.68,0.0,460.45,179.09,186.38,365.47,825.92,72,29.361157000000002,-98.478431
31,VALLEY FORGE NHP,48,"1,449,228",0.51%,PA,NE,3059.8,37.06,0.0,3096.86,218.03,152.81,370.84,3467.7,217,40.1017506,-75.446922
32,LAKE ROOSEVELT NRA,50,"1,382,663",0.48%,WA 1/,PW,331.31,0.0,100059.0,100390.31,0.0,0.0,0.0,100390.31,229,48.1011309,-118.24663899999999
33,JOSHUA TREE NP,53,"1,304,471",0.46%,CA,PW,771778.2,0.0,25.4,771803.6,2572.74,16259.4,18832.14,790635.74,154,33.873415,-115.9009923
34,HOT SPRINGS NP,54,"1,284,707",0.45%,AR,MW,4937.97,0.0,0.0,4937.97,345.81,265.97,611.78,5549.75,57,34.521691499999996,-93.0423545
35,CHICKASAW NRA,57,"1,238,484",0.43%,OK,IM,9695.79,9.2,189.14,9894.13,4.5,0.0,4.5,9898.63,90,34.461543299999995,-97.0064043
36,HAWAII VOLCANOES NP,58,"1,233,105",0.43%,HI 3/,PW,323431.38,0.0,0.0,323431.38,0.0,0.0,0.0,323431.38,52,19.419369699999997,-155.2884969
37,BRYCE CANYON NP,59,"1,216,377",0.43%,UT,IM,35832.58,0.0,0.0,35832.58,0.0,2.5,2.5,35835.08,1,37.593037700000004,-112.1870895
38,SLEEPING BEAR DUNES NL,61,"1,165,836",0.41%,MI,MW,56632.21,710.41,1.85,57344.47,12067.03,1880.4,13947.43,71291.9,187,44.8734043,-86.0466574
39,SHENANDOAH NP,65,"1,120,981",0.39%,VA,NE,197442.12,798.47,0.0,198240.59,72.11,787.01,859.12,199099.71,135,38.29275579999999,-78.67958359999999
40,HALEAKALA NP,66,"1,109,104",0.39%,HI,PW,33222.45,0.0,0.0,33222.45,0.15,0.0,0.15,33222.6,89,20.7096921,-156.25351469999998
41,MINUTE MAN NHP,67,"1,096,024",0.38%,MA,NE,783.24,7.47,3.32,794.03,121.52,103.79,225.31,1019.34,103,42.457997799999994,-71.32152049999998
42,LAKE MEREDITH NRA,68,"1,080,644",0.38%,TX,IM,43964.63,0.0,1013.0,44977.63,0.0,0.0,0.0,44977.63,87,35.6438165,-101.58630579999999
43,SAN JUAN NHS,69,"1,069,673",0.37%,PR,SE,53.2,0.0,0.0,53.2,21.93,0.0,21.93,75.13,193,18.4686841,-66.1207495
44,GETTYSBURG NMP,71,"1,013,002",0.35%,PA,NE,4276.77,591.11,0.01,4867.89,43.2,1077.64,1120.84,5988.73,25,39.813249400000004,-77.23373199999999
45,CANAVERAL NS,72,"1,001,665",0.35%,FL,SE,17735.69,0.0,39912.0,57647.69,0.0,14.0,14.0,57661.69,164,28.789536,-80.75637540000001
46,ARCHES NP,73,"996,312",0.35%,UT,IM,76545.95,0.0,0.0,76545.95,133.03,0.0,133.03,76678.98,159,38.733081,-109.5925139
47,SEQUOIA NP,75,"965,170",0.34%,CA,PW,403875.05,15.36,0.0,403890.41,4.46,168.13,172.59,404063.0,77,36.48636679999999,-118.56575159999998
48,CURECANTI NRA,76,"953,169",0.33%,CO 1/,IM,0.0,1.38,41971.04,41972.42,0.0,0.0,0.0,41972.42,51,38.465746100000004,-107.1666799
49,BADLANDS NP,77,"933,918",0.33%,SD,MW,110498.24,122324.0,0.0,232822.24,39.24,9894.46,9933.7,242755.94,133,43.8553804,-102.3396912
50,EVERGLADES NP,79,"900,882",0.32%,FL 8/,SE,1398607.13,0.0,0.0,1398607.13,0.0,285.82,285.82,1398892.95,83,25.2866155,-80.89865089999998
51,CUMBERLAND GAP NHP,80,"883,663",0.31%,KY-TN-VA,SE,22173.79,185.61,0.0,22359.4,8.78,6.21,14.99,22374.39,62,36.6039715,-83.67296999999999
52,DEATH VALLEY NP,83,"828,574",0.29%,CA-NV,PW,3323810.39,0.0,80.0,3323890.39,38863.53,10288.16,49151.69,3373042.08,126,36.5053891,-117.0794078
53,CANYON DE CHELLY NM,84,"826,425",0.29%,AZ,IM,0.0,0.0,0.0,0.0,0.0,83840.0,83840.0,83840.0,173,36.1336111,-109.46944440000001
54,MUIR WOODS NM,88,"779,880",0.27%,CA,PW,522.98,0.0,0.0,522.98,30.57,0.0,30.57,553.55,120,37.8970199,-122.58111770000001
55,CABRILLO NM,89,"767,687",0.27%,CA,PW,159.94,0.0,0.0,159.94,0.0,0.0,0.0,159.94,209,32.673542600000005,-117.24251909999998
56,SALEM MARITIME NHS,90,"723,088",0.25%,MA,NE,8.93,0.0,0.0,8.93,0.0,0.09,0.09,9.02,78,42.521316299999995,-70.8866429
57,WASHINGTON MONUMENT,92,"676,002",0.24%,DC,NC,106.01,0.0,0.0,106.01,0.0,0.0,0.0,106.01,82,38.8894838,-77.0352791
58,CASTILLO DE SAN MARCOS NM,93,"667,783",0.23%,FL,SE,17.61,0.0,0.0,17.61,0.02,0.01,0.03,17.64,166,29.89786179999999,-81.31151870000002
59,SAGUARO NP,94,"665,234",0.23%,AZ,IM,87512.43,13.64,0.0,87526.07,2998.71,914.93,3913.64,91439.71,7,32.2967359,-111.166615
60,FORD'S THEATRE NHS,95,"658,271",0.23%,DC,NC,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3,54,38.89667,-77.0256687
61,PADRE ISLAND NS,97,"642,163",0.22%,TX,IM,130355.46,0.0,0.0,130355.46,78.81,0.0,78.81,130434.27,36,27.4241558,-97.2991836
62,PETRIFIED FOREST NP,98,"631,613",0.22%,AZ,IM,109001.98,0.0,0.0,109001.98,36145.87,76473.0,112618.87,221620.85,18,34.909989700000004,-109.8067916
63,CAPITOL REEF NP,99,"617,208",0.22%,UT,IM,241234.29,0.0,0.0,241234.29,669.97,0.0,669.97,241904.26,85,38.3669703,-111.26150420000002
64,WHITE HOUSE,100,"616,890",0.22%,DC,NC,18.07,0.0,0.0,18.07,0.0,0.0,0.0,18.07,153,38.8976763,-77.0365298
65,KINGS CANYON NP,101,"609,296",0.21%,CA,PW,460171.05,0.0,1675.0,461846.05,0.0,55.15,55.15,461901.2,212,36.88785479999999,-118.55514769999999
66,CAPE LOOKOUT NS,104,"601,954",0.21%,NC,SE,13915.7,11243.4,14.52,25173.62,3048.16,21.58,3069.74,28243.36,106,34.6227474,-76.52462070000001
67,MONTEZUMA CASTLE NM,105,"601,465",0.21%,AZ,IM,842.44,0.0,0.0,842.44,0.0,16.83,16.83,859.27,12,34.6115755,-111.83498540000001
68,WIND CAVE NP,106,"587,868",0.21%,SD,MW,28292.08,2.95,0.0,28295.03,0.0,0.0,0.0,28295.03,145,43.6045811,-103.42134329999999
69,VICKSBURG NMP,108,"584,105",0.20%,MS-LA,SE,1737.01,2.55,0.0,1739.56,4.84,50.61,55.45,1795.01,22,32.3548532,-90.8452588
70,MANASSAS NBP,109,"578,383",0.20%,VA,NC,4390.82,22.33,0.0,4413.15,0.0,660.02,660.02,5073.17,15,38.8134115,-77.52216779999998
71,FIRE ISLAND NS,110,"569,667",0.20%,NY,NE,3090.44,3151.51,0.0,6241.95,12422.73,915.61,13338.34,19580.29,115,40.6553691,-73.10343069999998
72,LOWELL NHP,111,"565,960",0.20%,MA,NE,10.62,21.04,0.0,31.66,4.46,105.17,109.63,141.29,221,42.6472093,-71.30956239999998
73,SAINT CROIX NSR,112,"564,326",0.20%,MN-WI,MW,20263.56,11188.29,804.44,32256.29,30679.45,4533.47,35212.92,67469.21,175,45.416208700000006,-92.6467858
74,MESA VERDE NP,113,"550,377",0.19%,CO,IM,52215.63,0.0,0.0,52215.63,41.01,228.53,269.54,52485.17,68,37.2308729,-108.4618335
75,MAMMOTH CAVE NP,115,"503,856",0.18%,KY,SE,52003.24,0.0,0.0,52003.24,814.75,12.2,826.95,52830.19,28,37.18699779999999,-86.100528
76,CEDAR BREAKS NM,117,"492,353",0.17%,UT,IM,6154.6,0.0,0.0,6154.6,0.0,0.0,0.0,6154.6,94,37.6359544,-112.84502479999999
77,WRIGHT BROTHERS NMEM,118,"476,291",0.17%,NC,SE,421.81,0.0,0.0,421.81,6.63,0.0,6.63,428.44,214,36.017318700000004,-75.6692094
78,WHITE SANDS NM,119,"471,167",0.16%,NM,IM,141209.24,0.0,2524.01,143733.25,0.0,0.0,0.0,143733.25,140,32.3823687,-106.49065259999999
79,LINCOLN HOME NHS,121,"464,074",0.16%,IL,MW,12.03,0.0,0.0,12.03,0.0,0.21,0.21,12.24,92,39.7973533,-89.64492539999998
80,PICTURED ROCKS NL,122,"448,215",0.16%,MI,MW,35667.56,21.3,40.0,35728.86,13939.75,23567.22,37506.97,73235.83,14,46.56143839999999,-86.3213064
81,CRATER LAKE NP,123,"446,516",0.16%,OR,PW,183223.77,0.0,0.0,183223.77,0.0,0.28,0.28,183224.05,112,42.868441100000005,-122.16847849999999
82,REDWOOD NP,124,"444,426",0.16%,CA,PW,77432.27,28.06,319.59,77779.92,34648.31,153.72,34802.03,112581.95,8,41.213178799999994,-124.00462749999998
83,BISCAYNE NP,127,"437,745",0.15%,FL,SE,170976.68,0.0,26.13,171002.81,1587.05,381.25,1968.3,172971.11,95,25.4824229,-80.20831030000002
84,CANYONLANDS NP,128,"436,241",0.15%,UT,IM,337269.4,301.03,0.0,337570.43,27.4,0.0,27.4,337597.83,185,38.3268693,-109.87825919999999
85,CARLSBAD CAVERNS NP,130,"432,639",0.15%,NM,IM,46427.26,0.0,0.0,46427.26,0.0,339.19,339.19,46766.45,73,32.1478553,-104.5567138
86,VIRGIN ISLANDS NP,131,"415,847",0.15%,VI,SE,12680.76,3.0,0.0,12683.76,134.07,1919.13,2053.2,14736.96,113,18.3424047,-64.74857589999999
87,SHILOH NMP,132,"404,134",0.14%,TN-MS,SE,4134.41,0.0,0.0,4134.41,67.12,1979.81,2046.93,6181.34,144,35.142936999999996,-88.34084990000001
88,COLORADO NM,133,"400,266",0.14%,CO,IM,20533.93,0.0,0.0,20533.93,0.0,0.0,0.0,20533.93,93,39.0575219,-108.6938999
89,DEVILS TOWER NM,135,"391,023",0.14%,WY,IM,1346.91,0.0,0.0,1346.91,0.0,0.0,0.0,1346.91,117,44.5902098,-104.7146168
90,VANDERBILT MANSION NHS,136,"380,460",0.13%,NY,NE,211.65,0.0,0.0,211.65,0.0,0.0,0.0,211.65,9,41.7963461,-73.9423869
91,ANTIETAM NB,137,"378,966",0.13%,MD,NC,1991.36,751.4,0.0,2742.76,20.98,466.63,487.61,3230.37,231,39.46874520000001,-77.7387923
92,LASSEN VOLCANIC NP,139,"365,639",0.13%,CA,PW,106368.14,0.0,0.0,106368.14,0.0,4.22,4.22,106372.36,2,40.497659999999996,-121.42065520000001
93,BIG BEND NP,140,"363,905",0.13%,TX,IM,775273.38,0.0,0.0,775273.38,2606.87,23282.96,25889.83,801163.21,102,29.1274869,-103.2425379
94,CHANNEL ISLANDS NP,142,"348,745",0.12%,CA,PW,69425.66,0.0,9592.96,79018.62,124554.15,45988.23,170542.38,249561.0,88,33.996073700000004,-119.7691632
95,ORGAN PIPE CACTUS NM,147,"330,064",0.12%,AZ,IM,329114.5,24.42,226.37,329365.29,1280.0,43.57,1323.57,330688.86,223,32.087759600000005,-112.90588020000001
96,GOVERNORS ISLAND NM,148,"325,840",0.11%,NY,NE,22.27,0.01,0.0,22.28,0.0,0.5,0.5,22.78,27,40.691987899999994,-74.01599499999998
97,MORRISTOWN NHP,151,"298,060",0.10%,NJ,NE,1704.74,0.95,0.0,1705.69,0.0,5.03,5.03,1710.72,111,40.7648452,-74.53168070000001
98,ROSS LAKE NRA,156,"288,458",0.10%,WA,PW,115959.59,0.0,0.0,115959.59,1609.37,5.63,1615.0,117574.59,13,48.69987329999999,-121.01983659999999
99,HARPERS FERRY NHP,159,"275,044",0.10%,MD-VA-WV,NC,3150.73,53.67,267.46,3471.86,60.32,128.55,188.87,3660.73,107,39.3228225,-77.72920719999998
100,SAN JUAN ISLAND NHP,160,"274,642",0.10%,WA,PW,1725.45,0.0,0.0,1725.45,26.54,0.0,26.54,1751.99,169,48.4550358,-122.97730659999999
101,WAR IN THE PACIFIC NHP,161,"271,608",0.10%,GUAM,PW,957.52,0.0,0.0,957.52,871.67,207.79,1079.46,2036.98,58,13.4737049,144.7090803
102,ADAMS NHP,164,"253,656",0.09%,MA,NE,9.17,0.0,0.0,9.17,4.0,10.65,14.65,23.82,230,42.25235319999999,-71.00398220000001
103,SITKA NHP,165,"246,866",0.09%,AK,A,61.97,49.53,0.0,111.5,0.53,0.06,0.59,112.09,218,57.0489056,-135.3159583
104,DE SOTO NMEM,166,"246,608",0.09%,FL,SE,24.78,0.0,0.0,24.78,0.0,5.22,5.22,30.0,37,27.5222794,-82.6445936
105,PISCATAWAY PARK,167,"234,186",0.08%,MD,NC,1772.85,2817.72,0.0,4590.57,0.0,35.8,35.8,4626.37,16,38.690893,-77.070737
106,WUPATKI NM,168,"233,284",0.08%,AZ,IM,35401.73,20.4,0.0,35422.13,0.0,0.0,0.0,35422.13,152,35.5584745,-111.375095
107,COWPENS NB,170,"224,394",0.08%,SC,SE,790.9,0.0,0.0,790.9,46.63,4.03,50.66,841.56,74,35.1367361,-81.8181625
108,VOYAGEURS NP,171,"222,429",0.08%,MN,MW,133001.62,0.0,139.03,133140.65,83914.92,1154.81,85069.73,218210.38,125,48.4840955,-92.8270873
109,KENAI FJORDS NP,173,"218,358",0.08%,AK,A,595433.07,6068.13,0.0,601501.2,19302.0,49180.82,68482.82,669984.02,129,59.69222219999999,-150.6155555
110,NATCHEZ NHP,174,"218,126",0.08%,MS,SE,85.5,0.0,0.0,85.5,5.42,17.3,22.72,108.22,194,31.559982,-91.405937
111,CHAMIZAL NMEM,175,"215,852",0.08%,TX,IM,54.9,0.0,0.0,54.9,0.0,0.0,0.0,54.9,132,31.767143800000003,-106.4542166
112,BANDELIER NM,177,"212,544",0.07%,NM,IM,32831.44,0.0,0.0,32831.44,0.0,845.23,845.23,33676.67,40,35.7646658,-106.3228338
113,BIGHORN CANYON NRA,178,"205,293",0.07%,MT-WY,IM,47986.04,889.89,19614.94,68490.87,1392.29,50413.06,51805.35,120296.22,61,45.3109005,-107.9359118
114,FEDERAL HALL NMEM,179,"204,880",0.07%,NY,NE,0.45,0.0,0.0,0.45,0.0,0.0,0.0,0.45,216,40.7073993,-74.0102088
115,DINOSAUR NM,180,"203,862",0.07%,CO-UT,IM,203031.38,2654.16,0.0,205685.54,50.96,4541.05,4592.01,210277.55,59,40.4927109,-108.9416357
116,STONES RIVER NB,185,"189,952",0.07%,TN,SE,645.27,0.0,0.0,645.27,13.07,51.13,64.2,709.47,205,35.8731131,-86.43468999999997
117,GREENBELT PARK,187,"188,043",0.07%,MD,NC,1105.79,0.0,0.0,1105.79,58.3,11.33,69.63,1175.42,182,38.983031,-76.90114270000001
118,LINCOLN BOYHOOD NMEM,191,"182,172",0.06%,IN,MW,180.81,0.0,0.0,180.81,10.94,7.9,18.84,199.65,195,38.11391629999999,-86.99694140000001
119,NEZ PERCE NHP,192,"176,238",0.06%,MT-ID-OR-WA,PW,1968.18,1252.75,5.12,3226.05,261.2,1082.42,1343.62,4569.67,139,46.4475305,-116.8227368
120,APOSTLE ISLANDS NL,195,"170,202",0.06%,WI,MW,42160.65,0.0,0.0,42160.65,27206.7,4.54,27211.24,69371.89,213,46.9302046,-90.6333321
121,HERBERT HOOVER NHS,197,"162,886",0.06%,IA,MW,181.11,0.0,0.0,181.11,4.59,1.1,5.69,186.8,134,41.6689744,-91.3477571
122,PETERSBURG NB,198,"162,722",0.06%,VA,NE,2656.14,0.12,1.17,2657.43,0.0,82.29,82.29,2739.72,118,37.2438545,-77.3568983
123,TIMPANOGOS CAVE NM,203,"138,571",0.05%,UT,IM,250.0,0.0,0.0,250.0,0.0,0.0,0.0,250.0,191,40.4405549,-111.7094462
124,ANDERSONVILLE NHS,204,"136,267",0.05%,GA,SE,499.88,1.0,0.0,500.88,7.89,5.84,13.73,514.61,124,32.2002948,-84.1303207
125,RICHMOND NBP,205,"134,634",0.05%,VA,NE,2224.55,2.56,0.0,2227.11,2.48,4901.04,4903.52,7130.63,219,37.535554,-77.44578100000001
126,LAVA BEDS NM,207,"129,639",0.05%,CA,PW,46559.87,0.0,0.0,46559.87,0.0,0.0,0.0,46559.87,196,41.758837,-121.52666409999998
127,JEWEL CAVE NM,208,"129,595",0.05%,SD,MW,1273.51,0.0,0.0,1273.51,0.0,0.0,0.0,1273.51,34,43.7303594,-103.8290512
128,WALNUT CANYON NM,209,"128,299",0.04%,AZ,IM,3238.42,0.0,0.0,3238.42,0.0,290.84,290.84,3529.26,110,35.1717266,-111.50927539999999
129,EL MALPAIS NM,210,"123,290",0.04%,NM,IM,109611.62,0.0,0.0,109611.62,402.37,4262.96,4665.33,114276.95,208,34.9002575,-107.9942365
130,CONGAREE NP,212,"122,970",0.04%,SC,SE,25174.26,0.0,0.0,25174.26,0.0,1371.6,1371.6,26545.86,119,33.794800099999996,-80.78209620000001
131,SCOTTS BLUFF NM,213,"121,391",0.04%,NE,MW,2951.23,0.27,0.0,2951.5,5.95,47.36,53.31,3004.81,121,41.8391527,-103.7115457
132,PETROGLYPH NM,215,"118,688",0.04%,NM,IM,2929.44,0.0,0.0,2929.44,2927.97,1374.22,4302.19,7231.63,215,35.13678170000001,-106.7405057
133,CHRISTIANSTED NHS,216,"114,743",0.04%,VI,SE,26.24,0.0,0.0,26.24,0.91,0.0,0.91,27.15,98,17.7471645,-64.7021636
134,JOHNSTOWN FLOOD NMEM,217,"114,350",0.04%,PA,NE,166.12,1.24,0.0,167.36,5.55,5.2,10.75,178.11,220,40.328007899999996,-78.92043840000001
135,RAINBOW BRIDGE NM,218,"113,460",0.04%,UT,IM,160.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,65,37.0774203,-110.964382
136,GAULEY RIVER NRA,219,"113,185",0.04%,WV,NE,4421.72,17.48,43.36,4482.56,989.83,6087.26,7077.09,11559.65,24,38.208965500000005,-81.01473
137,DEVILS POSTPILE NM,222,"110,212",0.04%,CA,PW,798.46,0.0,0.0,798.46,0.0,0.0,0.0,798.46,66,37.625106200000005,-119.0849506
138,CORONADO NMEM,223,"106,409",0.04%,AZ,IM,4609.88,0.0,138.34,4748.22,0.0,2.0,2.0,4750.22,222,31.3458652,-110.25377549999999
139,TUZIGOOT NM,224,"106,250",0.04%,AZ,IM,366.42,15.11,0.0,381.53,0.0,430.36,430.36,811.89,109,34.768777899999996,-112.0268895
140,GENERAL GRANT NMEM,226,"100,874",0.04%,NY,NE,0.76,0.0,0.0,0.76,0.0,0.0,0.0,0.76,204,40.8134045,-73.9630671
141,NATURAL BRIDGES NM,233,"92,023",0.03%,UT,IM,7620.49,16.0,0.0,7636.49,0.0,0.0,0.0,7636.49,17,37.604056,-110.0052043
142,SARATOGA NHP,234,"89,366",0.03%,NY,NE,2884.55,2.04,0.0,2886.59,93.35,414.26,507.61,3394.2,180,43.01230820000001,-73.6488883
143,MANZANAR NHS,235,"89,190",0.03%,CA,PW,813.81,0.0,0.0,813.81,0.0,0.0,0.0,813.81,30,36.72722879999999,-118.1527894
144,GREAT BASIN NP,237,"84,974",0.03%,NV,PW,77180.0,0.0,0.0,77180.0,0.0,0.0,0.0,77180.0,44,38.98333299999999,-114.3
145,CARL SANDBURG HOME NHS,238,"83,550",0.03%,NC,SE,263.52,0.0,0.0,263.52,0.0,0.13,0.13,263.65,142,35.2714108,-82.44724709999998
146,NEW ORLEANS JAZZ NHP,239,"80,828",0.03%,LA,SE,0.0,0.0,0.0,0.0,5.13,0.0,5.13,5.13,104,29.958455800000003,-90.06078959999998
147,EFFIGY MOUNDS NM,240,"78,177",0.03%,IA,MW,2526.39,0.0,0.0,2526.39,0.0,0.0,0.0,2526.39,116,43.089214,-91.20064190000001
148,NAVAJO NM,241,"77,901",0.03%,AZ,IM,360.0,0.0,0.0,360.0,0.0,0.0,0.0,360.0,42,35.900012100000005,-109.0339832
149,CUMBERLAND ISLAND NS,242,"77,588",0.03%,GA,SE,18866.37,1.63,656.92,19524.92,13820.15,3001.76,16821.91,36346.83,38,30.8659411,-81.45052940000001
150,CASA GRANDE RUINS NM,243,"76,350",0.03%,AZ,IM,472.5,0.0,0.0,472.5,0.0,0.0,0.0,472.5,181,32.995458899999996,-111.53552820000002
151,GRAND PORTAGE NM,244,"76,025",0.03%,MN,MW,709.97,0.0,0.0,709.97,0.0,0.0,0.0,709.97,31,47.9607126,-89.68658609999999
152,HORSESHOE BEND NMP,245,"72,232",0.03%,AL,SE,2040.0,0.0,0.0,2040.0,0.0,0.0,0.0,2040.0,105,32.97832229999999,-85.73100759999998
153,JIMMY CARTER NHS,247,"69,972",0.02%,GA,SE,36.81,8.81,1.92,47.54,0.0,24.67,24.67,72.21,60,32.0365107,-84.3925979
154,PIPESTONE NM,248,"69,539",0.02%,MN,MW,281.78,0.0,0.0,281.78,0.0,0.0,0.0,281.78,197,44.01364909999999,-96.3247472
155,MOORES CREEK NB,249,"68,864",0.02%,NC,SE,85.35,2.4,0.0,87.75,0.0,0.0,0.0,87.75,55,34.457789700000006,-78.109585
156,PEA RIDGE NMP,250,"68,746",0.02%,AR,MW,4278.75,0.0,0.0,4278.75,21.6,0.0,21.6,4300.35,190,36.443765500000005,-94.025807
157,STEAMTOWN NHS,252,"65,144",0.02%,PA,NE,51.29,0.0,0.0,51.29,10.55,0.64,11.19,62.48,4,41.40790579999999,-75.6720114
158,FLORISSANT FOSSIL BEDS NM,253,"64,251",0.02%,CO,IM,5992.32,0.0,0.0,5992.32,5.77,0.0,5.77,5998.09,114,38.9136173,-105.28540759999998
159,EISENHOWER NHS,254,"64,212",0.02%,PA,NE,687.37,3.09,0.0,690.46,0.0,0.0,0.0,690.46,192,39.79391079999999,-77.26331590000001
160,ANDREW JOHNSON NHS,256,"63,296",0.02%,TN,SE,16.68,0.0,0.0,16.68,0.0,0.0,0.0,16.68,86,36.1627802,-82.8294485
